Dataset,method,Experiment,RMSE
12_darwin,chain01_datawig,1,0.6049 ± 0.0000
12_darwin,chain01_datawig,2,0.5966 ± 0.0082
12_darwin,chain01_datawig,3,0.5832 ± 0.0202
12_darwin,chain01_datawig,4,0.5743 ± 0.0233
12_darwin,chain01_datawig,5,0.5702 ± 0.0224
12_darwin,chain01_datawig,6,0.5646 ± 0.0240
12_darwin,chain01_datawig,7,0.5675 ± 0.0233
12_darwin,chain01_datawig,8,0.5632 ± 0.0246
12_darwin,chain01_datawig,9,0.5723 ± 0.0346
12_darwin,chain01_datawig,10,0.5732 ± 0.0330
12_darwin,chain01_datawig,11,0.5697 ± 0.0333
12_darwin,chain01_datawig,12,0.5720 ± 0.0328
12_darwin,chain01_datawig,13,0.5680 ± 0.0344
12_darwin,chain01_datawig,14,0.5675 ± 0.0332
12_darwin,chain01_datawig,15,0.5651 ± 0.0333
12_darwin,chain01_datawig,16,0.5635 ± 0.0329
12_darwin,chain01_datawig,17,0.5648 ± 0.0324
12_darwin,chain01_datawig,18,0.5679 ± 0.0340
12_darwin,chain01_datawig,19,0.5715 ± 0.0363
12_darwin,chain01_datawig,20,0.5741 ± 0.0373
12_darwin,chain01_datawig,21,0.5722 ± 0.0374
12_darwin,chain01_datawig,22,0.5716 ± 0.0366
12_darwin,chain01_datawig,23,0.5705 ± 0.0362
12_darwin,chain01_datawig,24,0.5705 ± 0.0354
12_darwin,chain01_datawig,25,0.5685 ± 0.0360
12_darwin,chain01_datawig,26,0.5674 ± 0.0358
12_darwin,chain01_datawig,27,0.5665 ± 0.0354
12_darwin,chain01_datawig,28,0.5657 ± 0.0350
12_darwin,chain01_datawig,29,0.5656 ± 0.0344
12_darwin,chain01_datawig,30,0.5657 ± 0.0338
