Dataset,method,Experiment,RMSE
14_national,chain01_datawig,1,0.2410 ± 0.0000
14_national,chain01_datawig,2,0.2337 ± 0.0073
14_national,chain01_datawig,3,0.2357 ± 0.0066
14_national,chain01_datawig,4,0.2279 ± 0.0147
14_national,chain01_datawig,5,0.2333 ± 0.0170
14_national,chain01_datawig,6,0.2354 ± 0.0162
14_national,chain01_datawig,7,0.2376 ± 0.0160
14_national,chain01_datawig,8,0.2397 ± 0.0159
14_national,chain01_datawig,9,0.2394 ± 0.0150
14_national,chain01_datawig,10,0.2413 ± 0.0153
14_national,chain01_datawig,11,0.2398 ± 0.0153
14_national,chain01_datawig,12,0.2358 ± 0.0197
14_national,chain01_datawig,13,0.2360 ± 0.0190
14_national,chain01_datawig,14,0.2330 ± 0.0212
14_national,chain01_datawig,15,0.2336 ± 0.0206
14_national,chain01_datawig,16,0.2340 ± 0.0200
14_national,chain01_datawig,17,0.2316 ± 0.0215
14_national,chain01_datawig,18,0.2323 ± 0.0211
14_national,chain01_datawig,19,0.2308 ± 0.0215
14_national,chain01_datawig,20,0.2311 ± 0.0210
14_national,chain01_datawig,21,0.2301 ± 0.0210
14_national,chain01_datawig,22,0.2308 ± 0.0208
14_national,chain01_datawig,23,0.2296 ± 0.0211
14_national,chain01_datawig,24,0.2295 ± 0.0207
14_national,chain01_datawig,25,0.2302 ± 0.0206
14_national,chain01_datawig,26,0.2292 ± 0.0208
14_national,chain01_datawig,27,0.2300 ± 0.0209
14_national,chain01_datawig,28,0.2314 ± 0.0218
14_national,chain01_datawig,29,0.2317 ± 0.0215
14_national,chain01_datawig,30,0.2312 ± 0.0213
