Dataset,method,Experiment,RMSE
15_magic,chain01_datawig,1,0.1505 ± 0.0000
15_magic,chain01_datawig,2,0.1483 ± 0.0022
15_magic,chain01_datawig,3,0.1474 ± 0.0022
15_magic,chain01_datawig,4,0.1463 ± 0.0027
15_magic,chain01_datawig,5,0.1462 ± 0.0024
15_magic,chain01_datawig,6,0.1466 ± 0.0024
15_magic,chain01_datawig,7,0.1466 ± 0.0023
15_magic,chain01_datawig,8,0.1470 ± 0.0023
15_magic,chain01_datawig,9,0.1470 ± 0.0022
15_magic,chain01_datawig,10,0.1470 ± 0.0021
15_magic,chain01_datawig,11,0.1469 ± 0.0020
15_magic,chain01_datawig,12,0.1467 ± 0.0021
15_magic,chain01_datawig,13,0.1465 ± 0.0021
15_magic,chain01_datawig,14,0.1465 ± 0.0020
15_magic,chain01_datawig,15,0.1464 ± 0.0020
15_magic,chain01_datawig,16,0.1462 ± 0.0021
15_magic,chain01_datawig,17,0.1462 ± 0.0021
15_magic,chain01_datawig,18,0.1460 ± 0.0021
15_magic,chain01_datawig,19,0.1461 ± 0.0021
15_magic,chain01_datawig,20,0.1461 ± 0.0020
15_magic,chain01_datawig,21,0.1461 ± 0.0020
15_magic,chain01_datawig,22,0.1459 ± 0.0020
15_magic,chain01_datawig,23,0.1463 ± 0.0027
15_magic,chain01_datawig,24,0.1462 ± 0.0027
15_magic,chain01_datawig,25,0.1460 ± 0.0028
15_magic,chain01_datawig,26,0.1459 ± 0.0028
15_magic,chain01_datawig,27,0.1463 ± 0.0033
15_magic,chain01_datawig,28,0.1464 ± 0.0033
15_magic,chain01_datawig,29,0.1463 ± 0.0033
15_magic,chain01_datawig,30,0.1463 ± 0.0032
