Dataset,method,Experiment,RMSE
16_rice,chain01_datawig,1,0.1823 ± 0.0000
16_rice,chain01_datawig,2,0.1793 ± 0.0030
16_rice,chain01_datawig,3,0.1786 ± 0.0026
16_rice,chain01_datawig,4,0.1750 ± 0.0065
16_rice,chain01_datawig,5,0.1743 ± 0.0061
16_rice,chain01_datawig,6,0.1731 ± 0.0061
16_rice,chain01_datawig,7,0.1725 ± 0.0058
16_rice,chain01_datawig,8,0.1730 ± 0.0056
16_rice,chain01_datawig,9,0.1730 ± 0.0053
16_rice,chain01_datawig,10,0.1736 ± 0.0053
16_rice,chain01_datawig,11,0.1734 ± 0.0050
16_rice,chain01_datawig,12,0.1734 ± 0.0048
16_rice,chain01_datawig,13,0.1732 ± 0.0047
16_rice,chain01_datawig,14,0.1731 ± 0.0045
16_rice,chain01_datawig,15,0.1728 ± 0.0045
16_rice,chain01_datawig,16,0.1732 ± 0.0045
16_rice,chain01_datawig,17,0.1736 ± 0.0047
16_rice,chain01_datawig,18,0.1739 ± 0.0048
16_rice,chain01_datawig,19,0.1744 ± 0.0051
16_rice,chain01_datawig,20,0.1741 ± 0.0052
16_rice,chain01_datawig,21,0.1737 ± 0.0054
16_rice,chain01_datawig,22,0.1740 ± 0.0055
16_rice,chain01_datawig,23,0.1741 ± 0.0054
16_rice,chain01_datawig,24,0.1746 ± 0.0058
16_rice,chain01_datawig,25,0.1743 ± 0.0058
16_rice,chain01_datawig,26,0.1740 ± 0.0059
16_rice,chain01_datawig,27,0.1741 ± 0.0058
16_rice,chain01_datawig,28,0.1742 ± 0.0058
16_rice,chain01_datawig,29,0.1742 ± 0.0057
16_rice,chain01_datawig,30,0.1744 ± 0.0056
