Dataset,method,Experiment,RMSE
17_bank,chain01_datawig,1,0.2638 ± 0.0000
17_bank,chain01_datawig,2,0.2729 ± 0.0091
17_bank,chain01_datawig,3,0.2702 ± 0.0084
17_bank,chain01_datawig,4,0.2665 ± 0.0097
17_bank,chain01_datawig,5,0.2648 ± 0.0093
17_bank,chain01_datawig,6,0.2647 ± 0.0085
17_bank,chain01_datawig,7,0.2644 ± 0.0079
17_bank,chain01_datawig,8,0.2643 ± 0.0074
17_bank,chain01_datawig,9,0.2642 ± 0.0070
17_bank,chain01_datawig,10,0.2636 ± 0.0068
17_bank,chain01_datawig,11,0.2631 ± 0.0067
17_bank,chain01_datawig,12,0.2639 ± 0.0070
17_bank,chain01_datawig,13,0.2634 ± 0.0071
17_bank,chain01_datawig,14,0.2636 ± 0.0068
17_bank,chain01_datawig,15,0.2639 ± 0.0067
17_bank,chain01_datawig,16,0.2634 ± 0.0067
17_bank,chain01_datawig,17,0.2634 ± 0.0065
17_bank,chain01_datawig,18,0.2624 ± 0.0074
17_bank,chain01_datawig,19,0.2619 ± 0.0076
17_bank,chain01_datawig,20,0.2620 ± 0.0074
17_bank,chain01_datawig,21,0.2635 ± 0.0099
17_bank,chain01_datawig,22,0.2632 ± 0.0098
17_bank,chain01_datawig,23,0.2627 ± 0.0098
17_bank,chain01_datawig,24,0.2622 ± 0.0099
17_bank,chain01_datawig,25,0.2619 ± 0.0099
17_bank,chain01_datawig,26,0.2618 ± 0.0097
17_bank,chain01_datawig,27,0.2617 ± 0.0095
17_bank,chain01_datawig,28,0.2616 ± 0.0094
17_bank,chain01_datawig,29,0.2614 ± 0.0093
17_bank,chain01_datawig,30,0.2613 ± 0.0091
