Dataset,method,Experiment,RMSE
19_contraceptive,chain01_datawig,1,0.2803 ± 0.0000
19_contraceptive,chain01_datawig,2,0.2793 ± 0.0010
19_contraceptive,chain01_datawig,3,0.2766 ± 0.0040
19_contraceptive,chain01_datawig,4,0.2774 ± 0.0037
19_contraceptive,chain01_datawig,5,0.2783 ± 0.0038
19_contraceptive,chain01_datawig,6,0.2808 ± 0.0066
19_contraceptive,chain01_datawig,7,0.2807 ± 0.0062
19_contraceptive,chain01_datawig,8,0.2820 ± 0.0067
19_contraceptive,chain01_datawig,9,0.2818 ± 0.0063
19_contraceptive,chain01_datawig,10,0.2823 ± 0.0062
19_contraceptive,chain01_datawig,11,0.2819 ± 0.0061
19_contraceptive,chain01_datawig,12,0.2833 ± 0.0075
19_contraceptive,chain01_datawig,13,0.2840 ± 0.0076
19_contraceptive,chain01_datawig,14,0.2839 ± 0.0073
19_contraceptive,chain01_datawig,15,0.2825 ± 0.0087
19_contraceptive,chain01_datawig,16,0.2830 ± 0.0086
19_contraceptive,chain01_datawig,17,0.2836 ± 0.0087
19_contraceptive,chain01_datawig,18,0.2842 ± 0.0088
19_contraceptive,chain01_datawig,19,0.2847 ± 0.0088
19_contraceptive,chain01_datawig,20,0.2838 ± 0.0095
19_contraceptive,chain01_datawig,21,0.2842 ± 0.0095
19_contraceptive,chain01_datawig,22,0.2844 ± 0.0093
19_contraceptive,chain01_datawig,23,0.2845 ± 0.0091
19_contraceptive,chain01_datawig,24,0.2842 ± 0.0091
19_contraceptive,chain01_datawig,25,0.2840 ± 0.0090
19_contraceptive,chain01_datawig,26,0.2840 ± 0.0088
19_contraceptive,chain01_datawig,27,0.2843 ± 0.0088
19_contraceptive,chain01_datawig,28,0.2844 ± 0.0087
19_contraceptive,chain01_datawig,29,0.2844 ± 0.0085
19_contraceptive,chain01_datawig,30,0.2846 ± 0.0085
