Dataset,method,Experiment,RMSE
1_breast,chain01_datawig,1,0.3374 ± 0.0000
1_breast,chain01_datawig,2,0.3261 ± 0.0114
1_breast,chain01_datawig,3,0.3420 ± 0.0244
1_breast,chain01_datawig,4,0.3417 ± 0.0211
1_breast,chain01_datawig,5,0.3367 ± 0.0215
1_breast,chain01_datawig,6,0.3543 ± 0.0440
1_breast,chain01_datawig,7,0.3551 ± 0.0408
1_breast,chain01_datawig,8,0.3528 ± 0.0386
1_breast,chain01_datawig,9,0.3480 ± 0.0389
1_breast,chain01_datawig,10,0.3547 ± 0.0419
1_breast,chain01_datawig,11,0.3549 ± 0.0399
1_breast,chain01_datawig,12,0.3573 ± 0.0390
1_breast,chain01_datawig,13,0.3529 ± 0.0405
1_breast,chain01_datawig,14,0.3539 ± 0.0392
1_breast,chain01_datawig,15,0.3543 ± 0.0379
1_breast,chain01_datawig,16,0.3561 ± 0.0373
1_breast,chain01_datawig,17,0.3544 ± 0.0368
1_breast,chain01_datawig,18,0.3587 ± 0.0400
1_breast,chain01_datawig,19,0.3589 ± 0.0390
1_breast,chain01_datawig,20,0.3601 ± 0.0384
1_breast,chain01_datawig,21,0.3583 ± 0.0383
1_breast,chain01_datawig,22,0.3599 ± 0.0381
1_breast,chain01_datawig,23,0.3592 ± 0.0374
1_breast,chain01_datawig,24,0.3572 ± 0.0378
1_breast,chain01_datawig,25,0.3572 ± 0.0371
1_breast,chain01_datawig,26,0.3596 ± 0.0382
1_breast,chain01_datawig,27,0.3601 ± 0.0376
1_breast,chain01_datawig,28,0.3588 ± 0.0375
1_breast,chain01_datawig,29,0.3611 ± 0.0387
1_breast,chain01_datawig,30,0.3635 ± 0.0401
