Dataset,method,Experiment,RMSE
20_obesity,chain01_datawig,1,0.2783 ± 0.0000
20_obesity,chain01_datawig,2,0.2633 ± 0.0150
20_obesity,chain01_datawig,3,0.2598 ± 0.0132
20_obesity,chain01_datawig,4,0.2594 ± 0.0115
20_obesity,chain01_datawig,5,0.2573 ± 0.0112
20_obesity,chain01_datawig,6,0.2584 ± 0.0105
20_obesity,chain01_datawig,7,0.2599 ± 0.0104
20_obesity,chain01_datawig,8,0.2599 ± 0.0097
20_obesity,chain01_datawig,9,0.2593 ± 0.0093
20_obesity,chain01_datawig,10,0.2600 ± 0.0091
20_obesity,chain01_datawig,11,0.2595 ± 0.0088
20_obesity,chain01_datawig,12,0.2599 ± 0.0085
20_obesity,chain01_datawig,13,0.2588 ± 0.0090
20_obesity,chain01_datawig,14,0.2583 ± 0.0088
20_obesity,chain01_datawig,15,0.2585 ± 0.0086
20_obesity,chain01_datawig,16,0.2583 ± 0.0083
20_obesity,chain01_datawig,17,0.2587 ± 0.0082
20_obesity,chain01_datawig,18,0.2597 ± 0.0090
20_obesity,chain01_datawig,19,0.2594 ± 0.0089
20_obesity,chain01_datawig,20,0.2599 ± 0.0090
20_obesity,chain01_datawig,21,0.2603 ± 0.0090
20_obesity,chain01_datawig,22,0.2597 ± 0.0092
20_obesity,chain01_datawig,23,0.2597 ± 0.0090
20_obesity,chain01_datawig,24,0.2597 ± 0.0088
20_obesity,chain01_datawig,25,0.2594 ± 0.0088
20_obesity,chain01_datawig,26,0.2590 ± 0.0088
20_obesity,chain01_datawig,27,0.2591 ± 0.0086
20_obesity,chain01_datawig,28,0.2594 ± 0.0086
20_obesity,chain01_datawig,29,0.2593 ± 0.0085
20_obesity,chain01_datawig,30,0.2590 ± 0.0085
