Dataset,method,Experiment,RMSE
21_yeast,chain01_datawig,1,0.1024 ± 0.0000
21_yeast,chain01_datawig,2,0.2031 ± 0.1008
21_yeast,chain01_datawig,3,0.1735 ± 0.0923
21_yeast,chain01_datawig,4,0.1607 ± 0.0830
21_yeast,chain01_datawig,5,0.1558 ± 0.0749
21_yeast,chain01_datawig,6,0.1516 ± 0.0690
21_yeast,chain01_datawig,7,0.1499 ± 0.0640
21_yeast,chain01_datawig,8,0.2056 ± 0.1592
21_yeast,chain01_datawig,9,0.1949 ± 0.1531
21_yeast,chain01_datawig,10,0.1884 ± 0.1465
21_yeast,chain01_datawig,11,0.1820 ± 0.1412
21_yeast,chain01_datawig,12,0.1767 ± 0.1363
21_yeast,chain01_datawig,13,0.1721 ± 0.1319
21_yeast,chain01_datawig,14,0.1702 ± 0.1273
21_yeast,chain01_datawig,15,0.1669 ± 0.1236
21_yeast,chain01_datawig,16,0.1645 ± 0.1201
21_yeast,chain01_datawig,17,0.1868 ± 0.1468
21_yeast,chain01_datawig,18,0.1834 ± 0.1433
21_yeast,chain01_datawig,19,0.1803 ± 0.1401
21_yeast,chain01_datawig,20,0.1770 ± 0.1373
21_yeast,chain01_datawig,21,0.1748 ± 0.1344
21_yeast,chain01_datawig,22,0.1725 ± 0.1317
21_yeast,chain01_datawig,23,0.1715 ± 0.1289
21_yeast,chain01_datawig,24,0.1703 ± 0.1263
21_yeast,chain01_datawig,25,0.1681 ± 0.1242
21_yeast,chain01_datawig,26,0.1672 ± 0.1219
21_yeast,chain01_datawig,27,0.1662 ± 0.1198
21_yeast,chain01_datawig,28,0.1708 ± 0.1200
21_yeast,chain01_datawig,29,0.1753 ± 0.1203
21_yeast,chain01_datawig,30,0.1737 ± 0.1186
