Dataset,method,Experiment,RMSE
22_seeds,chain01_datawig,1,0.2706 ± 0.0000
22_seeds,chain01_datawig,2,0.2658 ± 0.0048
22_seeds,chain01_datawig,3,0.2498 ± 0.0230
22_seeds,chain01_datawig,4,0.2547 ± 0.0216
22_seeds,chain01_datawig,5,0.2496 ± 0.0218
22_seeds,chain01_datawig,6,0.2502 ± 0.0200
22_seeds,chain01_datawig,7,0.2550 ± 0.0219
22_seeds,chain01_datawig,8,0.2559 ± 0.0206
22_seeds,chain01_datawig,9,0.2583 ± 0.0206
22_seeds,chain01_datawig,10,0.2566 ± 0.0202
22_seeds,chain01_datawig,11,0.2541 ± 0.0209
22_seeds,chain01_datawig,12,0.2517 ± 0.0215
22_seeds,chain01_datawig,13,0.2528 ± 0.0210
22_seeds,chain01_datawig,14,0.2551 ± 0.0218
22_seeds,chain01_datawig,15,0.2532 ± 0.0222
22_seeds,chain01_datawig,16,0.2538 ± 0.0216
22_seeds,chain01_datawig,17,0.2538 ± 0.0210
22_seeds,chain01_datawig,18,0.2518 ± 0.0219
22_seeds,chain01_datawig,19,0.2515 ± 0.0214
22_seeds,chain01_datawig,20,0.2536 ± 0.0228
22_seeds,chain01_datawig,21,0.2522 ± 0.0231
22_seeds,chain01_datawig,22,0.2517 ± 0.0227
22_seeds,chain01_datawig,23,0.2524 ± 0.0225
22_seeds,chain01_datawig,24,0.2529 ± 0.0221
22_seeds,chain01_datawig,25,0.2528 ± 0.0217
22_seeds,chain01_datawig,26,0.2528 ± 0.0213
22_seeds,chain01_datawig,27,0.2524 ± 0.0210
22_seeds,chain01_datawig,28,0.2538 ± 0.0219
22_seeds,chain01_datawig,29,0.2532 ± 0.0217
22_seeds,chain01_datawig,30,0.2533 ± 0.0213
