Dataset,method,Experiment,RMSE
23_ai4i,chain01_datawig,1,0.1697 ± 0.0000
23_ai4i,chain01_datawig,2,0.1705 ± 0.0008
23_ai4i,chain01_datawig,3,0.1721 ± 0.0023
23_ai4i,chain01_datawig,4,0.1714 ± 0.0023
23_ai4i,chain01_datawig,5,0.1720 ± 0.0024
23_ai4i,chain01_datawig,6,0.1726 ± 0.0024
23_ai4i,chain01_datawig,7,0.1727 ± 0.0023
23_ai4i,chain01_datawig,8,0.1732 ± 0.0025
23_ai4i,chain01_datawig,9,0.1732 ± 0.0024
23_ai4i,chain01_datawig,10,0.1728 ± 0.0026
23_ai4i,chain01_datawig,11,0.1724 ± 0.0028
23_ai4i,chain01_datawig,12,0.1727 ± 0.0028
23_ai4i,chain01_datawig,13,0.1723 ± 0.0031
23_ai4i,chain01_datawig,14,0.1720 ± 0.0031
23_ai4i,chain01_datawig,15,0.1724 ± 0.0034
23_ai4i,chain01_datawig,16,0.1727 ± 0.0035
23_ai4i,chain01_datawig,17,0.1724 ± 0.0036
23_ai4i,chain01_datawig,18,0.1721 ± 0.0037
23_ai4i,chain01_datawig,19,0.1725 ± 0.0041
23_ai4i,chain01_datawig,20,0.1727 ± 0.0040
23_ai4i,chain01_datawig,21,0.1724 ± 0.0041
23_ai4i,chain01_datawig,22,0.1723 ± 0.0041
23_ai4i,chain01_datawig,23,0.1723 ± 0.0040
23_ai4i,chain01_datawig,24,0.1727 ± 0.0043
23_ai4i,chain01_datawig,25,0.1726 ± 0.0042
23_ai4i,chain01_datawig,26,0.1725 ± 0.0042
23_ai4i,chain01_datawig,27,0.1727 ± 0.0042
23_ai4i,chain01_datawig,28,0.1726 ± 0.0041
23_ai4i,chain01_datawig,29,0.1727 ± 0.0041
23_ai4i,chain01_datawig,30,0.1726 ± 0.0040
