Dataset,method,Experiment,RMSE
2_heart,chain01_datawig,1,0.3442 ± 0.0000
2_heart,chain01_datawig,2,0.3745 ± 0.0302
2_heart,chain01_datawig,3,0.3668 ± 0.0270
2_heart,chain01_datawig,4,0.3537 ± 0.0326
2_heart,chain01_datawig,5,0.3556 ± 0.0294
2_heart,chain01_datawig,6,0.3563 ± 0.0269
2_heart,chain01_datawig,7,0.3518 ± 0.0272
2_heart,chain01_datawig,8,0.3499 ± 0.0260
2_heart,chain01_datawig,9,0.3527 ± 0.0258
2_heart,chain01_datawig,10,0.3493 ± 0.0265
2_heart,chain01_datawig,11,0.3507 ± 0.0257
2_heart,chain01_datawig,12,0.3479 ± 0.0263
2_heart,chain01_datawig,13,0.3452 ± 0.0269
2_heart,chain01_datawig,14,0.3452 ± 0.0259
2_heart,chain01_datawig,15,0.3460 ± 0.0252
2_heart,chain01_datawig,16,0.3442 ± 0.0253
2_heart,chain01_datawig,17,0.3454 ± 0.0250
2_heart,chain01_datawig,18,0.3448 ± 0.0244
2_heart,chain01_datawig,19,0.3442 ± 0.0239
2_heart,chain01_datawig,20,0.3435 ± 0.0235
2_heart,chain01_datawig,21,0.3438 ± 0.0229
2_heart,chain01_datawig,22,0.3420 ± 0.0237
2_heart,chain01_datawig,23,0.3419 ± 0.0232
2_heart,chain01_datawig,24,0.3421 ± 0.0228
2_heart,chain01_datawig,25,0.3417 ± 0.0224
2_heart,chain01_datawig,26,0.3420 ± 0.0220
2_heart,chain01_datawig,27,0.3420 ± 0.0216
2_heart,chain01_datawig,28,0.3415 ± 0.0213
2_heart,chain01_datawig,29,0.3395 ± 0.0235
2_heart,chain01_datawig,30,0.3395 ± 0.0231
