Dataset,method,Experiment,RMSE
3_adult,chain01_datawig,1,0.2098 ± 0.0000
3_adult,chain01_datawig,2,0.2097 ± 0.0002
3_adult,chain01_datawig,3,0.2101 ± 0.0006
3_adult,chain01_datawig,4,0.2098 ± 0.0007
3_adult,chain01_datawig,5,0.2102 ± 0.0009
3_adult,chain01_datawig,6,0.2105 ± 0.0011
3_adult,chain01_datawig,7,0.2107 ± 0.0011
3_adult,chain01_datawig,8,0.2104 ± 0.0012
3_adult,chain01_datawig,9,0.2104 ± 0.0012
3_adult,chain01_datawig,10,0.2104 ± 0.0011
3_adult,chain01_datawig,11,0.2105 ± 0.0011
3_adult,chain01_datawig,12,0.2102 ± 0.0014
3_adult,chain01_datawig,13,0.2101 ± 0.0014
3_adult,chain01_datawig,14,0.2101 ± 0.0013
3_adult,chain01_datawig,15,0.2101 ± 0.0013
3_adult,chain01_datawig,16,0.2101 ± 0.0013
3_adult,chain01_datawig,17,0.2101 ± 0.0012
3_adult,chain01_datawig,18,0.2102 ± 0.0013
3_adult,chain01_datawig,19,0.2102 ± 0.0013
3_adult,chain01_datawig,20,0.2102 ± 0.0012
3_adult,chain01_datawig,21,0.2103 ± 0.0013
3_adult,chain01_datawig,22,0.2106 ± 0.0019
3_adult,chain01_datawig,23,0.2105 ± 0.0018
3_adult,chain01_datawig,24,0.2106 ± 0.0018
3_adult,chain01_datawig,25,0.2106 ± 0.0018
3_adult,chain01_datawig,26,0.2108 ± 0.0019
3_adult,chain01_datawig,27,0.2107 ± 0.0018
3_adult,chain01_datawig,28,0.2107 ± 0.0018
3_adult,chain01_datawig,29,0.2107 ± 0.0018
3_adult,chain01_datawig,30,0.2108 ± 0.0017
