Dataset,method,Experiment,RMSE
5_spambase,chain01_datawig,1,0.1761 ± 0.0000
5_spambase,chain01_datawig,2,0.1640 ± 0.0121
5_spambase,chain01_datawig,3,0.1735 ± 0.0166
5_spambase,chain01_datawig,4,0.1843 ± 0.0237
5_spambase,chain01_datawig,5,0.1893 ± 0.0234
5_spambase,chain01_datawig,6,0.1910 ± 0.0217
5_spambase,chain01_datawig,7,0.2123 ± 0.0560
5_spambase,chain01_datawig,8,0.2291 ± 0.0687
5_spambase,chain01_datawig,9,0.2252 ± 0.0658
5_spambase,chain01_datawig,10,0.2250 ± 0.0624
5_spambase,chain01_datawig,11,0.2195 ± 0.0620
5_spambase,chain01_datawig,12,0.2192 ± 0.0593
5_spambase,chain01_datawig,13,0.2154 ± 0.0585
5_spambase,chain01_datawig,14,0.2112 ± 0.0584
5_spambase,chain01_datawig,15,0.2144 ± 0.0577
5_spambase,chain01_datawig,16,0.2123 ± 0.0564
5_spambase,chain01_datawig,17,0.2130 ± 0.0548
5_spambase,chain01_datawig,18,0.2139 ± 0.0534
5_spambase,chain01_datawig,19,0.2117 ± 0.0528
5_spambase,chain01_datawig,20,0.2089 ± 0.0529
5_spambase,chain01_datawig,21,0.2082 ± 0.0517
5_spambase,chain01_datawig,22,0.2079 ± 0.0505
5_spambase,chain01_datawig,23,0.2057 ± 0.0505
5_spambase,chain01_datawig,24,0.2048 ± 0.0496
5_spambase,chain01_datawig,25,0.2032 ± 0.0492
5_spambase,chain01_datawig,26,0.2051 ± 0.0492
5_spambase,chain01_datawig,27,0.2034 ± 0.0490
5_spambase,chain01_datawig,28,0.2039 ± 0.0482
5_spambase,chain01_datawig,29,0.2053 ± 0.0480
5_spambase,chain01_datawig,30,0.2049 ± 0.0472
