Dataset,method,Experiment,RMSE
6_chess,chain01_datawig,1,0.2867 ± 0.0000
6_chess,chain01_datawig,2,0.2861 ± 0.0006
6_chess,chain01_datawig,3,0.2848 ± 0.0019
6_chess,chain01_datawig,4,0.2852 ± 0.0018
6_chess,chain01_datawig,5,0.2857 ± 0.0018
6_chess,chain01_datawig,6,0.2858 ± 0.0017
6_chess,chain01_datawig,7,0.2861 ± 0.0017
6_chess,chain01_datawig,8,0.2864 ± 0.0018
6_chess,chain01_datawig,9,0.2860 ± 0.0020
6_chess,chain01_datawig,10,0.2864 ± 0.0022
6_chess,chain01_datawig,11,0.2862 ± 0.0022
6_chess,chain01_datawig,12,0.2864 ± 0.0023
6_chess,chain01_datawig,13,0.2866 ± 0.0023
6_chess,chain01_datawig,14,0.2865 ± 0.0023
6_chess,chain01_datawig,15,0.2868 ± 0.0024
6_chess,chain01_datawig,16,0.2868 ± 0.0023
6_chess,chain01_datawig,17,0.2867 ± 0.0023
6_chess,chain01_datawig,18,0.2868 ± 0.0023
6_chess,chain01_datawig,19,0.2869 ± 0.0022
6_chess,chain01_datawig,20,0.2866 ± 0.0024
6_chess,chain01_datawig,21,0.2865 ± 0.0024
6_chess,chain01_datawig,22,0.2865 ± 0.0024
6_chess,chain01_datawig,23,0.2864 ± 0.0023
6_chess,chain01_datawig,24,0.2864 ± 0.0023
6_chess,chain01_datawig,25,0.2864 ± 0.0022
6_chess,chain01_datawig,26,0.2865 ± 0.0022
6_chess,chain01_datawig,27,0.2864 ± 0.0022
6_chess,chain01_datawig,28,0.2863 ± 0.0022
6_chess,chain01_datawig,29,0.2863 ± 0.0021
6_chess,chain01_datawig,30,0.2864 ± 0.0021
