Dataset,Experiment,multi_model,datawig_imputed_model,dynamic_imputed_model,knn_imputed_model,zero_imputed_model
11_iris,1,"[0.87854445 0.53805476 0.3606414  0.96336037 0.13638724 0.9348791
 0.205185   0.3923312  0.9874407  0.12527114 0.05877099 0.15841146
 0.78800493 0.25602373 0.1484185  0.59303427 0.194028   0.8155049
 0.01763242 0.00420075 0.9812213  0.23970966 0.49738142 0.00591266
 0.7403769  0.20918855 0.6535168  0.02574474 0.00244258 0.2227367 ]","[0.646595   0.124515   0.16475686 0.93458647 0.01922096 0.42889452
 0.07850099 0.66218054 0.57187974 0.00898866 0.06816928 0.01925326
 0.64299846 0.645431   0.10575296 0.31918046 0.05863516 0.6531615
 0.03131561 0.02871769 0.9487315  0.09361365 0.34568682 0.01705974
 0.45480287 0.6034313  0.52275664 0.02916378 0.01143733 0.3062861 ]","[0.53101385 0.2622417  0.3707795  0.45873365 0.3204469  0.4680401
 0.3157796  0.3732929  0.6063354  0.23163767 0.3311178  0.30799362
 0.33180287 0.16557282 0.2968334  0.3862296  0.3586275  0.40888348
 0.21095946 0.16997416 0.5469649  0.31083697 0.36115912 0.28407034
 0.5462778  0.3356509  0.41854715 0.21790838 0.16607057 0.43079787]","[0.9517424  0.10572552 0.8949858  0.96317434 0.02319574 0.77173406
 0.04834581 0.7008111  0.7370251  0.07548829 0.01750641 0.01770769
 0.6248573  0.7125755  0.02395503 0.5018845  0.07071427 0.86413234
 0.01971413 0.01654274 0.9667339  0.0472425  0.6907969  0.00586067
 0.78156376 0.31527665 0.67249346 0.01508033 0.00503254 0.12865888]","[0.814908   0.32995564 0.1426729  0.90420556 0.21344166 0.7008463
 0.23719805 0.4979483  0.9305679  0.09959266 0.28039992 0.17825092
 0.3538843  0.34493318 0.20148692 0.39127907 0.32026306 0.6184731
 0.03558151 0.02613094 0.93020743 0.20219633 0.4250929  0.1594664
 0.34654522 0.38061124 0.38605633 0.04757884 0.02027928 0.40476206]"
11_iris,2,"[0.08284926 0.5671891  0.40740997 0.43954793 0.06350177 0.12100097
 0.60839486 0.332783   0.27898788 0.6355789  0.11275872 0.06394953
 0.47711495 0.01215401 0.57270956 0.20050763 0.5491974  0.25238052
 0.84814024 0.11488511 0.10468424 0.13598101 0.01166264 0.05191443
 0.12600611 0.12153632 0.34243464 0.13791169 0.47253454 0.23690604]","[0.18485309 0.52412105 0.4945025  0.4902514  0.08267958 0.43733016
 0.5966075  0.36229107 0.03756735 0.7014917  0.09070483 0.08612441
 0.53457516 0.10072316 0.43260485 0.10936408 0.52927357 0.09027046
 0.74920756 0.08524563 0.08367411 0.10966892 0.10984556 0.22141592
 0.11895358 0.08239624 0.3548417  0.1064981  0.42932528 0.15878318]","[0.49600774 0.51003855 0.54054505 0.48511744 0.24532616 0.3520892
 0.27204412 0.4663714  0.33809173 0.29653963 0.21797687 0.21390103
 0.43371606 0.12693064 0.3342978  0.33706936 0.45370904 0.3124818
 0.35029235 0.24878927 0.37303466 0.33683333 0.11533168 0.3347988
 0.2927236  0.29530117 0.4329685  0.28610334 0.44874185 0.41939944]","[0.0688997  0.478594   0.60260546 0.59154844 0.04661749 0.57318527
 0.61774945 0.5024511  0.37837178 0.7367185  0.05472688 0.05751035
 0.6756824  0.02925959 0.5156467  0.08432699 0.5870926  0.05857454
 0.80110407 0.06673178 0.03784313 0.04307747 0.03080826 0.67216766
 0.08838314 0.05567518 0.4792533  0.05678115 0.55570394 0.16431342]","[0.42089316 0.56288236 0.35433236 0.48863646 0.19636737 0.33626914
 0.3740196  0.47459745 0.10395247 0.21606946 0.1358504  0.04400622
 0.5676309  0.05596074 0.39586443 0.2256945  0.4655999  0.08654176
 0.33335575 0.09706121 0.13030998 0.16194046 0.04531732 0.17537145
 0.16368848 0.19052032 0.31178117 0.16400117 0.3467475  0.23510589]"
11_iris,3,"[0.4002449  0.13949046 0.09523336 0.04318063 0.23745993 0.44471136
 0.13197598 0.5464469  0.25935665 0.19419628 0.13370225 0.68570924
 0.22645013 0.1273332  0.19281621 0.50400406 0.06295622 0.56816983
 0.4081834  0.05960336 0.7186407  0.30491424 0.09913798 0.56468546
 0.16765559 0.19740546 0.32893565 0.59846    0.08632055 0.0332171 ]","[0.12940319 0.06143618 0.06840547 0.03002638 0.17967439 0.76198304
 0.04756274 0.02110218 0.07438762 0.08432659 0.04521479 0.6124748
 0.35601646 0.05095574 0.5250624  0.31037804 0.05033421 0.73455137
 0.21199165 0.05192607 0.8280003  0.6678095  0.06536067 0.4083462
 0.06270785 0.05296132 0.49057454 0.8129077  0.05037125 0.07316758]","[0.4008527  0.2827018  0.29405984 0.20923418 0.4206201  0.3504635
 0.39394358 0.35730973 0.42504662 0.32197797 0.27770317 0.4655597
 0.28428826 0.285669   0.35469335 0.4494737  0.25733066 0.46510038
 0.35758385 0.28787038 0.45264846 0.33398268 0.35295483 0.4882324
 0.3176663  0.3041641  0.42294472 0.504726   0.4443185  0.20260996]","[0.23307396 0.11566114 0.07396735 0.0267645  0.36643583 0.7575541
 0.10562703 0.06762671 0.12273504 0.12290081 0.16265972 0.6270811
 0.33859852 0.0910363  0.76151204 0.37710202 0.03760309 0.7063189
 0.18870275 0.20556332 0.8696291  0.3806679  0.9002163  0.6056984
 0.04699706 0.10115914 0.50496334 0.9100411  0.06933721 0.06893749]","[0.6166507  0.08465236 0.03183407 0.04948658 0.6098319  0.6413096
 0.43417493 0.05526134 0.31068185 0.2937762  0.07309106 0.60136527
 0.63763386 0.04670353 0.511951   0.7015137  0.02054094 0.5927194
 0.7259372  0.19656885 0.76939577 0.62715054 0.3069863  0.66267395
 0.08057224 0.04196933 0.56898236 0.7498991  0.06654324 0.05615252]"
11_iris,4,"[0.02475963 0.9300933  0.05971977 0.48817706 0.04554159 0.0327863
 0.3157939  0.21199903 0.7066171  0.50452584 0.2623376  0.04094858
 0.03678596 0.3157939  0.30004245 0.6612202  0.64982665 0.19651295
 0.1285739  0.16373965 0.49456152 0.01778994 0.11528534 0.2974494
 0.84653634 0.7231323  0.31588528 0.35116842 0.01242714 0.3157939 ]","[0.07983303 0.82463485 0.09712625 0.47003534 0.06571588 0.0573604
 0.5809482  0.1260142  0.5979383  0.6530443  0.16496389 0.07860474
 0.11200552 0.5809482  0.25086862 0.63399005 0.4015365  0.27349454
 0.10314547 0.32992193 0.3474359  0.05420594 0.07212945 0.19121248
 0.7957549  0.5493367  0.4087748  0.40351847 0.0330261  0.5809482 ]","[0.27165237 0.61152834 0.24898691 0.45911664 0.21883461 0.20087034
 0.28364104 0.5407578  0.4429833  0.38348132 0.24430218 0.25119662
 0.3590043  0.3660356  0.45000228 0.42018884 0.52627283 0.36653388
 0.2673269  0.46878472 0.579439   0.1797235  0.23822783 0.41033027
 0.50017005 0.3459278  0.4090406  0.36667657 0.13847882 0.27848   ]","[0.20110458 0.9805416  0.04049525 0.72843164 0.07609403 0.01710293
 0.75708216 0.0984201  0.8067868  0.84159684 0.04252584 0.02093359
 0.08574177 0.75708216 0.75946623 0.88956475 0.7658008  0.29761866
 0.04049525 0.47539008 0.6234653  0.07197519 0.08643309 0.19211152
 0.8285207  0.7654035  0.44229165 0.829015   0.00920353 0.75708216]","[0.02930767 0.82345015 0.01496256 0.6645831  0.04299914 0.00779837
 0.72100925 0.08242387 0.6502806  0.6983822  0.07552125 0.0098026
 0.01696989 0.72100925 0.77533096 0.72291726 0.6107574  0.51767945
 0.01243708 0.57440317 0.353565   0.00702855 0.03552298 0.14151864
 0.8087866  0.6704251  0.48220468 0.759971   0.0231083  0.72100925]"
11_iris,5,"[0.06571054 0.92353654 0.28716    0.6491986  0.8597031  0.34556413
 0.46630588 0.20996977 0.84654635 0.06374186 0.40348724 0.13248925
 0.04370144 0.18982576 0.06268007 0.25939563 0.3624773  0.67827666
 0.10608068 0.8604147  0.47595242 0.38889924 0.6910631  0.12073015
 0.11896875 0.0667929  0.03023849 0.00606572 0.15788183 0.08455122]","[0.07380801 0.10546905 0.10593577 0.17291664 0.05072065 0.12820305
 0.61714333 0.08159243 0.73034495 0.10438818 0.18801223 0.10802132
 0.08423429 0.5553771  0.08001365 0.12546685 0.10844595 0.43737492
 0.08555687 0.7828217  0.47178707 0.65574443 0.4959552  0.08381346
 0.39859307 0.09052508 0.07202064 0.5823264  0.07919475 0.2937544 ]","[0.26992372 0.41208416 0.34771764 0.4469844  0.39493325 0.35827616
 0.31108457 0.28599685 0.5312164  0.22662947 0.42465234 0.38312128
 0.15241154 0.52892894 0.3856771  0.3681541  0.35252208 0.28324804
 0.270955   0.50848967 0.34535736 0.44632462 0.47454247 0.18710923
 0.3467202  0.25949252 0.22683096 0.29627004 0.28768063 0.3281113 ]","[0.04276086 0.8016156  0.13986756 0.1209103  0.0801978  0.12301097
 0.02527675 0.15878636 0.9704466  0.07132052 0.20156983 0.08065923
 0.02511108 0.57120657 0.03924025 0.04365505 0.02378221 0.2841364
 0.07598186 0.9821878  0.7334479  0.89257604 0.97836715 0.0379973
 0.0029139  0.06104211 0.01270527 0.05904917 0.14774777 0.21765274]","[0.09194076 0.3456     0.17964794 0.32951194 0.3029286  0.28007793
 0.31215787 0.17886256 0.73188436 0.15779848 0.31437305 0.26606834
 0.07881079 0.35393012 0.16025823 0.29638496 0.17461565 0.44633058
 0.09380274 0.7576427  0.37004507 0.4264574  0.6796292  0.28215253
 0.38246158 0.08615155 0.06419059 0.3040566  0.09519754 0.43637383]"
11_iris,6,"[0.37458518 0.44272673 0.5178506  0.03202312 0.4244352  0.5840336
 0.03717684 0.26298308 0.04216227 0.3391025  0.16005594 0.09662219
 0.41876405 0.5120051  0.05817324 0.09956684 0.5967563  0.45368794
 0.02988645 0.74103105 0.6473291  0.4773578  0.10183592 0.6690932
 0.48105046 0.30278513 0.16750373 0.30278513 0.796432   0.77632827]","[0.45226502 0.49782357 0.6134453  0.06065821 0.37537846 0.62429047
 0.06919971 0.23572421 0.08446541 0.5701252  0.10822719 0.280169
 0.30794907 0.4207216  0.0727461  0.11361366 0.5998809  0.43363982
 0.06984389 0.20181154 0.58983237 0.5186539  0.11048374 0.5743721
 0.57808936 0.3426387  0.3210193  0.3426387  0.67549175 0.64936566]","[0.5515717  0.5388093  0.5058104  0.17137824 0.7465764  0.50885403
 0.22374853 0.28483576 0.19684374 0.7434735  0.3977961  0.4322637
 0.52535224 0.3909303  0.18170172 0.47095674 0.46133763 0.5189318
 0.14812249 0.26580772 0.49834064 0.5387647  0.23227464 0.6606677
 0.2775122  0.1845005  0.34398517 0.33476275 0.34890336 0.4173362 ]","[0.07688691 0.10680601 0.6167616  0.01199477 0.27567965 0.7227932
 0.0565628  0.05139208 0.0178227  0.09275579 0.36612388 0.0419273
 0.1521969  0.36536416 0.12758948 0.03748807 0.8305574  0.2670885
 0.04983092 0.02348323 0.8105294  0.8795802  0.09576362 0.56073177
 0.76359826 0.5401765  0.5197957  0.5401765  0.8447092  0.69481266]","[0.16413537 0.26010257 0.54542756 0.03873616 0.21290883 0.6904348
 0.11596949 0.46837336 0.03561388 0.49940825 0.24244577 0.12806363
 0.14778164 0.5695805  0.02321485 0.09110488 0.58504915 0.228436
 0.03196365 0.12112254 0.60443676 0.63349396 0.08527643 0.39519155
 0.5277336  0.5368281  0.57159895 0.5368281  0.52821475 0.4781921 ]"
11_iris,7,"[0.05944455 0.3731265  0.06958994 0.03835424 0.57618886 0.7940302
 0.3600467  0.04211563 0.1789054  0.9097411  0.6688828  0.4790674
 0.07422667 0.17896046 0.82974464 0.8529702  0.02478351 0.16355796
 0.09578951 0.13174601 0.868455   0.7708649  0.09123008 0.15106718
 0.67596936 0.23036034 0.20894286 0.6799226  0.04420037 0.0936946 ]","[0.1540084  0.2899525  0.191866   0.1222747  0.1423515  0.42555448
 0.3839299  0.27557525 0.3917162  0.7750303  0.4308595  0.5223695
 0.11155391 0.33058402 0.5966735  0.2134447  0.13513611 0.2517822
 0.24804796 0.08287824 0.73497397 0.50507957 0.37286568 0.12929209
 0.5401803  0.56902605 0.3881753  0.5011395  0.06606252 0.12787041]","[0.33218765 0.24826285 0.27880147 0.32196632 0.37806883 0.24821179
 0.42722914 0.30079147 0.37070587 0.5540592  0.4163991  0.33323756
 0.19059676 0.44153216 0.27521396 0.5569514  0.2999758  0.5429915
 0.29210642 0.20346089 0.24199429 0.4462692  0.39338523 0.32181412
 0.21951395 0.4502446  0.3229335  0.39265186 0.17354439 0.5016515 ]","[0.05819464 0.17433687 0.12191494 0.04639892 0.5403157  0.4907173
 0.34475636 0.06365    0.0907527  0.7889585  0.5788015  0.58622
 0.03253796 0.30023754 0.70901686 0.7828222  0.08985572 0.22261961
 0.15169665 0.03487837 0.77803874 0.6773879  0.06817699 0.46188095
 0.5846973  0.1439922  0.15797153 0.6848428  0.04096207 0.08406267]","[0.38868257 0.38044456 0.07268173 0.06387474 0.40883675 0.5800747
 0.26598158 0.4488945  0.49741372 0.71650636 0.5513053  0.5468319
 0.07950905 0.37628645 0.5500961  0.24595979 0.04549312 0.4341002
 0.0864991  0.10168839 0.44652054 0.5982065  0.13507946 0.03845354
 0.51108515 0.43344614 0.546418   0.6200432  0.06715152 0.29036433]"
11_iris,8,"[0.13088876 0.1280665  0.9437063  0.90668195 0.54731864 0.18502676
 0.9537703  0.25141865 0.84669596 0.4380475  0.65789527 0.43832287
 0.13833456 0.45966396 0.05865414 0.8410784  0.11334739 0.13682663
 0.12191232 0.37125298 0.52963126 0.3286852  0.86084986 0.06655556
 0.21378794 0.6807216  0.9163643  0.9186089  0.33554813 0.11847345]","[0.3600276  0.01385739 0.8089577  0.8502984  0.64121884 0.09390326
 0.76231325 0.67486036 0.09366241 0.33346367 0.5764744  0.390469
 0.08092907 0.16297165 0.09745076 0.69725823 0.04550293 0.22775133
 0.13503489 0.1581014  0.43697184 0.19797678 0.81264126 0.06024832
 0.44168836 0.73853916 0.8341635  0.80154556 0.0656231  0.12587889]","[0.3609915  0.26580292 0.63905597 0.21961091 0.47546542 0.2658793
 0.59794617 0.3288453  0.35161644 0.42958212 0.37361035 0.40563387
 0.20646684 0.3510842  0.43219545 0.4599756  0.34272733 0.343036
 0.27402768 0.31586397 0.41684023 0.433323   0.2145223  0.29125392
 0.6794602  0.4347762  0.48027807 0.60991937 0.4166742  0.46101436]","[0.43285763 0.04081016 0.90102696 0.85057676 0.34421703 0.03903228
 0.94128823 0.5492405  0.5903079  0.71637326 0.77377564 0.73219883
 0.02186226 0.3496597  0.01029725 0.8727237  0.1647953  0.76401246
 0.0292347  0.0334642  0.4969575  0.37679318 0.8728574  0.16624138
 0.2947044  0.68815976 0.9027253  0.9458455  0.26163098 0.15985537]","[0.55234456 0.3995707  0.76648843 0.68617576 0.76281697 0.00614123
 0.7242305  0.72984535 0.02253657 0.28095758 0.75584006 0.34705472
 0.02344181 0.09521536 0.00725506 0.67285794 0.08627199 0.4796908
 0.0433136  0.04837121 0.5640976  0.13126884 0.6946098  0.02868198
 0.59816825 0.62222856 0.87079555 0.77352285 0.05377638 0.6768916 ]"
11_iris,9,"[0.07105127 0.19383001 0.10717895 0.31374216 0.22211716 0.17149162
 0.04466866 0.24587083 0.45118406 0.2220862  0.4382672  0.06381058
 0.5180556  0.5212839  0.24158254 0.01787415 0.3635991  0.6390006
 0.21728656 0.01731892 0.86954516 0.08396065 0.1841063  0.24158254
 0.5396792  0.22794768 0.02950663 0.04378121 0.06287719 0.2559157 ]","[0.08570855 0.21040925 0.13998087 0.43751463 0.49692214 0.20193738
 0.13564985 0.18303995 0.25366804 0.298864   0.24278195 0.08505308
 0.25933218 0.43691176 0.47561866 0.12821244 0.32030267 0.39666
 0.38987663 0.10661629 0.7888622  0.17904271 0.3944047  0.47561866
 0.515894   0.15126148 0.10523682 0.12278549 0.07360291 0.25922367]","[0.24050245 0.3595107  0.28022414 0.6386859  0.36625335 0.3272574
 0.295074   0.37142098 0.47587788 0.39739728 0.45619416 0.20190859
 0.38223225 0.4495976  0.4797915  0.25944418 0.2654241  0.43775043
 0.31030098 0.29283246 0.60212666 0.26812956 0.4134576  0.39774722
 0.4014241  0.40073484 0.29127574 0.29875836 0.19871062 0.4120908 ]","[0.02680175 0.03175053 0.04485489 0.7123424  0.2366369  0.03970499
 0.01441421 0.11825942 0.079069   0.8173322  0.11481845 0.02639399
 0.11984003 0.7720673  0.7236544  0.11574576 0.53931326 0.87333316
 0.79208297 0.05454173 0.88730705 0.04128491 0.19030362 0.7236544
 0.78531355 0.14947942 0.06525552 0.02691193 0.04595306 0.07519799]","[0.20092182 0.1514703  0.1115532  0.3840908  0.46318147 0.16758823
 0.18583357 0.21804813 0.53550476 0.40280014 0.31555468 0.17206205
 0.20966518 0.39628962 0.43275476 0.13056548 0.47450835 0.60464513
 0.33439064 0.11123433 0.78418857 0.23816507 0.4566466  0.43275476
 0.53536177 0.2003212  0.11312791 0.17419265 0.06140392 0.2902213 ]"
11_iris,10,"[0.27724403 0.7691321  0.02212374 0.23857988 0.07704607 0.14484043
 0.05575193 0.0771263  0.34789464 0.02418722 0.03792032 0.72276485
 0.84066105 0.46189266 0.07824731 0.8730476  0.02411506 0.21584551
 0.32683492 0.05160048 0.0825552  0.11444498 0.45919403 0.02413682
 0.6181098  0.7255003  0.02109952 0.10988104 0.19017725 0.4499634 ]","[0.17507906 0.6086185  0.0678684  0.04927387 0.05143105 0.13345553
 0.03821941 0.05628345 0.09240728 0.05373163 0.05545674 0.6570508
 0.79534477 0.45370638 0.04624747 0.6834971  0.02883388 0.07279665
 0.06887725 0.03352794 0.07961403 0.03639442 0.11586276 0.0389744
 0.38343662 0.41023532 0.03508894 0.15379551 0.07655139 0.35090902]","[0.37037376 0.47570258 0.28365266 0.39240712 0.33911708 0.3318238
 0.22599074 0.47596148 0.43790677 0.5516902  0.23798592 0.423942
 0.46123576 0.26309082 0.2597705  0.49526697 0.15940809 0.26042363
 0.3953779  0.21003374 0.2052755  0.25192767 0.4687539  0.21210806
 0.42158166 0.4307193  0.18798585 0.3342759  0.31136352 0.37352255]","[0.17907001 0.61696374 0.00956509 0.23630574 0.02954314 0.09032378
 0.03864413 0.09165211 0.5439528  0.02451066 0.02993304 0.62766546
 0.47956392 0.64770293 0.03855175 0.7575569  0.06450615 0.02954314
 0.5261166  0.05042014 0.02490751 0.12611043 0.45561656 0.03060544
 0.5888799  0.6972102  0.04356184 0.8890381  0.18581142 0.6273326 ]","[0.30957872 0.47543293 0.06529512 0.01094878 0.25328052 0.05758344
 0.00519072 0.00838211 0.03266277 0.73622024 0.00765457 0.46952644
 0.74102306 0.31402436 0.01125659 0.54989827 0.00850101 0.54329324
 0.19787808 0.08426851 0.0719084  0.04996812 0.02157001 0.00557834
 0.42699853 0.4401738  0.03287066 0.6669808  0.05946651 0.1910062 ]"
