Dataset,Experiment,multi_model,datawig_imputed_model,dynamic_imputed_model,knn_imputed_model,zero_imputed_model
15_magic,1,[0.00981618 0.41334033 0.01399279 ... 0.66109294 0.99979347 0.8152574 ],[0.01227494 0.31186962 0.01029544 ... 0.54904485 0.9995421  0.25942916],[0.12832493 0.30068427 0.20737684 ... 0.40576187 0.98982084 0.3850441 ],[0.05562399 0.1919835  0.03530794 ... 0.08599217 0.9995665  0.8750878 ],[0.00806442 0.80178183 0.6374866  ... 0.05668621 0.99992085 0.35467318]
15_magic,2,[0.5165266  0.13850416 0.9998412  ... 0.04686179 0.22484475 0.3235631 ],[0.79961497 0.15753822 0.9998605  ... 0.44834688 0.092414   0.46464336],[0.5488747  0.2446169  0.9783051  ... 0.23401263 0.11900343 0.39493304],[0.14528228 0.31320453 0.99848    ... 0.37416664 0.3687024  0.03315261],[0.9261478  0.37178728 0.9999627  ... 0.03379278 0.26989207 0.39382723]
15_magic,3,[0.33455947 0.9985519  0.02641629 ... 0.11604428 0.41713133 0.9066369 ],[0.50937736 0.9940877  0.24082603 ... 0.12032124 0.3676164  0.98966867],[0.57324404 0.29389262 0.2780673  ... 0.14436632 0.9832811  0.3244443 ],[0.3162162  0.5592989  0.01974654 ... 0.65598875 0.8836225  0.01292136],[0.75410956 0.9965442  0.10705185 ... 0.02285211 0.84188    0.96397257]
15_magic,4,"[3.1975351e-02 1.3053186e-01 1.3859251e-04 ... 9.8413980e-01 1.9723372e-01
 8.8137680e-01]","[3.0430440e-02 4.5244700e-01 7.5494073e-04 ... 9.9975222e-01 1.9941060e-01
 9.9219900e-01]",[0.11667703 0.45595628 0.11654647 ... 0.96029234 0.2576869  0.55094194],[0.1768318  0.9999018  0.02488506 ... 0.9999168  0.00566426 0.38061994],"[6.9671068e-03 1.0156917e-01 5.9558020e-04 ... 9.9789774e-01 7.3997200e-01
 2.5851098e-01]"
15_magic,5,[0.02336636 0.11013971 0.16120344 ... 0.4212553  0.99967396 0.78849244],[0.00963075 0.2257218  0.10764865 ... 0.04903842 0.99904746 0.10165606],[0.30898628 0.34013963 0.17521939 ... 0.11307072 0.9900501  0.15741852],[0.02092174 0.02202639 0.11023512 ... 0.16047017 0.99981755 0.01336575],[0.15638494 0.11374313 0.03252652 ... 0.04235779 0.99999154 0.9897536 ]
15_magic,6,[0.00371772 0.16463047 0.09919851 ... 0.29241422 0.03449112 0.46963704],[0.03754023 0.32392251 0.09664167 ... 0.01008441 0.01435073 0.00944515],[0.14125225 0.27490395 0.19587451 ... 0.16319898 0.09115591 0.79508334],[0.04272787 0.28238547 0.24608284 ... 0.4979828  0.15775394 0.0561255 ],[0.03148045 0.25475034 0.18442349 ... 0.01070052 0.00489784 0.05359975]
15_magic,7,[0.62160677 0.13183483 0.14554545 ... 0.14337362 0.22268467 0.2925191 ],[0.96595454 0.4697074  0.02657551 ... 0.1684197  0.88273454 0.52054006],[0.5952967  0.2052662  0.07023403 ... 0.42182323 0.13431297 0.27460715],[0.53145003 0.78791094 0.23484224 ... 0.10524771 0.13662359 0.3221949 ],[0.9002215  0.2814002  0.04540141 ... 0.43130144 0.00376892 0.542129  ]
15_magic,8,[0.99996233 0.604      0.0069134  ... 0.30023468 0.0752927  0.9749127 ],"[9.9996495e-01 7.5718671e-01 4.3264980e-04 ... 1.5957534e-01 7.2522467e-01
 9.8029411e-01]",[0.98243195 0.43744883 0.04835383 ... 0.13207419 0.15770179 0.11493769],[0.9998287  0.04668694 0.07548089 ... 0.00546818 0.0115495  0.9975725 ],"[9.9915230e-01 4.5447206e-01 1.5100594e-04 ... 1.4947212e-01 2.1728499e-01
 1.0853396e-01]"
15_magic,9,"[1.6472483e-01 3.7396813e-04 1.1263505e-01 ... 9.9937052e-01 4.6366435e-01
 9.9833846e-01]","[3.7895757e-01 1.1560717e-06 6.2830299e-03 ... 9.9982363e-01 5.2217072e-01
 9.9998784e-01]",[0.3483762  0.03862144 0.16720802 ... 0.9025613  0.74923015 0.9695849 ],"[2.8682157e-01 9.7945018e-04 8.4650993e-02 ... 6.9597340e-01 9.0219669e-02
 9.9770147e-01]","[3.2284895e-01 1.3255719e-04 2.1605950e-03 ... 9.9959904e-01 8.9914197e-01
 9.9992275e-01]"
15_magic,10,[0.01780635 0.00706591 0.1083634  ... 0.00221217 0.00505074 0.23124224],[0.02979916 0.00482309 0.00874409 ... 0.00927428 0.00111693 0.00301587],[0.25446382 0.11392619 0.33097854 ... 0.12743944 0.06284583 0.32281616],[0.00126461 0.20753619 0.38738734 ... 0.01744853 0.01699748 0.771825  ],"[6.3456614e-03 2.3926322e-03 4.0698078e-02 ... 1.3513750e-03 8.6366039e-05
 1.2319699e-01]"
