Dataset,Experiment,multi_model,datawig_imputed_model,dynamic_imputed_model,knn_imputed_model,zero_imputed_model
22_seeds,1,"[0.94594234 0.03438168 0.9972805  0.99003357 0.00488106 0.00224388
 0.11234357 0.02783696 0.00106155 0.04739286 0.91988903 0.11137514
 0.18153667 0.21838751 0.0014434  0.00480953 0.3151431  0.79502624
 0.99297607 0.9996979  0.00502435 0.9827085  0.3950234  0.82790667
 0.00639897 0.04588558 0.0078421  0.9835945  0.06226378 0.01413827
 0.0811234  0.00492591 0.02895734 0.01304448 0.2999901  0.00708093
 0.01331594 0.02250237 0.79930085 0.95103705 0.17086084 0.99115694]","[0.9251028  0.01260514 0.99153674 0.9851946  0.04472211 0.00227591
 0.0106527  0.03325041 0.00318324 0.15468566 0.9500596  0.5455188
 0.38578779 0.2835259  0.00155531 0.00547118 0.25380656 0.1433711
 0.99404067 0.9957594  0.01240455 0.8513109  0.6277252  0.90604305
 0.00299839 0.09287887 0.00455431 0.96705496 0.10952525 0.0454493
 0.02319712 0.03465549 0.05092191 0.00752261 0.55593926 0.08324435
 0.0585667  0.00474074 0.38747036 0.83465964 0.5497779  0.8623212 ]","[0.7071836  0.05492849 0.8002931  0.858834   0.05340472 0.2299026
 0.53551346 0.10386404 0.13615415 0.31737357 0.929484   0.5936799
 0.15884563 0.57671297 0.08775896 0.3561216  0.370776   0.4902565
 0.83754826 0.9611139  0.03646595 0.85085607 0.24453823 0.57574177
 0.37262973 0.06952717 0.17239897 0.8038781  0.10312071 0.12639406
 0.06003847 0.05067901 0.3161784  0.05635768 0.29031825 0.0714185
 0.10851343 0.18166605 0.8600852  0.6418851  0.35543954 0.8486129 ]","[0.9652079  0.01248249 0.99257916 0.9515178  0.26941648 0.00522953
 0.19292372 0.01099855 0.0028811  0.09453612 0.88911575 0.11683467
 0.35419294 0.14063787 0.00410904 0.01810059 0.26621687 0.8770254
 0.9415442  0.9865819  0.01146126 0.98725057 0.51759213 0.86092794
 0.02676726 0.0274244  0.73597074 0.8758746  0.74305904 0.03164648
 0.01197416 0.00894525 0.01989824 0.01819751 0.14022514 0.0475584
 0.02349216 0.38463277 0.9794612  0.4054398  0.12137628 0.97964156]","[0.5405375  0.07925781 0.9949811  0.99461466 0.00669812 0.01890221
 0.0307299  0.10330793 0.09796724 0.03277213 0.86896867 0.04660302
 0.41286227 0.9554701  0.02045532 0.0637504  0.06700892 0.59771967
 0.9969451  0.9993692  0.00309545 0.9830882  0.7626175  0.95123655
 0.00472391 0.13915361 0.08433143 0.9728572  0.0400563  0.0171443
 0.06880844 0.00510382 0.07445383 0.02118223 0.13628861 0.03465929
 0.01263678 0.13656634 0.98248017 0.7368513  0.06530587 0.86474985]"
22_seeds,2,"[0.99485356 0.00151509 0.9992435  0.17673916 0.94858    0.00630388
 0.9987728  0.02965542 0.50115764 0.00830384 0.00685014 0.9949833
 0.99698645 0.9998022  0.05810425 0.00209414 0.00789981 0.99124396
 0.8836542  0.98930967 0.9914773  0.9977336  0.11951082 0.11361077
 0.3158584  0.00314607 0.98719656 0.00212799 0.9960322  0.01104406
 0.21545379 0.02851198 0.07662037 0.9966775  0.66159797 0.06405307
 0.18699956 0.00337426 0.9815431  0.44814992 0.95393056 0.04752754]","[0.92275137 0.00431333 0.96050185 0.09204719 0.7878239  0.01117543
 0.9923537  0.02830183 0.16430955 0.03826673 0.02413749 0.8841821
 0.88921267 0.98225373 0.03091689 0.00542732 0.01297869 0.9847163
 0.7212227  0.9451529  0.9717363  0.76148635 0.05836649 0.09531146
 0.43296972 0.00559302 0.99407333 0.02377724 0.9191993  0.0137664
 0.02417673 0.01510291 0.10883863 0.97458184 0.27616775 0.02199311
 0.01918428 0.00282148 0.6476425  0.14426038 0.38623318 0.03943419]","[0.7300689  0.11420798 0.59656584 0.22554646 0.60232306 0.08508907
 0.668391   0.19169858 0.57806325 0.16264313 0.11837638 0.6655147
 0.5945832  0.92086643 0.26633376 0.06330712 0.06876901 0.47431093
 0.4126241  0.5425641  0.71183187 0.49793002 0.18815152 0.24401222
 0.55862606 0.09559029 0.7458146  0.05204517 0.41446084 0.15650317
 0.19797266 0.4936573  0.29947403 0.676396   0.7969318  0.25175452
 0.08552601 0.12889543 0.6345986  0.2905311  0.792759   0.11609625]","[0.7223214  0.03245552 0.68121845 0.2579553  0.8553696  0.00281808
 0.5272211  0.3220881  0.3608308  0.03463054 0.01918089 0.708449
 0.9268235  0.86019784 0.12695123 0.02992384 0.05747906 0.94767696
 0.8114054  0.9550947  0.9683482  0.8156129  0.8774599  0.16590254
 0.73531216 0.04979903 0.9781732  0.32338145 0.6571516  0.02114227
 0.81859314 0.49099752 0.07015184 0.9534689  0.44231406 0.05063738
 0.88916194 0.00287178 0.90956795 0.23216088 0.4943727  0.08648778]","[0.7507283  0.00334903 0.56380886 0.4265152  0.7498408  0.02406205
 0.9785073  0.00821433 0.40712014 0.00949146 0.05718544 0.37721634
 0.83676314 0.99028367 0.01447194 0.00136003 0.0084281  0.9255915
 0.56493324 0.90757936 0.9432993  0.45737216 0.19424239 0.6093798
 0.87605256 0.01653462 0.9865111  0.1124128  0.7023062  0.05260519
 0.15207815 0.03908285 0.08180702 0.93446225 0.8719587  0.15279624
 0.13871357 0.00320058 0.82213163 0.15077035 0.28769195 0.0110538 ]"
22_seeds,3,"[0.9812196  0.01375886 0.35672402 0.01887955 0.77371764 0.01133067
 0.9692239  0.10348579 0.9924737  0.06309203 0.08869894 0.5845893
 0.03271116 0.02176824 0.00662933 0.3235457  0.87390053 0.00150522
 0.01526194 0.00673953 0.94641703 0.22455604 0.93536294 0.56553686
 0.87090796 0.9946532  0.03990675 0.7024086  0.9356111  0.00970298
 0.999534   0.13510004 0.9861027  0.17023301 0.913677   0.01288466
 0.97677463 0.00284501 0.9956084  0.82368135 0.5375964  0.01620572]","[0.9347664  0.04820753 0.24412961 0.02869124 0.83939356 0.02621087
 0.91631496 0.1458833  0.96853787 0.11694963 0.12282669 0.8477799
 0.26121932 0.02672546 0.02080531 0.1741508  0.8367578  0.00927009
 0.0363526  0.05611738 0.89071435 0.09284989 0.19012159 0.5036383
 0.79605764 0.96670735 0.3432001  0.74037147 0.9058745  0.01663161
 0.9934043  0.02991058 0.97902817 0.4320197  0.8354123  0.01346664
 0.6271567  0.02977634 0.991134   0.81425726 0.7557509  0.02716493]","[0.738119   0.20339766 0.22693753 0.19390409 0.64569753 0.13335854
 0.31390548 0.14511251 0.724497   0.2784089  0.58880687 0.7021147
 0.07788989 0.3222762  0.07321387 0.16076067 0.6597043  0.1564886
 0.17812444 0.13944876 0.84173095 0.53081095 0.56429505 0.3559666
 0.4177329  0.7072635  0.39905003 0.47457084 0.5626565  0.0935495
 0.94193083 0.09896818 0.8149817  0.51839775 0.8847188  0.09099598
 0.89900583 0.14857037 0.80230874 0.34887508 0.401862   0.11871608]","[0.67887676 0.06624377 0.43052062 0.0104173  0.6092225  0.02852673
 0.21360531 0.02690894 0.38468644 0.54289395 0.10611939 0.59486145
 0.03795578 0.06813852 0.06202865 0.02453883 0.8448735  0.05697436
 0.02695349 0.03573968 0.816453   0.43765655 0.5007633  0.69347966
 0.4093138  0.92625386 0.10033483 0.66985583 0.95186335 0.00255098
 0.9804217  0.26035222 0.9494145  0.33989632 0.98993623 0.04490604
 0.6047284  0.01222755 0.9335117  0.7910623  0.518892   0.07298987]","[0.70587474 0.06002327 0.00548914 0.12089076 0.8887708  0.1503061
 0.9347729  0.16499034 0.98237765 0.4631872  0.27378252 0.99059147
 0.3537618  0.3574306  0.01908498 0.02809192 0.6770033  0.01117117
 0.08976719 0.02015781 0.8848336  0.00430584 0.9151226  0.8034703
 0.864836   0.9767816  0.01329472 0.78376657 0.209972   0.01406204
 0.9973442  0.01833329 0.98927385 0.5638517  0.6934504  0.01816965
 0.13553414 0.01803169 0.9655001  0.90720326 0.92985004 0.15701842]"
22_seeds,4,"[3.43526388e-03 1.74876209e-02 3.48433033e-02 1.32891058e-03
 3.73093504e-03 1.11646568e-02 5.77112311e-04 3.25445473e-01
 9.99355018e-01 1.23715736e-01 1.79745664e-04 8.60525891e-02
 4.89754928e-03 1.91066053e-03 9.99340236e-01 9.37093496e-01
 2.75364699e-04 6.76188529e-01 2.39420533e-01 3.08375084e-03
 5.62862353e-03 1.27001002e-01 9.91416395e-01 8.68840873e-01
 9.98250067e-01 5.65612130e-02 9.95621383e-01 9.96063411e-01
 9.63759482e-01 2.54878253e-01 9.99514461e-01 9.06788826e-01
 5.47588050e-01 2.21349522e-02 9.97732878e-01 9.65973854e-01
 2.07716510e-01 2.07465477e-02 9.94980872e-01 2.85697013e-01
 9.48747899e-03 1.75713245e-02]","[0.13190956 0.03649345 0.1020048  0.06316709 0.00804884 0.05025344
 0.0242238  0.25020686 0.84330136 0.04192366 0.00325478 0.13896818
 0.01310632 0.00540635 0.78196734 0.8245146  0.07216156 0.10705113
 0.413708   0.03761706 0.01939512 0.24988796 0.89815336 0.8867688
 0.19935808 0.16255978 0.9837841  0.9519196  0.91776097 0.02909069
 0.84439236 0.7666948  0.61994046 0.03676992 0.95619905 0.97135776
 0.7673012  0.01917912 0.5159146  0.23839492 0.06808244 0.18311808]","[0.6701365  0.26592326 0.10165893 0.14559709 0.10585896 0.04414567
 0.02870976 0.3301463  0.5900366  0.2754485  0.02852085 0.23739095
 0.02135048 0.05931574 0.7049777  0.9075099  0.03223406 0.3626212
 0.58418554 0.11574095 0.10183739 0.25703394 0.60964525 0.859931
 0.9517778  0.21852085 0.9264034  0.7027169  0.16198765 0.11759628
 0.56640464 0.47930017 0.13221118 0.10402175 0.67777926 0.44372112
 0.6732237  0.15153715 0.84619707 0.1175347  0.310236   0.03329714]","[0.1905444  0.12166209 0.04875192 0.02704782 0.02338349 0.03482391
 0.04772633 0.49036515 0.30313408 0.05844971 0.01423365 0.23047288
 0.04383513 0.02605176 0.89996606 0.9158725  0.04397072 0.35078523
 0.29994527 0.06962899 0.05931296 0.18411677 0.81606007 0.72074914
 0.6993071  0.12196291 0.87376726 0.97806203 0.94317245 0.2017479
 0.77687645 0.7072719  0.38323855 0.09835173 0.8233631  0.93274266
 0.6418086  0.08255382 0.43283576 0.17750992 0.08892688 0.02968872]","[0.14665997 0.16871257 0.1475438  0.05004122 0.02444023 0.00984196
 0.04714771 0.6070122  0.9127217  0.05094487 0.01651962 0.0970859
 0.02556926 0.00291536 0.83688927 0.6406943  0.12765324 0.6127048
 0.8748958  0.01164972 0.06006927 0.22035451 0.9167492  0.16374685
 0.16307898 0.63627803 0.87138903 0.95350486 0.04071783 0.06169132
 0.5676624  0.72389424 0.52964884 0.18152602 0.94096786 0.8580511
 0.9275145  0.00182712 0.40513936 0.00140984 0.16938533 0.05866341]"
22_seeds,5,"[0.9519511  0.29137564 0.29066396 0.9963458  0.03319298 0.9968184
 0.03138988 0.00599401 0.04020095 0.00779349 0.01010548 0.95898336
 0.1804641  0.29733565 0.62037915 0.00880952 0.04855221 0.5358646
 0.00579217 0.16305566 0.9796285  0.05016531 0.20731087 0.06378953
 0.00708714 0.0215077  0.84374154 0.5312952  0.00928817 0.92306066
 0.02033516 0.01743238 0.9946003  0.8455212  0.38890105 0.62322545
 0.8660024  0.9955373  0.02267133 0.00146593 0.0604249  0.03295558]","[0.9514165  0.13399297 0.01416115 0.9872219  0.01205463 0.99467367
 0.02373483 0.02444722 0.09915659 0.0094168  0.13663684 0.98210126
 0.05808414 0.01719639 0.77137375 0.00546177 0.06610419 0.5034672
 0.02054272 0.07624999 0.9533693  0.0318233  0.4616225  0.01219174
 0.00731995 0.03186546 0.88596773 0.03942325 0.20625435 0.4258021
 0.05988124 0.00610298 0.9493585  0.94240785 0.05653991 0.02036202
 0.85618263 0.943572   0.05149711 0.00501307 0.02898118 0.02341771]","[0.60690176 0.5989562  0.44282666 0.9537401  0.3263314  0.8614015
 0.4082589  0.13532278 0.1664667  0.30678046 0.2341381  0.78857034
 0.36017653 0.6216388  0.43672597 0.22099145 0.25312987 0.86691576
 0.12429689 0.58684397 0.68261254 0.24294458 0.6136972  0.15718494
 0.13270806 0.22659396 0.7247312  0.4133439  0.78349066 0.88073915
 0.21538416 0.36226344 0.76181555 0.81569695 0.53124684 0.63505214
 0.557789   0.725267   0.12144402 0.05628508 0.14138219 0.24219301]","[0.96992606 0.72570395 0.01891369 0.94554245 0.0412691  0.997898
 0.1273631  0.02167794 0.6898106  0.00910424 0.13711579 0.97877
 0.43452635 0.07969385 0.21548782 0.02940211 0.21312949 0.7030271
 0.03172339 0.09649004 0.97862864 0.05000278 0.9429429  0.03774898
 0.00255343 0.06737257 0.82792914 0.2632831  0.2648491  0.8959969
 0.21432067 0.10350072 0.9943077  0.52945536 0.37067866 0.5347511
 0.89395195 0.98089576 0.06453787 0.00262892 0.03080603 0.02137197]","[0.9641716  0.77029073 0.26495558 0.99445844 0.36770037 0.99450666
 0.29512247 0.00216575 0.13475782 0.03672994 0.05070198 0.98556316
 0.65134424 0.03561477 0.8446112  0.01777595 0.0225664  0.25138816
 0.07048188 0.05025312 0.9286594  0.10299927 0.87467444 0.51238936
 0.14316586 0.01480431 0.83181596 0.16901682 0.02316434 0.14510514
 0.07450005 0.45421892 0.9831918  0.95808446 0.26852235 0.0660755
 0.8885517  0.9518381  0.01979638 0.02312537 0.13125989 0.03380033]"
22_seeds,6,"[0.9926122  0.96567285 0.00341483 0.99835676 0.98010147 0.05232554
 0.22675449 0.9952761  0.94315255 0.05977589 0.137472   0.98916477
 0.7532806  0.23607916 0.00186887 0.9404035  0.00782941 0.09877726
 0.03505091 0.03254114 0.1588862  0.24884544 0.06841153 0.23427458
 0.00285055 0.99003625 0.61749715 0.07819784 0.00559862 0.9495289
 0.9849244  0.08460109 0.5937975  0.22339176 0.20637275 0.91100985
 0.12282676 0.05130572 0.00542838 0.03005244 0.9668707  0.00571233]","[0.973566   0.83994573 0.0043367  0.93171567 0.7881759  0.03562452
 0.06726853 0.97427    0.8275214  0.00772429 0.2066649  0.8890626
 0.2587509  0.04705023 0.0067329  0.8455709  0.01569836 0.09192776
 0.00462742 0.0435619  0.06413828 0.0462381  0.00945376 0.04998286
 0.00866329 0.9717291  0.58013153 0.03545607 0.00395745 0.8645051
 0.9221002  0.0575107  0.25700572 0.02065072 0.01714567 0.59802467
 0.10613746 0.00573218 0.01135839 0.0078443  0.9577153  0.0208987 ]","[0.47081453 0.38823393 0.16590309 0.6050362  0.47705162 0.1655375
 0.10329153 0.70900863 0.4773053  0.05218802 0.34924784 0.6111114
 0.8004675  0.24946725 0.08912212 0.64646393 0.21178502 0.45113015
 0.06428251 0.13940307 0.37927175 0.36677045 0.21616821 0.45737106
 0.03655942 0.8662055  0.24740906 0.3036464  0.26095232 0.809094
 0.5715129  0.21963818 0.9336024  0.08377138 0.17315994 0.85523164
 0.34500155 0.33327577 0.06657098 0.07616245 0.8769484  0.18898326]","[0.65245503 0.9210073  0.00828775 0.74382913 0.95316404 0.10220548
 0.10030053 0.9686122  0.7916144  0.0340737  0.20572701 0.35110554
 0.6018094  0.28453958 0.00182224 0.8073397  0.0193519  0.12510991
 0.67704916 0.24594755 0.04078952 0.2555091  0.08249386 0.4730174
 0.00969052 0.4534278  0.90267456 0.19658472 0.05478396 0.6094391
 0.93742293 0.02866485 0.5972583  0.04510891 0.09635163 0.81516635
 0.13816531 0.01533433 0.02138769 0.01273589 0.8774605  0.06442694]","[0.8853692  0.87405926 0.00420055 0.6376852  0.9419943  0.05360759
 0.11401053 0.9571202  0.78465116 0.00438018 0.329846   0.85558265
 0.815108   0.02137075 0.05419925 0.9174654  0.01198175 0.02078261
 0.00644634 0.14445923 0.09597953 0.08225857 0.05267972 0.7770443
 0.00273234 0.94144    0.4692257  0.09600326 0.00536128 0.46442312
 0.9245179  0.543814   0.432443   0.00674096 0.12686104 0.70465535
 0.04005212 0.00673181 0.01529258 0.01928039 0.8689233  0.23232652]"
22_seeds,7,"[0.22083215 0.1500295  0.1648481  0.03467543 0.05860578 0.04822753
 0.08308931 0.04245405 0.98761195 0.9677943  0.8299765  0.48910233
 0.8243432  0.27266234 0.9838178  0.00700077 0.00308631 0.17334527
 0.01962825 0.00964897 0.01912249 0.2077109  0.22474551 0.9947633
 0.8641316  0.02706044 0.26766628 0.27229017 0.01032722 0.25122955
 0.7422808  0.09274708 0.07852031 0.12439194 0.3399863  0.07596483
 0.6859858  0.06152548 0.03129438 0.99801105 0.07188687 0.27526626]","[0.03825112 0.07003548 0.13271013 0.10379858 0.01222872 0.0071908
 0.02381369 0.06418849 0.9961796  0.9713216  0.26542303 0.7375739
 0.8049338  0.6010021  0.88881135 0.00418466 0.0101153  0.01254208
 0.0063285  0.01163407 0.01035643 0.1929074  0.04846253 0.9590866
 0.76091045 0.20412773 0.00745701 0.29061323 0.00375544 0.00831352
 0.9181302  0.02076558 0.12211644 0.0295407  0.02285939 0.01977962
 0.34294093 0.01053912 0.01598724 0.992424   0.0754347  0.4902951 ]","[0.18395512 0.34894025 0.4000435  0.16042289 0.19813524 0.12494319
 0.14179492 0.13085559 0.8494939  0.6042406  0.9719435  0.55727893
 0.48570174 0.4046174  0.8841648  0.03667426 0.04732604 0.49926716
 0.13074975 0.06992112 0.05426084 0.8009638  0.12269921 0.795974
 0.6936852  0.48114765 0.03429823 0.16632482 0.08905526 0.01645789
 0.51197255 0.2685677  0.1955277  0.22351807 0.14160466 0.20190775
 0.7666968  0.1864937  0.06069435 0.95819616 0.04398949 0.43198162]","[0.34282562 0.13983552 0.03436837 0.2186106  0.04390795 0.02030987
 0.01183167 0.03218726 0.9860453  0.7923522  0.71024734 0.846274
 0.728786   0.9176977  0.06170448 0.00212348 0.07898069 0.06355603
 0.01958519 0.00310117 0.00209015 0.95799637 0.8270826  0.9265183
 0.74025226 0.17106678 0.37196591 0.08752251 0.02631666 0.13578784
 0.95747    0.01852203 0.10865278 0.06511964 0.09932157 0.00371416
 0.6654425  0.09193839 0.01237633 0.8349907  0.1767841  0.13880645]","[0.5312189  0.02530839 0.22893073 0.1249284  0.39895537 0.09385709
 0.0908046  0.13130862 0.993006   0.7963592  0.3378805  0.7235788
 0.75117594 0.63410366 0.56858546 0.00190214 0.01901949 0.04974352
 0.0076925  0.01607204 0.00695784 0.4392187  0.16189076 0.9306507
 0.1553282  0.02973609 0.06619485 0.23736747 0.01160699 0.03317535
 0.90166783 0.05521628 0.04756884 0.02134284 0.27733266 0.12072469
 0.7532985  0.090217   0.02167091 0.99167174 0.01185453 0.67084885]"
22_seeds,8,"[0.00272311 0.8579137  0.7793275  0.93912405 0.47483483 0.9798448
 0.00325674 0.9893734  0.9605867  0.01545808 0.5093741  0.12387092
 0.00679071 0.04758418 0.03922623 0.00954551 0.00853191 0.00173104
 0.04152692 0.00336142 0.04587408 0.32534832 0.00277616 0.00964614
 0.04431135 0.00837944 0.02556288 0.04460102 0.00403355 0.03968753
 0.02587751 0.11407964 0.05933888 0.59737426 0.06476565 0.05031077
 0.00207008 0.9777629  0.01361526 0.693904   0.10026861 0.00293935]","[0.00418789 0.23238024 0.01507293 0.89336413 0.11585849 0.9896088
 0.0070695  0.9932313  0.9560457  0.00427393 0.49540478 0.11733549
 0.01053734 0.01899773 0.00854023 0.01239585 0.02840206 0.01187195
 0.01608327 0.01683743 0.04191016 0.04630945 0.01018663 0.0040276
 0.02607773 0.00585197 0.0131823  0.04240919 0.00824034 0.01433908
 0.04313568 0.15725063 0.09396812 0.85568357 0.04345153 0.00284811
 0.00900033 0.99713135 0.01688754 0.22181977 0.03844188 0.01197804]","[0.0254569  0.8384514  0.04452613 0.7544955  0.28068775 0.6415957
 0.0706408  0.80820024 0.7028296  0.06101717 0.82656485 0.28891093
 0.03692639 0.10675693 0.0534659  0.02517501 0.23370709 0.0452338
 0.03435138 0.01700744 0.23926222 0.14668712 0.07519094 0.03366219
 0.20896406 0.05760271 0.14108633 0.07982162 0.06132124 0.15775599
 0.03182629 0.04022578 0.65522146 0.2485237  0.08925024 0.05684744
 0.07930259 0.821826   0.20252821 0.45741445 0.23196028 0.10823014]","[0.01281492 0.96685576 0.03424351 0.9866557  0.65589905 0.998058
 0.0100172  0.9929789  0.9920453  0.01175356 0.3631409  0.4501485
 0.00099884 0.56067854 0.04884248 0.06629805 0.14286348 0.00814902
 0.1042576  0.00522919 0.06946203 0.13488702 0.00697373 0.04944902
 0.03218671 0.02874064 0.10069896 0.02605231 0.00942169 0.01955499
 0.302885   0.95498973 0.08466981 0.7071366  0.20985073 0.02331493
 0.03183242 0.96960896 0.11829376 0.8199265  0.6465638  0.00409212]","[0.01335558 0.61919785 0.11319645 0.39877483 0.3627616  0.9520995
 0.01793412 0.98940814 0.5669312  0.01207337 0.93612784 0.06180072
 0.0243238  0.099781   0.06608462 0.07197157 0.21618336 0.0314749
 0.07436693 0.02704737 0.08012597 0.26123667 0.00952225 0.01518039
 0.02146191 0.0501161  0.2534595  0.04759614 0.00901958 0.11100253
 0.00450248 0.6742557  0.0877128  0.6917317  0.03063291 0.0174798
 0.00603883 0.9853859  0.07373365 0.1140906  0.3889523  0.02869873]"
22_seeds,9,"[2.52143830e-01 2.74319708e-01 1.65170506e-02 7.09332168e-01
 5.86375833e-01 4.51367140e-01 4.74531204e-03 3.02799959e-02
 5.19048609e-02 2.38033369e-01 2.19005406e-01 3.00165415e-02
 5.72386570e-03 9.99341190e-01 2.05112416e-02 1.56119745e-02
 2.20806934e-02 1.23225316e-01 2.43574213e-02 7.70290717e-02
 1.38473744e-02 9.28615868e-01 8.84230554e-01 7.05204904e-01
 9.54639137e-01 9.95056510e-01 2.26364344e-01 1.96324643e-02
 9.83273387e-01 7.49698258e-04 2.03032419e-02 1.29265548e-03
 3.71496240e-03 6.07610215e-03 9.72299218e-01 9.92974520e-01
 9.60959017e-01 9.96305943e-01 2.25549173e-02 9.44793969e-02
 5.31149656e-02 4.77255642e-01]","[1.2741485e-01 4.0932170e-01 2.4068581e-03 8.6792278e-01 1.5858695e-01
 3.1056792e-01 3.2498999e-03 1.3563348e-02 2.9353200e-02 3.2747146e-02
 1.9631661e-03 4.2704377e-02 2.1358475e-02 9.9907815e-01 8.6307032e-03
 2.4255592e-01 3.7664315e-03 1.0048829e-01 1.8074647e-02 9.8520644e-02
 1.2390516e-03 9.2067045e-01 6.4390272e-01 1.8160433e-02 9.9725348e-01
 4.3297598e-01 2.2195384e-01 7.0842728e-03 7.5931627e-01 9.2691425e-03
 3.3933777e-02 9.8866411e-03 2.5024656e-03 8.7033340e-04 9.8269308e-01
 7.1161461e-01 1.9641516e-01 9.1629165e-01 1.4206879e-01 1.1615769e-01
 9.6180908e-02 1.2251069e-02]","[0.37754586 0.29846597 0.10943919 0.70805085 0.31420138 0.4074586
 0.06203361 0.46020392 0.21520707 0.37190142 0.01447967 0.3228117
 0.1199538  0.8714464  0.1776092  0.33136985 0.15488444 0.22576147
 0.12631804 0.20842871 0.10004099 0.4237959  0.6359879  0.40751943
 0.8494928  0.45790684 0.35368752 0.08096935 0.65262014 0.06108236
 0.1347316  0.06141434 0.09707253 0.04282777 0.5266658  0.76092434
 0.9002584  0.65598226 0.22720478 0.13360323 0.11978953 0.30747062]","[1.56820551e-01 2.72374570e-01 7.47709647e-02 6.02242649e-01
 7.16446996e-01 1.51092246e-01 5.74163627e-04 5.97786792e-02
 1.22566158e-02 6.06893063e-01 2.01077983e-01 3.29439715e-02
 5.06516919e-03 9.95957553e-01 1.52899325e-02 1.13364711e-01
 1.90313086e-02 2.17794374e-01 1.79546718e-02 1.74063772e-01
 5.49019799e-02 4.44305122e-01 9.82278347e-01 5.28232157e-01
 7.58106470e-01 9.10257459e-01 6.43462837e-01 1.22322375e-02
 9.75370407e-01 3.93401459e-03 1.86999154e-03 1.31702749e-03
 9.53358226e-03 3.30369696e-02 9.86286819e-01 9.85097408e-01
 9.79430318e-01 9.33113694e-01 3.07613751e-03 8.53440464e-01
 4.74757776e-02 7.18011796e-01]","[2.6751438e-02 1.7183810e-01 9.6178735e-03 9.8774755e-01 3.0473056e-01
 2.8144005e-01 4.3462859e-03 3.2743074e-02 1.1470961e-01 2.5523418e-01
 4.1213632e-02 2.0571213e-02 2.3796017e-01 9.9902010e-01 7.5927507e-03
 1.7709661e-02 7.6257336e-01 7.5695897e-03 2.0736799e-01 1.3467315e-01
 7.4845031e-02 8.8441014e-01 6.8846601e-01 3.5692769e-01 9.9771523e-01
 9.1599739e-01 9.5029169e-01 1.1682547e-01 8.4191930e-01 5.0169160e-03
 7.3446718e-04 1.2696383e-04 2.0834031e-02 6.1020921e-03 9.6870381e-01
 9.3310714e-01 2.6943427e-01 9.7972369e-01 4.7461459e-01 4.1845739e-03
 2.0082435e-03 3.5638575e-02]"
22_seeds,10,"[0.90788215 0.3847509  0.01893263 0.01861597 0.13142145 0.900758
 0.07966372 0.00845375 0.7608965  0.05755543 0.8393414  0.6588003
 0.05346553 0.00530601 0.96704125 0.00113254 0.00432664 0.05139876
 0.9929894  0.48987582 0.6733996  0.03039733 0.01391513 0.41111818
 0.4370637  0.34404048 0.975895   0.97929126 0.14856084 0.98396
 0.02785325 0.9754411  0.90488744 0.02132185 0.8064961  0.04379037
 0.012936   0.9275433  0.9345668  0.2052137  0.01253012 0.9952674 ]","[7.5798988e-01 2.6528245e-02 7.3430245e-03 9.2437133e-02 1.7106456e-01
 8.6099899e-01 2.8660479e-01 9.0080373e-02 7.3638219e-01 1.7543285e-01
 3.1142089e-01 4.5507330e-02 1.1273344e-03 1.1104139e-03 9.7669148e-01
 7.0729008e-04 1.5433171e-03 4.5395339e-01 5.8426303e-01 6.2922657e-02
 5.4058117e-01 2.2043794e-01 2.9208837e-03 1.4455220e-01 7.7456331e-01
 3.0531079e-02 9.2882103e-01 8.7741762e-01 3.9214160e-02 9.9312145e-01
 2.6824113e-03 9.2618936e-01 1.7229722e-01 5.1656920e-03 3.0790874e-01
 3.1245045e-02 1.1030437e-02 9.3113744e-01 2.7797022e-01 2.0669749e-02
 6.3435808e-02 9.7066486e-01]","[0.6182131  0.20872289 0.05601312 0.12855195 0.20754145 0.37593085
 0.45587376 0.31154495 0.32621315 0.2819529  0.49660313 0.2500151
 0.12585752 0.0744815  0.8299045  0.0569457  0.06517044 0.38878965
 0.39827052 0.19814011 0.20728269 0.22077404 0.11591522 0.4279544
 0.72097033 0.4176986  0.7221262  0.65601695 0.14772145 0.8237913
 0.27841163 0.3951187  0.6417491  0.12540366 0.4908973  0.31858176
 0.07580668 0.45110026 0.3051955  0.3542367  0.08312307 0.64775014]","[0.8979293  0.67021877 0.03139605 0.02405821 0.25163975 0.27548695
 0.11009561 0.04544226 0.19920148 0.12332176 0.79709923 0.6292206
 0.23253724 0.07521832 0.9246329  0.00415327 0.27509588 0.12969941
 0.69573087 0.5000929  0.4178853  0.11977924 0.10835543 0.01442249
 0.66927207 0.44121754 0.724178   0.68760264 0.05888441 0.8888486
 0.02667135 0.8310899  0.62049395 0.02659796 0.30874306 0.0327687
 0.00886345 0.5498651  0.2658952  0.6575594  0.01862886 0.88988024]","[0.8614111  0.24402048 0.0607958  0.03037565 0.07354726 0.8979844
 0.02232292 0.11656331 0.75897986 0.08373201 0.7921913  0.16685978
 0.00214724 0.01127269 0.40912935 0.00629325 0.04760206 0.14246836
 0.7063156  0.1164972  0.54553175 0.05033145 0.00713599 0.16357878
 0.9918977  0.09628885 0.9373089  0.8380488  0.08212663 0.9920169
 0.36171082 0.9289041  0.08524004 0.01172977 0.7015611  0.55094033
 0.03974022 0.9701311  0.79565746 0.1004566  0.01735864 0.9756368 ]"
