Dataset,Experiment,multi_model,datawig_imputed_model,dynamic_imputed_model,knn_imputed_model,zero_imputed_model
3_audlt,1,"[2.96369158e-02 7.03170736e-05 1.35720271e-07 ... 1.45324515e-02
 1.74908437e-05 5.98017156e-01]","[3.3280054e-01 1.7490970e-02 4.4715005e-05 ... 3.2639802e-03 9.4632724e-06
 8.8719502e-03]",[0.20793626 0.12679736 0.01647353 ... 0.23239423 0.23994312 0.40189275],"[5.2427346e-01 5.5637700e-04 1.8985514e-06 ... 3.4487177e-02 9.5401967e-01
 4.5245764e-01]","[4.2945623e-01 4.7779202e-01 2.9530074e-05 ... 5.0327040e-02 9.3616727e-05
 6.7241037e-01]"
3_audlt,2,[0.8343944  0.04543444 0.01045534 ... 0.3904891  0.00329197 0.00821851],[0.12459294 0.0018459  0.6173924  ... 0.16602355 0.00575872 0.21316099],[0.31996855 0.3310607  0.12285713 ... 0.08619095 0.08406262 0.12445306],"[2.5224891e-01 2.9839537e-04 7.6732010e-02 ... 2.5147173e-01 7.1100431e-04
 5.0726676e-01]",[0.26164332 0.00935    0.09273398 ... 0.11664411 0.0019941  0.10252492]
3_audlt,3,[0.00057591 0.00223515 0.00356289 ... 0.18487003 0.15159833 0.00301426],[0.00240905 0.03553215 0.18244185 ... 0.8208849  0.44684583 0.00103118],[0.02324825 0.05258462 0.17402278 ... 0.5777104  0.28981474 0.12336306],[0.03784824 0.01181976 0.00176243 ... 0.03383133 0.05665863 0.29794532],"[3.1863764e-02 7.4893348e-03 8.2867236e-06 ... 1.9631776e-01 9.5661141e-02
 1.5452545e-03]"
3_audlt,4,"[9.9999785e-01 4.3722190e-04 5.1546460e-01 ... 1.3820860e-05 1.2972182e-05
 6.7567824e-05]","[9.9970168e-01 5.9114781e-04 9.9390334e-01 ... 5.7651985e-05 1.2042897e-05
 2.0373889e-07]",[0.6293969  0.04739748 0.69896203 ... 0.0406198  0.01608444 0.01652882],"[7.9373491e-01 1.0726213e-01 1.3063450e-01 ... 4.9910152e-05 1.5154098e-06
 2.1469790e-05]","[9.8942405e-01 2.0322837e-03 1.5532613e-02 ... 1.2582984e-03 3.1618962e-05
 1.1653088e-06]"
3_audlt,5,"[2.3633544e-03 1.8305411e-03 9.5992345e-01 ... 3.5512820e-01 2.7871940e-01
 6.5556225e-05]","[1.9176014e-03 1.3606533e-01 1.3916500e-01 ... 2.5670072e-01 7.0492029e-02
 1.1154760e-06]",[0.01511818 0.07117352 0.4228256  ... 0.62531954 0.38043216 0.00970424],"[2.6536310e-01 3.5902867e-01 9.9834168e-01 ... 1.2768704e-01 2.0125281e-02
 1.3160750e-06]","[1.2918512e-04 5.9484094e-03 9.6465546e-01 ... 2.3270604e-01 5.2204710e-02
 2.8200338e-07]"
3_audlt,6,[0.01709965 0.19447123 0.6958066  ... 0.32570133 0.33816063 0.96878326],[0.0016198  0.14771403 0.84293276 ... 0.73372155 0.00555583 0.03879244],[0.04899548 0.223104   0.5616558  ... 0.4987361  0.14309591 0.40804243],[0.00127363 0.03551711 0.8697774  ... 0.47343916 0.49104983 0.09217349],[0.10213046 0.13421501 0.963963   ... 0.5994395  0.03689465 0.9722874 ]
3_audlt,7,"[3.5245698e-02 7.1542591e-01 6.7025679e-01 ... 9.4721100e-04 7.3001993e-01
 4.3611650e-04]","[3.2866415e-02 8.1349224e-02 9.7019154e-01 ... 1.8799446e-05 6.1807346e-01
 5.9399824e-04]",[0.05040064 0.37880883 0.47481695 ... 0.05269992 0.6648844  0.03454116],[0.03561463 0.3875326  0.3562558  ... 0.00186609 0.87516904 0.04687594],"[1.1010558e-01 8.8044040e-02 7.8769302e-01 ... 1.6277458e-04 8.9189172e-01
 4.6693133e-03]"
3_audlt,8,"[9.3466528e-02 7.5078487e-01 1.0900832e-05 ... 1.8020885e-04 4.6899156e-03
 9.9881142e-02]","[4.8528290e-01 8.9451599e-01 8.3337269e-05 ... 5.4861378e-08 4.2042634e-03
 3.2133199e-03]",[0.26904148 0.34776732 0.08792447 ... 0.00806681 0.06495248 0.10117215],[0.03677486 0.02750472 0.00256046 ... 0.00023932 0.03267351 0.04998706],"[2.2195496e-01 3.8271421e-01 3.1232927e-04 ... 1.3431693e-06 7.8637265e-02
 2.7724713e-01]"
3_audlt,9,"[1.8945945e-04 5.7850089e-02 1.0255269e-02 ... 4.0262692e-02 1.4730952e-02
 4.9651635e-01]","[6.6823559e-05 3.8269322e-04 3.5000764e-02 ... 2.7142931e-04 1.2375681e-04
 8.9174822e-02]",[0.01934064 0.02472729 0.0722554  ... 0.03109883 0.03552301 0.2720963 ],"[1.2784013e-02 4.0567742e-04 6.6224897e-01 ... 4.0188441e-03 3.1782901e-03
 6.5908039e-01]",[0.00902166 0.0007134  0.38340434 ... 0.00571603 0.00137144 0.04602223]
3_audlt,10,"[1.9461438e-02 2.3653076e-05 4.0768096e-03 ... 1.5024743e-02 2.2410134e-06
 1.2505242e-04]","[8.5139774e-02 4.1105537e-04 1.3751489e-02 ... 1.0230133e-03 7.2613242e-05
 1.7815399e-05]",[0.08603537 0.01457877 0.2780973  ... 0.03124258 0.08251446 0.05725502],"[2.8155933e-04 4.6731402e-05 4.8021463e-01 ... 2.2383961e-01 1.6623981e-04
 2.6714380e-03]","[1.6748032e-02 2.2088460e-04 1.0158556e-04 ... 2.5823875e-03 9.2369028e-06
 1.7804520e-04]"
