Dataset,Experiment,multi_model,datawig_imputed_model,dynamic_imputed_model,knn_imputed_model,zero_imputed_model
6_chess,1,[0.05463517 0.54764587 0.2266917  ... 0.46681887 0.00662902 0.05131818],"[3.6288369e-01 4.7323365e-02 4.7101226e-01 ... 8.4939957e-01 6.1675069e-05
 2.1900937e-04]",[0.1040364  0.1870761  0.06119903 ... 0.10477516 0.06342883 0.0389056 ],[0.04831675 0.05412464 0.06485348 ... 0.17210345 0.03282016 0.01310823],"[9.3278117e-02 2.3461241e-01 1.2899838e-01 ... 5.4882687e-02 1.8221243e-04
 1.9075494e-01]"
6_chess,2,[0.18694468 0.06859625 0.9733165  ... 0.04558541 0.09219113 0.08409595],[0.55187666 0.03652187 0.98326784 ... 0.00556024 0.05313207 0.00286817],[0.09085041 0.11861523 0.33502394 ... 0.08187184 0.21657759 0.04473585],[0.0608245  0.06638516 0.62695163 ... 0.09311964 0.04257247 0.07206298],[0.12299241 0.04888536 0.6766361  ... 0.1074485  0.22706054 0.15004912]
6_chess,3,[0.01130612 0.006718   0.00148573 ... 0.0151959  0.00171506 0.00067319],"[3.4434412e-04 7.3636218e-04 6.0243538e-06 ... 1.5556109e-01 1.6446478e-05
 4.8552783e-06]",[0.02028002 0.10590502 0.05009918 ... 0.07028797 0.0196439  0.02707196],[0.11124866 0.02802944 0.00400569 ... 0.06677319 0.00670515 0.09917329],"[3.7933409e-01 1.0808196e-03 2.2331504e-05 ... 2.5938105e-02 1.0850881e-05
 2.0316588e-04]"
6_chess,4,[0.1933406  0.1399963  0.00168754 ... 0.07258498 0.03151204 0.06768302],[0.00997954 0.9796587  0.00155153 ... 0.0413163  0.01219875 0.00322181],[0.09653355 0.10550846 0.03731641 ... 0.05254037 0.08435323 0.15360036],[0.27367848 0.05743507 0.00667784 ... 0.06642845 0.05650884 0.02981718],"[7.15812296e-02 1.25914171e-01 1.00535144e-04 ... 5.32562435e-02
 1.03647523e-02 1.39670959e-03]"
6_chess,5,[0.00382153 0.14549509 0.01207565 ... 0.24104258 0.09970348 0.04971963],"[1.5807241e-04 2.7706748e-04 3.4995136e-04 ... 7.5592972e-02 1.8429059e-01
 3.3788133e-02]",[0.10024729 0.03522745 0.03600411 ... 0.21452853 0.01464046 0.11689808],[0.01931259 0.10867575 0.02262653 ... 0.22862884 0.03350225 0.10375594],[0.07917348 0.23964466 0.00431003 ... 0.12558265 0.10423349 0.01883215]
6_chess,6,[0.13249116 0.32636067 0.01554949 ... 0.08169498 0.00734152 0.10377984],[0.00308011 0.5969167  0.01932559 ... 0.326754   0.02525014 0.03364077],[0.05632959 0.01106416 0.0954439  ... 0.09136709 0.22999446 0.09419182],[0.01294843 0.09871536 0.00282865 ... 0.06999734 0.0417032  0.04825997],[0.05305475 0.36408788 0.00187817 ... 0.06840765 0.04815783 0.02578429]
6_chess,7,[0.00214352 0.04669902 0.0053942  ... 0.02593353 0.20712082 0.00723145],"[3.5164452e-05 3.1145579e-01 6.8218069e-04 ... 2.3781857e-03 1.4314707e-01
 5.3673386e-05]",[0.01799573 0.06016016 0.06398985 ... 0.20912658 0.15632194 0.06994494],[0.08070344 0.10380779 0.01715842 ... 0.02445779 0.1059514  0.01944993],"[1.6060400e-04 1.7348140e-01 5.3859726e-03 ... 8.8925429e-02 2.8362174e-02
 6.2715192e-04]"
6_chess,8,[0.04509869 0.02622595 0.02713852 ... 0.00825909 0.03692824 0.01984528],"[1.31505474e-01 1.57177070e-04 4.11004247e-03 ... 2.08967708e-06
 1.36722415e-03 1.01779675e-04]",[0.01827544 0.10063795 0.028938   ... 0.08504482 0.04390178 0.0779258 ],[0.09378707 0.18658817 0.02178475 ... 0.33098662 0.00845327 0.00671751],"[5.4467034e-02 1.7597472e-02 7.9672121e-02 ... 9.1835944e-05 2.6505665e-04
 1.3972777e-03]"
6_chess,9,[0.1150079  0.06187282 0.2930816  ... 0.01647256 0.10597611 0.00359203],"[5.9253960e-03 6.0537625e-03 3.1524768e-01 ... 3.9964612e-03 1.2199309e-02
 3.0036714e-05]",[0.07099139 0.18899421 0.09787258 ... 0.06146678 0.03825253 0.01982232],[0.1254879  0.03556394 0.13035911 ... 0.00603726 0.03571663 0.01470271],"[9.1514792e-03 2.9844565e-02 3.2468855e-01 ... 1.5890296e-04 1.5121287e-01
 3.3542721e-05]"
6_chess,10,[0.09151791 0.02898247 0.6129252  ... 0.03896537 0.02853068 0.04203282],"[1.25539053e-04 2.92517361e-04 4.50320214e-01 ... 1.20321415e-01
 3.69969843e-04 2.26319343e-01]",[0.07625483 0.03660784 0.28469753 ... 0.0878987  0.07960384 0.03946523],[0.24025106 0.03334601 0.06086472 ... 0.08839099 0.01290822 0.02486531],"[4.2167705e-02 2.5758269e-04 3.7008312e-01 ... 1.1694458e-01 5.6804181e-03
 2.2419473e-02]"
6_chess,11,[0.0033629  0.09511407 0.04126615 ... 0.02187466 0.00222729 0.01584157],"[3.8909723e-04 9.7927370e-04 2.1129912e-03 ... 3.3464463e-04 3.7795857e-05
 6.2088197e-04]",[0.01684533 0.27632183 0.08402146 ... 0.08662446 0.03497183 0.08926623],[0.03199632 0.33469248 0.07642315 ... 0.19114745 0.00336253 0.00768529],"[2.0913059e-04 1.0566307e-01 1.5632616e-04 ... 2.0693995e-03 9.2345457e-05
 2.9306377e-03]"
6_chess,12,[0.29492918 0.20323698 0.00067078 ... 0.04619996 0.00713778 0.02214191],"[6.7329854e-01 4.7970850e-02 6.3402789e-05 ... 5.0305712e-01 4.9145729e-05
 1.7216443e-01]",[0.05881514 0.19548602 0.01631183 ... 0.0984161  0.0150558  0.25170437],[0.03563072 0.49157274 0.01561016 ... 0.07921323 0.02797858 0.26095158],"[1.9549392e-01 8.5622989e-02 7.8421959e-05 ... 7.8568123e-02 4.6476347e-05
 3.4463003e-01]"
6_chess,13,[0.01722315 0.15432198 0.07358319 ... 0.01132839 0.07464927 0.29501322],"[7.4026786e-04 2.8737234e-03 8.3232462e-02 ... 6.8565976e-05 2.9743817e-02
 4.1969851e-01]",[0.10099147 0.0471792  0.08012307 ... 0.05338572 0.06511859 0.16332239],[0.01545894 0.07265248 0.0775479  ... 0.04355581 0.02215878 0.31017396],"[4.5038492e-04 1.9937461e-02 7.8171954e-02 ... 1.3984019e-01 1.5487317e-03
 4.9468973e-01]"
6_chess,14,[0.00149495 0.01842578 0.0096313  ... 0.03212032 0.01755361 0.06280776],"[4.3396649e-05 5.7241932e-02 4.0938324e-04 ... 7.3786913e-03 1.8120164e-04
 2.6761082e-03]",[0.01747638 0.0472442  0.13393658 ... 0.08209533 0.0831809  0.12506329],[0.03914483 0.06049079 0.03966208 ... 0.00641516 0.00536238 0.17784104],"[1.6546375e-05 1.8833023e-01 2.3088836e-04 ... 2.4521980e-04 2.3834903e-02
 5.0815074e-03]"
6_chess,15,[0.19985771 0.04517018 0.05082915 ... 0.03160429 0.04736568 0.01698234],[0.04694245 0.00023656 0.00597503 ... 0.00121591 0.06630918 0.00103062],[0.24511294 0.08669151 0.06908183 ... 0.21266305 0.07659384 0.04701261],[0.05533121 0.00414216 0.01792282 ... 0.16742396 0.04470132 0.02114994],[0.2074687  0.00126451 0.0013509  ... 0.25747025 0.05865287 0.04157758]
6_chess,16,[0.00103733 0.02822919 0.03352771 ... 0.04463845 0.00484962 0.07349511],"[1.7850805e-05 1.4956290e-03 1.6936503e-02 ... 1.1181669e-01 4.9472279e-03
 1.3681339e-01]",[0.01959027 0.06883574 0.14214145 ... 0.11351756 0.06934816 0.08339249],[0.01458622 0.00617558 0.01320221 ... 0.0231124  0.00522421 0.15550856],"[5.6458707e-06 2.6340099e-04 4.8408979e-03 ... 8.4092528e-02 1.7617322e-03
 2.1030021e-01]"
6_chess,17,[0.05634476 0.06180149 0.0014274  ... 0.14119568 0.00071418 0.14228033],[0.1362401  0.02982164 0.00018208 ... 0.00412851 0.00019786 0.06480025],[0.05483219 0.03932606 0.02695629 ... 0.16166593 0.02767341 0.10219926],[0.22220518 0.07091952 0.00750624 ... 0.08589336 0.01290246 0.05536751],[0.00759974 0.13796006 0.00020765 ... 0.00482824 0.00015566 0.14944926]
6_chess,18,[0.00689396 0.00234946 0.01105865 ... 0.1693092  0.00567635 0.0020652 ],"[6.1581964e-03 1.1386596e-04 4.7030593e-03 ... 5.4144873e-03 2.9076757e-05
 6.8519374e-05]",[0.07810529 0.0550543  0.01208384 ... 0.07796334 0.31646818 0.0212459 ],[0.00640873 0.0611067  0.02492149 ... 0.49705958 0.07768849 0.04379777],"[7.3286076e-03 4.9137161e-04 8.8257773e-04 ... 3.3331624e-01 5.1144972e-02
 1.0007174e-04]"
