Dataset,method,Experiment,Accuracy
13_image,1_zero+knn,1,0.1190 ± 0.0000
13_image,1_zero+knn,2,0.1190 ± 0.0000
13_image,1_zero+knn,3,0.1111 ± 0.0112
13_image,1_zero+knn,4,0.1012 ± 0.0197
13_image,1_zero+knn,5,0.1143 ± 0.0316
13_image,1_zero+knn,6,0.1270 ± 0.0405
13_image,1_zero+knn,7,0.1395 ± 0.0483
13_image,1_zero+knn,8,0.1577 ± 0.0662
13_image,1_zero+knn,9,0.1587 ± 0.0625
13_image,1_zero+knn,10,0.1571 ± 0.0595
13_image,2_zero + dynamic,1,0.8929 ± 0.0119
13_image,2_zero + dynamic,2,0.8869 ± 0.0103
13_image,2_zero + dynamic,3,0.8889 ± 0.0112
13_image,2_zero + dynamic,4,0.8958 ± 0.0166
13_image,2_zero + dynamic,5,0.8857 ± 0.0256
13_image,2_zero + dynamic,6,0.8810 ± 0.0322
13_image,2_zero + dynamic,7,0.8724 ± 0.0388
13_image,2_zero + dynamic,8,0.8557 ± 0.0580
13_image,2_zero + dynamic,9,0.8532 ± 0.0551
13_image,2_zero + dynamic,10,0.8560 ± 0.0535
13_image,3_zero+datawig,1,0.1190 ± 0.0000
13_image,3_zero+datawig,2,0.1190 ± 0.0000
13_image,3_zero+datawig,3,0.1111 ± 0.0112
13_image,3_zero+datawig,4,0.1012 ± 0.0197
13_image,3_zero+datawig,5,0.1143 ± 0.0316
13_image,3_zero+datawig,6,0.1270 ± 0.0405
13_image,3_zero+datawig,7,0.1395 ± 0.0483
13_image,3_zero+datawig,8,0.1577 ± 0.0662
13_image,3_zero+datawig,9,0.1587 ± 0.0625
13_image,3_zero+datawig,10,0.1571 ± 0.0595
13_image,4_knn + dynamic,1,0.9048 ± 0.0238
13_image,4_knn + dynamic,2,0.8929 ± 0.0206
13_image,4_knn + dynamic,3,0.8929 ± 0.0182
13_image,4_knn + dynamic,4,0.8958 ± 0.0204
13_image,4_knn + dynamic,5,0.8905 ± 0.0265
13_image,4_knn + dynamic,6,0.8829 ± 0.0329
13_image,4_knn + dynamic,7,0.8759 ± 0.0394
13_image,4_knn + dynamic,8,0.8616 ± 0.0553
13_image,4_knn + dynamic,9,0.8611 ± 0.0528
13_image,4_knn + dynamic,10,0.8619 ± 0.0503
13_image,5_knn+datawig,1,0.1190 ± 0.0000
13_image,5_knn+datawig,2,0.1190 ± 0.0000
13_image,5_knn+datawig,3,0.1111 ± 0.0112
13_image,5_knn+datawig,4,0.1012 ± 0.0197
13_image,5_knn+datawig,5,0.1143 ± 0.0316
13_image,5_knn+datawig,6,0.1270 ± 0.0405
13_image,5_knn+datawig,7,0.1395 ± 0.0483
13_image,5_knn+datawig,8,0.1577 ± 0.0662
13_image,5_knn+datawig,9,0.1587 ± 0.0625
13_image,5_knn+datawig,10,0.1571 ± 0.0595
13_image,6_dynamic + datawig,1,0.8929 ± 0.0119
13_image,6_dynamic + datawig,2,0.8988 ± 0.0197
13_image,6_dynamic + datawig,3,0.8849 ± 0.0374
13_image,6_dynamic + datawig,4,0.8869 ± 0.0372
13_image,6_dynamic + datawig,5,0.8810 ± 0.0369
13_image,6_dynamic + datawig,6,0.8790 ± 0.0418
13_image,6_dynamic + datawig,7,0.8707 ± 0.0456
13_image,6_dynamic + datawig,8,0.8542 ± 0.0618
13_image,6_dynamic + datawig,9,0.8532 ± 0.0585
13_image,6_dynamic + datawig,10,0.8571 ± 0.0578
13_image,7_dynamic + datawig + zero,1,0.8889 ± 0.0112
13_image,7_dynamic + datawig + zero,2,0.8810 ± 0.0238
13_image,7_dynamic + datawig + zero,3,0.8862 ± 0.0218
13_image,7_dynamic + datawig + zero,4,0.8889 ± 0.0224
13_image,7_dynamic + datawig + zero,5,0.8794 ± 0.0281
13_image,7_dynamic + datawig + zero,6,0.8783 ± 0.0316
13_image,7_dynamic + datawig + zero,7,0.8719 ± 0.0364
13_image,7_dynamic + datawig + zero,8,0.8552 ± 0.0562
13_image,7_dynamic + datawig + zero,9,0.8545 ± 0.0532
13_image,7_dynamic + datawig + zero,10,0.8571 ± 0.0514
13_image,8_dynamic + datawig + knn,1,0.9048 ± 0.0337
13_image,8_dynamic + datawig + knn,2,0.8929 ± 0.0266
13_image,8_dynamic + datawig + knn,3,0.8915 ± 0.0254
13_image,8_dynamic + datawig + knn,4,0.8929 ± 0.0266
13_image,8_dynamic + datawig + knn,5,0.8857 ± 0.0291
13_image,8_dynamic + datawig + knn,6,0.8836 ± 0.0326
13_image,8_dynamic + datawig + knn,7,0.8764 ± 0.0379
13_image,8_dynamic + datawig + knn,8,0.8621 ± 0.0532
13_image,8_dynamic + datawig + knn,9,0.8616 ± 0.0506
13_image,8_dynamic + datawig + knn,10,0.8643 ± 0.0492
13_image,9_datawig+zero+knn.py,1,0.1190 ± 0.0000
13_image,9_datawig+zero+knn.py,2,0.1190 ± 0.0000
13_image,9_datawig+zero+knn.py,3,0.1111 ± 0.0112
13_image,9_datawig+zero+knn.py,4,0.1012 ± 0.0197
13_image,9_datawig+zero+knn.py,5,0.1143 ± 0.0316
13_image,9_datawig+zero+knn.py,6,0.1270 ± 0.0405
13_image,9_datawig+zero+knn.py,7,0.1395 ± 0.0483
13_image,9_datawig+zero+knn.py,8,0.1577 ± 0.0662
13_image,9_datawig+zero+knn.py,9,0.1587 ± 0.0625
13_image,9_datawig+zero+knn.py,10,0.1571 ± 0.0595
13_image,10_dynamic+zero+knn,1,0.8810 ± 0.0000
13_image,10_dynamic+zero+knn,2,0.8810 ± 0.0000
13_image,10_dynamic+zero+knn,3,0.9048 ± 0.0000
13_image,10_dynamic+zero+knn,4,0.9286 ± 0.0000
13_image,10_dynamic+zero+knn,5,0.8333 ± 0.0000
13_image,10_dynamic+zero+knn,6,0.8095 ± 0.0000
13_image,10_dynamic+zero+knn,7,0.7857 ± 0.0000
13_image,10_dynamic+zero+knn,8,0.7143 ± 0.0000
13_image,10_dynamic+zero+knn,9,0.8333 ± 0.0000
13_image,10_dynamic+zero+knn,10,0.8571 ± 0.0000
13_image,11_all(dynamic+datawig+zero+knn),1,0.9048 ± 0.0168
13_image,11_all(dynamic+datawig+zero+knn),2,0.8929 ± 0.0168
13_image,11_all(dynamic+datawig+zero+knn),3,0.8909 ± 0.0247
13_image,11_all(dynamic+datawig+zero+knn),4,0.8943 ± 0.0291
13_image,11_all(dynamic+datawig+zero+knn),5,0.8881 ± 0.0302
13_image,11_all(dynamic+datawig+zero+knn),6,0.8849 ± 0.0327
13_image,11_all(dynamic+datawig+zero+knn),7,0.8784 ± 0.0362
13_image,11_all(dynamic+datawig+zero+knn),8,0.8676 ± 0.0472
13_image,11_all(dynamic+datawig+zero+knn),9,0.8657 ± 0.0453
13_image,11_all(dynamic+datawig+zero+knn),10,0.8673 ± 0.0435
13_image,datawig,1,0.1190 ± 0.0000
13_image,datawig,2,0.1190 ± 0.0000
13_image,datawig,3,0.0952 ± 0.0000
13_image,datawig,4,0.0714 ± 0.0000
13_image,datawig,5,0.1667 ± 0.0000
13_image,datawig,6,0.1905 ± 0.0000
13_image,datawig,7,0.2143 ± 0.0000
13_image,datawig,8,0.2857 ± 0.0000
13_image,datawig,9,0.1667 ± 0.0000
13_image,datawig,10,0.1429 ± 0.0000
13_image,dynamic,1,0.1905 ± 0.0000
