Dataset,method,Experiment,Accuracy
14_national,1_zero+knn,1,0.9189 ± 0.0154
14_national,1_zero+knn,2,0.9331 ± 0.0202
14_national,1_zero+knn,3,0.9240 ± 0.0238
14_national,1_zero+knn,4,0.9276 ± 0.0247
14_national,1_zero+knn,5,0.9259 ± 0.0245
14_national,1_zero+knn,6,0.9273 ± 0.0226
14_national,1_zero+knn,7,0.9226 ± 0.0242
14_national,1_zero+knn,8,0.9221 ± 0.0230
14_national,1_zero+knn,9,0.9195 ± 0.0232
14_national,1_zero+knn,10,0.9185 ± 0.0237
14_national,2_zero + dynamic,1,0.9079 ± 0.0504
14_national,2_zero + dynamic,2,0.9161 ± 0.0456
14_national,2_zero + dynamic,3,0.9192 ± 0.0452
14_national,2_zero + dynamic,4,0.9180 ± 0.0430
14_national,2_zero + dynamic,5,0.9184 ± 0.0443
14_national,2_zero + dynamic,6,0.9181 ± 0.0458
14_national,2_zero + dynamic,7,0.9164 ± 0.0489
14_national,2_zero + dynamic,8,0.9168 ± 0.0499
14_national,2_zero + dynamic,9,0.9148 ± 0.0505
14_national,2_zero + dynamic,10,0.9137 ± 0.0518
14_national,3_zero+datawig,1,0.9002 ± 0.0164
14_national,3_zero+datawig,2,0.9156 ± 0.0194
14_national,3_zero+datawig,3,0.9148 ± 0.0162
14_national,3_zero+datawig,4,0.9191 ± 0.0162
14_national,3_zero+datawig,5,0.9197 ± 0.0159
14_national,3_zero+datawig,6,0.9232 ± 0.0165
14_national,3_zero+datawig,7,0.9187 ± 0.0189
14_national,3_zero+datawig,8,0.9164 ± 0.0190
14_national,3_zero+datawig,9,0.9165 ± 0.0188
14_national,3_zero+datawig,10,0.9168 ± 0.0185
14_national,4_knn + dynamic,1,0.9057 ± 0.0482
14_national,4_knn + dynamic,2,0.9145 ± 0.0440
14_national,4_knn + dynamic,3,0.9178 ± 0.0438
14_national,4_knn + dynamic,4,0.9180 ± 0.0428
14_national,4_knn + dynamic,5,0.9180 ± 0.0437
14_national,4_knn + dynamic,6,0.9170 ± 0.0445
14_national,4_knn + dynamic,7,0.9142 ± 0.0467
14_national,4_knn + dynamic,8,0.9137 ± 0.0461
14_national,4_knn + dynamic,9,0.9120 ± 0.0468
14_national,4_knn + dynamic,10,0.9109 ± 0.0485
14_national,5_knn+datawig,1,0.9221 ± 0.0033
14_national,5_knn+datawig,2,0.9282 ± 0.0113
