Dataset,method,Experiment,Accuracy
3_adult,1_zero+knn,1,0.7690 ± 0.0009
3_adult,1_zero+knn,2,0.7770 ± 0.0108
3_adult,1_zero+knn,3,0.7749 ± 0.0093
3_adult,1_zero+knn,4,0.7731 ± 0.0090
3_adult,1_zero+knn,5,0.7725 ± 0.0082
3_adult,1_zero+knn,6,0.7733 ± 0.0077
3_adult,1_zero+knn,7,0.7724 ± 0.0075
3_adult,1_zero+knn,8,0.7717 ± 0.0073
3_adult,1_zero+knn,9,0.7718 ± 0.0069
3_adult,1_zero+knn,10,0.7720 ± 0.0066
3_adult,2_zero + dynamic,1,0.7857 ± 0.0173
3_adult,2_zero + dynamic,2,0.7901 ± 0.0228
3_adult,2_zero + dynamic,3,0.7898 ± 0.0224
3_adult,2_zero + dynamic,4,0.7908 ± 0.0218
3_adult,2_zero + dynamic,5,0.7885 ± 0.0222
3_adult,2_zero + dynamic,6,0.7847 ± 0.0237
3_adult,2_zero + dynamic,7,0.7845 ± 0.0224
3_adult,2_zero + dynamic,8,0.7846 ± 0.0219
3_adult,2_zero + dynamic,9,0.7862 ± 0.0224
3_adult,2_zero + dynamic,10,0.7873 ± 0.0222
3_adult,3_zero+datawig,1,0.7690 ± 0.0035
3_adult,3_zero+datawig,2,0.7717 ± 0.0040
3_adult,3_zero+datawig,3,0.7720 ± 0.0034
3_adult,3_zero+datawig,4,0.7709 ± 0.0037
3_adult,3_zero+datawig,5,0.7711 ± 0.0035
3_adult,3_zero+datawig,6,0.7714 ± 0.0033
3_adult,3_zero+datawig,7,0.7705 ± 0.0038
3_adult,3_zero+datawig,8,0.7700 ± 0.0042
3_adult,3_zero+datawig,9,0.7700 ± 0.0040
3_adult,3_zero+datawig,10,0.7703 ± 0.0039
3_adult,4_knn + dynamic,1,0.7835 ± 0.0160
3_adult,4_knn + dynamic,2,0.7865 ± 0.0189
3_adult,4_knn + dynamic,3,0.7880 ± 0.0205
3_adult,4_knn + dynamic,4,0.7895 ± 0.0205
3_adult,4_knn + dynamic,5,0.7887 ± 0.0216
3_adult,4_knn + dynamic,6,0.7855 ± 0.0232
3_adult,4_knn + dynamic,7,0.7860 ± 0.0226
3_adult,4_knn + dynamic,8,0.7864 ± 0.0224
3_adult,4_knn + dynamic,9,0.7880 ± 0.0230
3_adult,4_knn + dynamic,10,0.7889 ± 0.0227
3_adult,5_knn+datawig,1,0.7684 ± 0.0014
3_adult,5_knn+datawig,2,0.7714 ± 0.0032
3_adult,5_knn+datawig,3,0.7729 ± 0.0041
3_adult,5_knn+datawig,4,0.7709 ± 0.0051
3_adult,5_knn+datawig,5,0.7709 ± 0.0046
3_adult,5_knn+datawig,6,0.7714 ± 0.0044
3_adult,5_knn+datawig,7,0.7702 ± 0.0052
3_adult,5_knn+datawig,8,0.7690 ± 0.0057
3_adult,5_knn+datawig,9,0.7691 ± 0.0054
3_adult,5_knn+datawig,10,0.7696 ± 0.0053
3_adult,6_dynamic + datawig,1,0.7885 ± 0.0210
3_adult,6_dynamic + datawig,2,0.7916 ± 0.0242
3_adult,6_dynamic + datawig,3,0.7897 ± 0.0227
3_adult,6_dynamic + datawig,4,0.7893 ± 0.0209
3_adult,6_dynamic + datawig,5,0.7872 ± 0.0215
3_adult,6_dynamic + datawig,6,0.7838 ± 0.0230
3_adult,6_dynamic + datawig,7,0.7839 ± 0.0220
3_adult,6_dynamic + datawig,8,0.7840 ± 0.0213
3_adult,6_dynamic + datawig,9,0.7853 ± 0.0215
3_adult,6_dynamic + datawig,10,0.7862 ± 0.0211
3_adult,7_dynamic + datawig + zero,1,0.7962 ± 0.0189
3_adult,7_dynamic + datawig + zero,2,0.7999 ± 0.0222
3_adult,7_dynamic + datawig + zero,3,0.8007 ± 0.0229
3_adult,7_dynamic + datawig + zero,4,0.8008 ± 0.0219
3_adult,7_dynamic + datawig + zero,5,0.7979 ± 0.0222
3_adult,7_dynamic + datawig + zero,6,0.7942 ± 0.0235
3_adult,7_dynamic + datawig + zero,7,0.7946 ± 0.0230
3_adult,7_dynamic + datawig + zero,8,0.7936 ± 0.0222
3_adult,7_dynamic + datawig + zero,9,0.7948 ± 0.0221
3_adult,7_dynamic + datawig + zero,10,0.7949 ± 0.0212
3_adult,8_dynamic + datawig + knn,1,0.7977 ± 0.0205
3_adult,8_dynamic + datawig + knn,2,0.7989 ± 0.0216
3_adult,8_dynamic + datawig + knn,3,0.8002 ± 0.0227
3_adult,8_dynamic + datawig + knn,4,0.8010 ± 0.0222
3_adult,8_dynamic + datawig + knn,5,0.7991 ± 0.0228
3_adult,8_dynamic + datawig + knn,6,0.7954 ± 0.0242
3_adult,8_dynamic + datawig + knn,7,0.7962 ± 0.0241
3_adult,8_dynamic + datawig + knn,8,0.7954 ± 0.0232
3_adult,8_dynamic + datawig + knn,9,0.7966 ± 0.0232
3_adult,8_dynamic + datawig + knn,10,0.7965 ± 0.0223
3_adult,9_datawig+zero+knn.py,1,0.7702 ± 0.0029
3_adult,9_datawig+zero+knn.py,2,0.7717 ± 0.0029
3_adult,9_datawig+zero+knn.py,3,0.7714 ± 0.0024
3_adult,9_datawig+zero+knn.py,4,0.7700 ± 0.0034
3_adult,9_datawig+zero+knn.py,5,0.7703 ± 0.0033
3_adult,9_datawig+zero+knn.py,6,0.7711 ± 0.0035
3_adult,9_datawig+zero+knn.py,7,0.7700 ± 0.0044
3_adult,9_datawig+zero+knn.py,8,0.7693 ± 0.0047
3_adult,9_datawig+zero+knn.py,9,0.7693 ± 0.0044
3_adult,9_datawig+zero+knn.py,10,0.7700 ± 0.0048
3_adult,10_dynamic+zero+knn,1,0.7960 ± 0.0188
3_adult,10_dynamic+zero+knn,2,0.7989 ± 0.0215
3_adult,10_dynamic+zero+knn,3,0.7979 ± 0.0210
3_adult,10_dynamic+zero+knn,4,0.7985 ± 0.0205
3_adult,10_dynamic+zero+knn,5,0.7970 ± 0.0211
3_adult,10_dynamic+zero+knn,6,0.7939 ± 0.0226
3_adult,10_dynamic+zero+knn,7,0.7943 ± 0.0223
3_adult,10_dynamic+zero+knn,8,0.7946 ± 0.0220
3_adult,10_dynamic+zero+knn,9,0.7958 ± 0.0220
3_adult,10_dynamic+zero+knn,10,0.7962 ± 0.0214
3_adult,11_all(dynamic+datawig+zero+knn),1,0.7985 ± 0.0175
3_adult,11_all(dynamic+datawig+zero+knn),2,0.8027 ± 0.0204
3_adult,11_all(dynamic+datawig+zero+knn),3,0.8023 ± 0.0203
3_adult,11_all(dynamic+datawig+zero+knn),4,0.8016 ± 0.0197
3_adult,11_all(dynamic+datawig+zero+knn),5,0.8006 ± 0.0203
3_adult,11_all(dynamic+datawig+zero+knn),6,0.7972 ± 0.0218
3_adult,11_all(dynamic+datawig+zero+knn),7,0.7970 ± 0.0210
3_adult,11_all(dynamic+datawig+zero+knn),8,0.7965 ± 0.0203
3_adult,11_all(dynamic+datawig+zero+knn),9,0.7977 ± 0.0203
3_adult,11_all(dynamic+datawig+zero+knn),10,0.7983 ± 0.0200
3_adult,datawig,1,0.7690 ± 0.0000
3_adult,datawig,2,0.7723 ± 0.0000
3_adult,datawig,3,0.7710 ± 0.0000
3_adult,datawig,4,0.7649 ± 0.0000
3_adult,datawig,5,0.7706 ± 0.0000
3_adult,datawig,6,0.7721 ± 0.0000
