Dataset,method,Experiment,Accuracy,RMSE
5_spambase,1_zero+knn,1,0.9299 ± 0.0114,nan ± nan
5_spambase,1_zero+knn,2,0.9152 ± 0.0301,nan ± nan
5_spambase,1_zero+knn,3,0.9154 ± 0.0247,nan ± nan
5_spambase,1_zero+knn,4,0.9162 ± 0.0215,nan ± nan
5_spambase,1_zero+knn,5,0.9202 ± 0.0217,nan ± nan
5_spambase,1_zero+knn,6,0.9205 ± 0.0203,nan ± nan
5_spambase,1_zero+knn,7,0.9206 ± 0.0201,nan ± nan
5_spambase,1_zero+knn,8,0.9209 ± 0.0202,nan ± nan
5_spambase,1_zero+knn,9,0.9205 ± 0.0195,nan ± nan
5_spambase,1_zero+knn,10,0.9187 ± 0.0196,nan ± nan
5_spambase,2_zero + dynamic,1,0.7495 ± 0.1647
5_spambase,2_zero + dynamic,2,0.7568 ± 0.1587
5_spambase,2_zero + dynamic,3,0.7549 ± 0.1587
5_spambase,2_zero + dynamic,4,0.7564 ± 0.1534
5_spambase,2_zero + dynamic,5,0.7575 ± 0.1531
5_spambase,2_zero + dynamic,6,0.7587 ± 0.1542
5_spambase,2_zero + dynamic,7,0.7580 ± 0.1540
5_spambase,2_zero + dynamic,8,0.7579 ± 0.1538
5_spambase,2_zero + dynamic,9,0.7563 ± 0.1549
5_spambase,2_zero + dynamic,10,0.7566 ± 0.1538
5_spambase,3_zero+datawig,1,0.9054 ± 0.0141
5_spambase,3_zero+datawig,2,0.9043 ± 0.0114
5_spambase,3_zero+datawig,3,0.8996 ± 0.0134
5_spambase,3_zero+datawig,4,0.9045 ± 0.0143
5_spambase,3_zero+datawig,5,0.9064 ± 0.0134
5_spambase,3_zero+datawig,6,0.9054 ± 0.0138
5_spambase,3_zero+datawig,7,0.9057 ± 0.0134
5_spambase,3_zero+datawig,8,0.9056 ± 0.0143
5_spambase,3_zero+datawig,9,0.9033 ± 0.0176
5_spambase,3_zero+datawig,10,0.9025 ± 0.0169
5_spambase,4_knn + dynamic,1,0.7522 ± 0.1674
5_spambase,4_knn + dynamic,2,0.7563 ± 0.1582
5_spambase,4_knn + dynamic,3,0.7542 ± 0.1580
5_spambase,4_knn + dynamic,4,0.7560 ± 0.1530
5_spambase,4_knn + dynamic,5,0.7574 ± 0.1530
5_spambase,4_knn + dynamic,6,0.7570 ± 0.1525
5_spambase,4_knn + dynamic,7,0.7558 ± 0.1518
5_spambase,4_knn + dynamic,8,0.7561 ± 0.1521
5_spambase,4_knn + dynamic,9,0.7544 ± 0.1530
