Dataset,method,Experiment,Accuracy
6_chess,1_zero+knn,1,0.0497 ± 0.0000
6_chess,1_zero+knn,2,0.0489 ± 0.0008
6_chess,1_zero+knn,3,0.0487 ± 0.0008
6_chess,1_zero+knn,4,0.0497 ± 0.0020
6_chess,1_zero+knn,5,0.0509 ± 0.0029
6_chess,1_zero+knn,6,0.0513 ± 0.0028
6_chess,1_zero+knn,7,0.0514 ± 0.0026
6_chess,1_zero+knn,8,0.0509 ± 0.0027
6_chess,1_zero+knn,9,0.0503 ± 0.0032
6_chess,1_zero+knn,10,0.0503 ± 0.0030
6_chess,2_zero + dynamic,1,0.9514 ± 0.0003
6_chess,2_zero + dynamic,2,0.9526 ± 0.0018
6_chess,2_zero + dynamic,3,0.9524 ± 0.0015
6_chess,2_zero + dynamic,4,0.9513 ± 0.0023
6_chess,2_zero + dynamic,5,0.9504 ± 0.0029
6_chess,2_zero + dynamic,6,0.9503 ± 0.0028
6_chess,2_zero + dynamic,7,0.9501 ± 0.0026
6_chess,2_zero + dynamic,8,0.9502 ± 0.0025
6_chess,2_zero + dynamic,9,0.9508 ± 0.0029
6_chess,2_zero + dynamic,10,0.9508 ± 0.0028
6_chess,3_zero+datawig,1,0.0497 ± 0.0000
6_chess,3_zero+datawig,2,0.0489 ± 0.0008
6_chess,3_zero+datawig,3,0.0487 ± 0.0008
6_chess,3_zero+datawig,4,0.0497 ± 0.0020
6_chess,3_zero+datawig,5,0.0509 ± 0.0029
6_chess,3_zero+datawig,6,0.0513 ± 0.0028
6_chess,3_zero+datawig,7,0.0514 ± 0.0026
6_chess,3_zero+datawig,8,0.0509 ± 0.0027
6_chess,3_zero+datawig,9,0.0503 ± 0.0032
6_chess,3_zero+datawig,10,0.0503 ± 0.0030
6_chess,4_knn + dynamic,1,0.9512 ± 0.0002
6_chess,4_knn + dynamic,2,0.9522 ± 0.0013
6_chess,4_knn + dynamic,3,0.9520 ± 0.0011
6_chess,4_knn + dynamic,4,0.9507 ± 0.0025
6_chess,4_knn + dynamic,5,0.9493 ± 0.0036
6_chess,4_knn + dynamic,6,0.9493 ± 0.0033
6_chess,4_knn + dynamic,7,0.9493 ± 0.0030
6_chess,4_knn + dynamic,8,0.9496 ± 0.0030
6_chess,4_knn + dynamic,9,0.9502 ± 0.0034
6_chess,4_knn + dynamic,10,0.9502 ± 0.0032
6_chess,5_knn+datawig,1,0.0497 ± 0.0000
6_chess,5_knn+datawig,2,0.0489 ± 0.0008
6_chess,5_knn+datawig,3,0.0487 ± 0.0008
6_chess,5_knn+datawig,4,0.0497 ± 0.0020
6_chess,5_knn+datawig,5,0.0509 ± 0.0029
6_chess,5_knn+datawig,6,0.0513 ± 0.0028
6_chess,5_knn+datawig,7,0.0514 ± 0.0026
6_chess,5_knn+datawig,8,0.0509 ± 0.0027
6_chess,5_knn+datawig,9,0.0503 ± 0.0032
6_chess,5_knn+datawig,10,0.0503 ± 0.0030
6_chess,6_dynamic + datawig,1,0.9521 ± 0.0002
6_chess,6_dynamic + datawig,2,0.9530 ± 0.0015
6_chess,6_dynamic + datawig,3,0.9527 ± 0.0013
6_chess,6_dynamic + datawig,4,0.9513 ± 0.0027
6_chess,6_dynamic + datawig,5,0.9500 ± 0.0035
6_chess,6_dynamic + datawig,6,0.9499 ± 0.0032
6_chess,6_dynamic + datawig,7,0.9499 ± 0.0030
6_chess,6_dynamic + datawig,8,0.9501 ± 0.0029
6_chess,6_dynamic + datawig,9,0.9507 ± 0.0033
6_chess,6_dynamic + datawig,10,0.9508 ± 0.0032
6_chess,7_dynamic + datawig + zero,1,0.9506 ± 0.0008
6_chess,7_dynamic + datawig + zero,2,0.9515 ± 0.0014
6_chess,7_dynamic + datawig + zero,3,0.9519 ± 0.0014
6_chess,7_dynamic + datawig + zero,4,0.9507 ± 0.0024
