Dataset,method,Experiment,Accuracy
7_post,1_zero+knn,1,0.1667 ± 0.1111
7_post,1_zero+knn,2,0.1806 ± 0.0992
7_post,1_zero+knn,3,0.2407 ± 0.1270
7_post,1_zero+knn,4,0.2083 ± 0.1265
7_post,1_zero+knn,5,0.2111 ± 0.1237
7_post,1_zero+knn,6,0.1944 ± 0.1189
7_post,1_zero+knn,7,0.1746 ± 0.1204
7_post,1_zero+knn,8,0.1875 ± 0.1193
7_post,1_zero+knn,9,0.1852 ± 0.1186
7_post,1_zero+knn,10,0.1778 ± 0.1160
7_post,2_zero + dynamic,1,0.9444 ± 0.0000
7_post,2_zero + dynamic,2,0.9444 ± 0.0000
7_post,2_zero + dynamic,3,0.9444 ± 0.0321
7_post,2_zero + dynamic,4,0.9514 ± 0.0333
7_post,2_zero + dynamic,5,0.9611 ± 0.0356
7_post,2_zero + dynamic,6,0.9676 ± 0.0356
7_post,2_zero + dynamic,7,0.9722 ± 0.0348
7_post,2_zero + dynamic,8,0.9618 ± 0.0470
7_post,2_zero + dynamic,9,0.9599 ± 0.0483
7_post,2_zero + dynamic,10,0.9639 ± 0.0474
7_post,3_zero+datawig,1,0.1944 ± 0.0278
7_post,3_zero+datawig,2,0.1667 ± 0.0393
7_post,3_zero+datawig,3,0.1296 ± 0.0693
7_post,3_zero+datawig,4,0.1181 ± 0.0758
7_post,3_zero+datawig,5,0.1222 ± 0.0694
7_post,3_zero+datawig,6,0.1204 ± 0.0635
7_post,3_zero+datawig,7,0.1190 ± 0.0589
7_post,3_zero+datawig,8,0.1354 ± 0.0707
7_post,3_zero+datawig,9,0.1358 ± 0.0812
7_post,3_zero+datawig,10,0.1389 ± 0.0795
7_post,4_knn + dynamic,1,0.9167 ± 0.0278
7_post,4_knn + dynamic,2,0.9306 ± 0.0241
7_post,4_knn + dynamic,3,0.9352 ± 0.0382
7_post,4_knn + dynamic,4,0.9375 ± 0.0333
7_post,4_knn + dynamic,5,0.9500 ± 0.0389
7_post,4_knn + dynamic,6,0.9537 ± 0.0382
7_post,4_knn + dynamic,7,0.9563 ± 0.0374
7_post,4_knn + dynamic,8,0.9479 ± 0.0459
7_post,4_knn + dynamic,9,0.9444 ± 0.0524
7_post,4_knn + dynamic,10,0.9500 ± 0.0524
7_post,5_knn+datawig,1,0.1389 ± 0.0833
7_post,5_knn+datawig,2,0.1806 ± 0.0722
7_post,5_knn+datawig,3,0.1296 ± 0.0944
7_post,5_knn+datawig,4,0.1319 ± 0.0919
7_post,5_knn+datawig,5,0.1389 ± 0.0970
7_post,5_knn+datawig,6,0.1296 ± 0.0917
7_post,5_knn+datawig,7,0.1190 ± 0.0912
7_post,5_knn+datawig,8,0.1389 ± 0.1002
7_post,5_knn+datawig,9,0.1265 ± 0.1011
7_post,5_knn+datawig,10,0.1278 ± 0.0964
7_post,6_dynamic + datawig,1,0.9444 ± 0.0000
7_post,6_dynamic + datawig,2,0.9306 ± 0.0241
7_post,6_dynamic + datawig,3,0.9352 ± 0.0382
7_post,6_dynamic + datawig,4,0.9514 ± 0.0434
7_post,6_dynamic + datawig,5,0.9611 ± 0.0434
7_post,6_dynamic + datawig,6,0.9630 ± 0.0414
7_post,6_dynamic + datawig,7,0.9683 ± 0.0405
7_post,6_dynamic + datawig,8,0.9583 ± 0.0501
7_post,6_dynamic + datawig,9,0.9568 ± 0.0509
7_post,6_dynamic + datawig,10,0.9611 ± 0.0500
7_post,7_dynamic + datawig + zero,1,0.9444 ± 0.0000
7_post,7_dynamic + datawig + zero,2,0.9352 ± 0.0207
7_post,7_dynamic + datawig + zero,3,0.9506 ± 0.0315
7_post,7_dynamic + datawig + zero,4,0.9583 ± 0.0331
7_post,7_dynamic + datawig + zero,5,0.9630 ± 0.0331
7_post,7_dynamic + datawig + zero,6,0.9691 ± 0.0332
7_post,7_dynamic + datawig + zero,7,0.9735 ± 0.0326
7_post,7_dynamic + datawig + zero,8,0.9653 ± 0.0419
7_post,7_dynamic + datawig + zero,9,0.9650 ± 0.0432
7_post,7_dynamic + datawig + zero,10,0.9667 ± 0.0421
7_post,8_dynamic + datawig + knn,1,0.9444 ± 0.0000
7_post,8_dynamic + datawig + knn,2,0.9352 ± 0.0207
7_post,8_dynamic + datawig + knn,3,0.9506 ± 0.0315
7_post,8_dynamic + datawig + knn,4,0.9491 ± 0.0356
7_post,8_dynamic + datawig + knn,5,0.9593 ± 0.0378
7_post,8_dynamic + datawig + knn,6,0.9630 ± 0.0370
7_post,8_dynamic + datawig + knn,7,0.9683 ± 0.0367
7_post,8_dynamic + datawig + knn,8,0.9606 ± 0.0439
7_post,8_dynamic + datawig + knn,9,0.9609 ± 0.0449
7_post,8_dynamic + datawig + knn,10,0.9648 ± 0.0442
7_post,9_datawig+zero+knn.py,1,0.1111 ± 0.0907
7_post,9_datawig+zero+knn.py,2,0.1111 ± 0.0642
7_post,9_datawig+zero+knn.py,3,0.0988 ± 0.0682
7_post,9_datawig+zero+knn.py,4,0.1019 ± 0.0635
7_post,9_datawig+zero+knn.py,5,0.1222 ± 0.0816
7_post,9_datawig+zero+knn.py,6,0.1111 ± 0.0807
7_post,9_datawig+zero+knn.py,7,0.1085 ± 0.0757
7_post,9_datawig+zero+knn.py,8,0.1227 ± 0.0817
7_post,9_datawig+zero+knn.py,9,0.1214 ± 0.0869
7_post,9_datawig+zero+knn.py,10,0.1185 ± 0.0857
