Dataset,method,Experiment,Accuracy
8_liver,1_zero+knn,1,0.1304 ± 0.0000
8_liver,1_zero+knn,2,0.0942 ± 0.0362
8_liver,1_zero+knn,3,0.0870 ± 0.0313
8_liver,1_zero+knn,4,0.0725 ± 0.0369
8_liver,1_zero+knn,5,0.0754 ± 0.0336
8_liver,1_zero+knn,6,0.0700 ± 0.0329
8_liver,1_zero+knn,7,0.0725 ± 0.0310
8_liver,1_zero+knn,8,0.0707 ± 0.0294
8_liver,1_zero+knn,9,0.0692 ± 0.0280
8_liver,1_zero+knn,10,0.0638 ± 0.0312
8_liver,2_zero + dynamic,1,0.8696 ± 0.0000
8_liver,2_zero + dynamic,2,0.9058 ± 0.0362
8_liver,2_zero + dynamic,3,0.9130 ± 0.0313
8_liver,2_zero + dynamic,4,0.9275 ± 0.0369
8_liver,2_zero + dynamic,5,0.9246 ± 0.0336
8_liver,2_zero + dynamic,6,0.9300 ± 0.0329
8_liver,2_zero + dynamic,7,0.9265 ± 0.0317
8_liver,2_zero + dynamic,8,0.9284 ± 0.0301
8_liver,2_zero + dynamic,9,0.9291 ± 0.0285
8_liver,2_zero + dynamic,10,0.9348 ± 0.0319
8_liver,3_zero+datawig,1,0.1304 ± 0.0000
8_liver,3_zero+datawig,2,0.0942 ± 0.0362
8_liver,3_zero+datawig,3,0.0870 ± 0.0313
8_liver,3_zero+datawig,4,0.0725 ± 0.0369
8_liver,3_zero+datawig,5,0.0754 ± 0.0336
8_liver,3_zero+datawig,6,0.0700 ± 0.0329
8_liver,3_zero+datawig,7,0.0725 ± 0.0310
8_liver,3_zero+datawig,8,0.0707 ± 0.0294
8_liver,3_zero+datawig,9,0.0692 ± 0.0280
8_liver,3_zero+datawig,10,0.0638 ± 0.0312
8_liver,4_knn + dynamic,1,0.8696 ± 0.0000
8_liver,4_knn + dynamic,2,0.9058 ± 0.0362
8_liver,4_knn + dynamic,3,0.9130 ± 0.0313
8_liver,4_knn + dynamic,4,0.9275 ± 0.0369
8_liver,4_knn + dynamic,5,0.9246 ± 0.0336
8_liver,4_knn + dynamic,6,0.9300 ± 0.0329
8_liver,4_knn + dynamic,7,0.9275 ± 0.0310
8_liver,4_knn + dynamic,8,0.9293 ± 0.0294
8_liver,4_knn + dynamic,9,0.9308 ± 0.0280
8_liver,4_knn + dynamic,10,0.9362 ± 0.0312
8_liver,5_knn+datawig,1,0.1304 ± 0.0000
8_liver,5_knn+datawig,2,0.0942 ± 0.0362
8_liver,5_knn+datawig,3,0.0870 ± 0.0313
8_liver,5_knn+datawig,4,0.0725 ± 0.0369
8_liver,5_knn+datawig,5,0.0754 ± 0.0336
8_liver,5_knn+datawig,6,0.0700 ± 0.0329
8_liver,5_knn+datawig,7,0.0725 ± 0.0310
8_liver,5_knn+datawig,8,0.0707 ± 0.0294
8_liver,5_knn+datawig,9,0.0692 ± 0.0280
8_liver,5_knn+datawig,10,0.0638 ± 0.0312
