Dataset,method,Experiment,Accuracy,RMSE
10_lympho,multi,1,0.8333 ± 0.0000,0.7071 ± 0.0000
10_lympho,multi,2,0.8000 ± 0.0000,0.7409 ± 0.0337
10_lympho,multi,3,0.8000 ± 0.0000,0.7373 ± 0.0280
10_lympho,multi,4,0.8000 ± 0.0000,0.7176 ± 0.0419
10_lympho,multi,5,0.8000 ± 0.0000,0.7246 ± 0.0401
10_lympho,multi,6,0.8000 ± 0.0000,0.7329 ± 0.0411
10_lympho,multi,7,0.8000 ± 0.0000,0.7147 ± 0.0586
10_lympho,multi,8,0.8000 ± 0.0000,0.7108 ± 0.0558
10_lympho,multi,9,0.8000 ± 0.0000,0.7130 ± 0.0530
10_lympho,multi,10,0.8000 ± 0.0000,0.7212 ± 0.0561
10_lympho,multi,11,0.8333 ± 0.0000,0.7280 ± 0.0576
10_lympho,multi,12,0.8000 ± 0.0000,0.7337 ± 0.0582
10_lympho,multi,13,0.8000 ± 0.0000,0.7351 ± 0.0562
10_lympho,multi,14,0.8000 ± 0.0000,0.7364 ± 0.0543
10_lympho,multi,15,0.8333 ± 0.0000,0.7360 ± 0.0525
10_lympho,multi,16,0.8333 ± 0.0000,0.7311 ± 0.0542
10_lympho,multi,17,0.8000 ± 0.0000,0.7269 ± 0.0553
10_lympho,multi,18,0.8000 ± 0.0000,0.7258 ± 0.0539
10_lympho,multi,19,0.8000 ± 0.0000,0.7222 ± 0.0546
10_lympho,multi,20,0.8333 ± 0.0000,0.7190 ± 0.0550
10_lympho,multi,21,0.8000 ± 0.0000,0.7195 ± 0.0538
10_lympho,multi,22,0.8000 ± 0.0000,0.7190 ± 0.0526
10_lympho,multi,23,0.8000 ± 0.0000,0.7241 ± 0.0568
10_lympho,multi,24,0.8333 ± 0.0000,0.7203 ± 0.0585
10_lympho,multi,25,0.8333 ± 0.0000,0.7188 ± 0.0578
10_lympho,multi,26,0.8333 ± 0.0000,0.7174 ± 0.0571
10_lympho,multi,27,0.8000 ± 0.0000,0.7122 ± 0.0619
10_lympho,multi,28,0.8000 ± 0.0000,0.7112 ± 0.0611
10_lympho,multi,29,0.8333 ± 0.0000,0.7155 ± 0.0642
10_lympho,multi,30,0.8333 ± 0.0000,0.7128 ± 0.0649
