Dataset,method,Experiment,Accuracy,RMSE
11_iris,multi,1,0.9000 ± 0.0000,0.6831 ± 0.0000
11_iris,multi,2,0.9000 ± 0.0000,0.6707 ± 0.0124
11_iris,multi,3,0.9000 ± 0.0000,0.6666 ± 0.0117
11_iris,multi,4,0.9000 ± 0.0000,0.6443 ± 0.0399
11_iris,multi,5,0.9000 ± 0.0000,0.6187 ± 0.0624
11_iris,multi,6,0.9000 ± 0.0000,0.6410 ± 0.0758
11_iris,multi,7,0.9333 ± 0.0000,0.6631 ± 0.0886
11_iris,multi,8,0.9000 ± 0.0000,0.6593 ± 0.0835
11_iris,multi,9,0.9000 ± 0.0000,0.6502 ± 0.0828
11_iris,multi,10,0.9000 ± 0.0000,0.6484 ± 0.0788
11_iris,multi,11,0.9000 ± 0.0000,0.6516 ± 0.0758
11_iris,multi,12,0.9000 ± 0.0000,0.6500 ± 0.0727
11_iris,multi,13,0.9333 ± 0.0000,0.6506 ± 0.0699
11_iris,multi,14,0.9000 ± 0.0000,0.6454 ± 0.0700
11_iris,multi,15,0.9000 ± 0.0000,0.6427 ± 0.0683
11_iris,multi,16,0.9000 ± 0.0000,0.6453 ± 0.0669
11_iris,multi,17,0.9000 ± 0.0000,0.6395 ± 0.0688
11_iris,multi,18,0.9000 ± 0.0000,0.6406 ± 0.0670
11_iris,multi,19,0.9000 ± 0.0000,0.6428 ± 0.0659
11_iris,multi,20,0.9000 ± 0.0000,0.6436 ± 0.0643
11_iris,multi,21,0.9000 ± 0.0000,0.6488 ± 0.0670
11_iris,multi,22,0.9000 ± 0.0000,0.6503 ± 0.0658
11_iris,multi,23,0.9000 ± 0.0000,0.6431 ± 0.0728
11_iris,multi,24,0.9000 ± 0.0000,0.6447 ± 0.0718
11_iris,multi,25,0.9000 ± 0.0000,0.6409 ± 0.0728
11_iris,multi,26,0.9000 ± 0.0000,0.6361 ± 0.0753
11_iris,multi,27,0.9000 ± 0.0000,0.6339 ± 0.0747
11_iris,multi,28,0.9000 ± 0.0000,0.6338 ± 0.0734
11_iris,multi,29,0.9000 ± 0.0000,0.6372 ± 0.0742
11_iris,multi,30,0.9000 ± 0.0000,0.6403 ± 0.0749
