Dataset,method,Experiment,Accuracy,RMSE
12_darwin,multi,1,0.8571 ± 0.0000,0.7559 ± 0.0000
12_darwin,multi,2,0.8571 ± 0.0000,0.7264 ± 0.0295
12_darwin,multi,3,0.8571 ± 0.0000,0.7545 ± 0.0464
12_darwin,multi,4,0.8571 ± 0.0000,0.7349 ± 0.0526
12_darwin,multi,5,0.8571 ± 0.0000,0.7501 ± 0.0560
12_darwin,multi,6,0.8571 ± 0.0000,0.7510 ± 0.0511
12_darwin,multi,7,0.8571 ± 0.0000,0.7403 ± 0.0541
12_darwin,multi,8,0.8571 ± 0.0000,0.7374 ± 0.0512
12_darwin,multi,9,0.8571 ± 0.0000,0.7352 ± 0.0487
12_darwin,multi,10,0.8571 ± 0.0000,0.7373 ± 0.0466
12_darwin,multi,11,0.8571 ± 0.0000,0.7455 ± 0.0515
12_darwin,multi,12,0.8571 ± 0.0000,0.7448 ± 0.0494
12_darwin,multi,13,0.8571 ± 0.0000,0.7411 ± 0.0492
12_darwin,multi,14,0.8571 ± 0.0000,0.7333 ± 0.0550
12_darwin,multi,15,0.8571 ± 0.0000,0.7309 ± 0.0539
12_darwin,multi,16,0.8571 ± 0.0000,0.7288 ± 0.0529
12_darwin,multi,17,0.8571 ± 0.0000,0.7315 ± 0.0524
12_darwin,multi,18,0.8571 ± 0.0000,0.7284 ± 0.0525
12_darwin,multi,19,0.8571 ± 0.0000,0.7245 ± 0.0537
12_darwin,multi,20,0.8571 ± 0.0000,0.7210 ± 0.0545
12_darwin,multi,21,0.8571 ± 0.0000,0.7134 ± 0.0632
12_darwin,multi,22,0.8571 ± 0.0000,0.7107 ± 0.0629
12_darwin,multi,23,0.8571 ± 0.0000,0.7092 ± 0.0620
12_darwin,multi,24,0.8571 ± 0.0000,0.7112 ± 0.0614
12_darwin,multi,25,0.8571 ± 0.0000,0.7061 ± 0.0650
12_darwin,multi,26,0.8571 ± 0.0000,0.7050 ± 0.0640
12_darwin,multi,27,0.8571 ± 0.0000,0.7039 ± 0.0630
12_darwin,multi,28,0.8571 ± 0.0000,0.7064 ± 0.0633
12_darwin,multi,29,0.8571 ± 0.0000,0.7039 ± 0.0636
12_darwin,multi,30,0.8571 ± 0.0000,0.7007 ± 0.0648
