Dataset,method,Experiment,Accuracy,RMSE
13_segmentation,multi,1,0.9762 ± 0.0000,0.5118 ± 0.0000
13_segmentation,multi,2,0.9762 ± 0.0000,0.4600 ± 0.0518
13_segmentation,multi,3,0.9762 ± 0.0000,0.4991 ± 0.0696
13_segmentation,multi,4,0.9762 ± 0.0000,0.4515 ± 0.1022
13_segmentation,multi,5,0.9762 ± 0.0000,0.4538 ± 0.0915
13_segmentation,multi,6,0.9762 ± 0.0000,0.4553 ± 0.0836
13_segmentation,multi,7,0.9762 ± 0.0000,0.4526 ± 0.0777
13_segmentation,multi,8,0.9762 ± 0.0000,0.4471 ± 0.0741
13_segmentation,multi,9,0.9762 ± 0.0000,0.4459 ± 0.0700
13_segmentation,multi,10,0.9762 ± 0.0000,0.4449 ± 0.0664
13_segmentation,multi,11,0.9762 ± 0.0000,0.4510 ± 0.0662
13_segmentation,multi,12,0.9762 ± 0.0000,0.4580 ± 0.0674
13_segmentation,multi,13,0.9762 ± 0.0000,0.4541 ± 0.0661
13_segmentation,multi,14,0.9762 ± 0.0000,0.4509 ± 0.0648
13_segmentation,multi,15,0.9762 ± 0.0000,0.4593 ± 0.0701
13_segmentation,multi,16,0.9762 ± 0.0000,0.4542 ± 0.0707
13_segmentation,multi,17,0.9762 ± 0.0000,0.4576 ± 0.0699
13_segmentation,multi,18,0.9762 ± 0.0000,0.4549 ± 0.0689
13_segmentation,multi,19,0.9762 ± 0.0000,0.4602 ± 0.0708
13_segmentation,multi,20,0.9762 ± 0.0000,0.4590 ± 0.0692
13_segmentation,multi,21,0.9762 ± 0.0000,0.4592 ± 0.0675
13_segmentation,multi,22,0.9762 ± 0.0000,0.4636 ± 0.0690
13_segmentation,multi,23,0.9762 ± 0.0000,0.4624 ± 0.0677
13_segmentation,multi,24,0.9762 ± 0.0000,0.4613 ± 0.0665
13_segmentation,multi,25,0.9762 ± 0.0000,0.4592 ± 0.0660
13_segmentation,multi,26,0.9762 ± 0.0000,0.4583 ± 0.0648
13_segmentation,multi,27,0.9762 ± 0.0000,0.4594 ± 0.0639
13_segmentation,multi,28,0.9762 ± 0.0000,0.4554 ± 0.0662
13_segmentation,multi,29,0.9762 ± 0.0000,0.4537 ± 0.0656
13_segmentation,multi,30,0.9762 ± 0.0000,0.4522 ± 0.0650
