Dataset,method,Experiment,Accuracy,RMSE
14_national,multi,1,0.9737 ± 0.0000,0.5022 ± 0.0000
14_national,multi,2,0.9737 ± 0.0000,0.4922 ± 0.0100
14_national,multi,3,0.9737 ± 0.0000,0.4955 ± 0.0095
14_national,multi,4,0.9737 ± 0.0000,0.4922 ± 0.0100
14_national,multi,5,0.9737 ± 0.0000,0.4968 ± 0.0128
14_national,multi,6,0.9737 ± 0.0000,0.4951 ± 0.0123
14_national,multi,7,0.9737 ± 0.0000,0.4967 ± 0.0121
14_national,multi,8,0.9737 ± 0.0000,0.4977 ± 0.0116
14_national,multi,9,0.9737 ± 0.0000,0.4977 ± 0.0109
14_national,multi,10,0.9715 ± 0.0000,0.4988 ± 0.0109
14_national,multi,11,0.9737 ± 0.0000,0.4966 ± 0.0124
14_national,multi,12,0.9737 ± 0.0000,0.4966 ± 0.0119
14_national,multi,13,0.9737 ± 0.0000,0.4958 ± 0.0117
14_national,multi,14,0.9737 ± 0.0000,0.4972 ± 0.0123
14_national,multi,15,0.9737 ± 0.0000,0.4977 ± 0.0120
14_national,multi,16,0.9737 ± 0.0000,0.4978 ± 0.0117
14_national,multi,17,0.9737 ± 0.0000,0.4992 ± 0.0126
14_national,multi,18,0.9715 ± 0.0000,0.4986 ± 0.0125
14_national,multi,19,0.9737 ± 0.0000,0.4997 ± 0.0130
14_national,multi,20,0.9737 ± 0.0000,0.4992 ± 0.0129
14_national,multi,21,0.9737 ± 0.0000,0.4987 ± 0.0128
14_national,multi,22,0.9737 ± 0.0000,0.4998 ± 0.0135
14_national,multi,23,0.9737 ± 0.0000,0.5007 ± 0.0138
14_national,multi,24,0.9737 ± 0.0000,0.5002 ± 0.0137
14_national,multi,25,0.9737 ± 0.0000,0.5011 ± 0.0142
14_national,multi,26,0.9737 ± 0.0000,0.5015 ± 0.0140
14_national,multi,27,0.9737 ± 0.0000,0.5024 ± 0.0145
14_national,multi,28,0.9737 ± 0.0000,0.5032 ± 0.0149
14_national,multi,29,0.9737 ± 0.0000,0.5035 ± 0.0147
14_national,multi,30,0.9737 ± 0.0000,0.5033 ± 0.0145
