Dataset,method,Experiment,Accuracy,RMSE
15_magic,multi,1,0.8370 ± 0.0000,0.6681 ± 0.0000
15_magic,multi,2,0.8391 ± 0.0000,0.6644 ± 0.0038
15_magic,multi,3,0.8349 ± 0.0000,0.6626 ± 0.0040
15_magic,multi,4,0.8386 ± 0.0000,0.6619 ± 0.0036
15_magic,multi,5,0.8383 ± 0.0000,0.6609 ± 0.0038
15_magic,multi,6,0.8368 ± 0.0000,0.6599 ± 0.0041
15_magic,multi,7,0.8373 ± 0.0000,0.6596 ± 0.0039
15_magic,multi,8,0.8365 ± 0.0000,0.6597 ± 0.0036
15_magic,multi,9,0.8354 ± 0.0000,0.6605 ± 0.0041
15_magic,multi,10,0.8383 ± 0.0000,0.6613 ± 0.0046
15_magic,multi,11,0.8346 ± 0.0000,0.6619 ± 0.0048
15_magic,multi,12,0.8360 ± 0.0000,0.6624 ± 0.0048
15_magic,multi,13,0.8349 ± 0.0000,0.6620 ± 0.0048
15_magic,multi,14,0.8344 ± 0.0000,0.6628 ± 0.0054
15_magic,multi,15,0.8381 ± 0.0000,0.6625 ± 0.0054
15_magic,multi,16,0.8357 ± 0.0000,0.6626 ± 0.0052
15_magic,multi,17,0.8370 ± 0.0000,0.6625 ± 0.0051
15_magic,multi,18,0.8370 ± 0.0000,0.6626 ± 0.0050
15_magic,multi,19,0.8370 ± 0.0000,0.6627 ± 0.0049
15_magic,multi,20,0.8383 ± 0.0000,0.6623 ± 0.0051
15_magic,multi,21,0.8368 ± 0.0000,0.6622 ± 0.0050
15_magic,multi,22,0.8360 ± 0.0000,0.6623 ± 0.0049
15_magic,multi,23,0.8365 ± 0.0000,0.6624 ± 0.0048
15_magic,multi,24,0.8373 ± 0.0000,0.6624 ± 0.0047
15_magic,multi,25,0.8378 ± 0.0000,0.6624 ± 0.0046
15_magic,multi,26,0.8352 ± 0.0000,0.6625 ± 0.0045
15_magic,multi,27,0.8354 ± 0.0000,0.6627 ± 0.0046
15_magic,multi,28,0.8370 ± 0.0000,0.6623 ± 0.0049
15_magic,multi,29,0.8362 ± 0.0000,0.6622 ± 0.0049
15_magic,multi,30,0.8370 ± 0.0000,0.6624 ± 0.0049
