Dataset,method,Experiment,Accuracy,RMSE
16_rice,multi,1,0.9068 ± 0.0000,0.7281 ± 0.0000
16_rice,multi,2,0.9081 ± 0.0000,0.7176 ± 0.0105
16_rice,multi,3,0.9081 ± 0.0000,0.7088 ± 0.0151
16_rice,multi,4,0.9068 ± 0.0000,0.7130 ± 0.0150
16_rice,multi,5,0.9081 ± 0.0000,0.7110 ± 0.0139
16_rice,multi,6,0.9081 ± 0.0000,0.7113 ± 0.0127
16_rice,multi,7,0.9055 ± 0.0000,0.7106 ± 0.0119
16_rice,multi,8,0.9068 ± 0.0000,0.7101 ± 0.0112
16_rice,multi,9,0.9081 ± 0.0000,0.7117 ± 0.0115
16_rice,multi,10,0.9068 ± 0.0000,0.7109 ± 0.0112
16_rice,multi,11,0.9068 ± 0.0000,0.7101 ± 0.0109
16_rice,multi,12,0.9094 ± 0.0000,0.7116 ± 0.0115
16_rice,multi,13,0.9094 ± 0.0000,0.7078 ± 0.0172
16_rice,multi,14,0.9081 ± 0.0000,0.7070 ± 0.0168
16_rice,multi,15,0.9081 ± 0.0000,0.7065 ± 0.0163
16_rice,multi,16,0.9068 ± 0.0000,0.7059 ± 0.0160
16_rice,multi,17,0.9068 ± 0.0000,0.7045 ± 0.0165
16_rice,multi,18,0.9081 ± 0.0000,0.7039 ± 0.0162
16_rice,multi,19,0.9081 ± 0.0000,0.7033 ± 0.0160
16_rice,multi,20,0.9081 ± 0.0000,0.7042 ± 0.0162
16_rice,multi,21,0.9068 ± 0.0000,0.7041 ± 0.0158
16_rice,multi,22,0.9068 ± 0.0000,0.7035 ± 0.0157
16_rice,multi,23,0.9094 ± 0.0000,0.7026 ± 0.0159
16_rice,multi,24,0.9068 ± 0.0000,0.7023 ± 0.0156
16_rice,multi,25,0.9094 ± 0.0000,0.7022 ± 0.0153
16_rice,multi,26,0.9081 ± 0.0000,0.7018 ± 0.0152
16_rice,multi,27,0.9081 ± 0.0000,0.7017 ± 0.0149
16_rice,multi,28,0.9068 ± 0.0000,0.7020 ± 0.0147
16_rice,multi,29,0.9081 ± 0.0000,0.7026 ± 0.0147
16_rice,multi,30,0.9055 ± 0.0000,0.7026 ± 0.0145
