Dataset,method,Experiment,Accuracy,RMSE
17_bank,multi,1,0.8829 ± 0.0000,0.3989 ± 0.0000
17_bank,multi,2,0.8807 ± 0.0000,0.3940 ± 0.0049
17_bank,multi,3,0.8840 ± 0.0000,0.3860 ± 0.0119
17_bank,multi,4,0.8829 ± 0.0000,0.3806 ± 0.0140
17_bank,multi,5,0.8851 ± 0.0000,0.3770 ± 0.0145
17_bank,multi,6,0.8829 ± 0.0000,0.3773 ± 0.0132
17_bank,multi,7,0.8818 ± 0.0000,0.3790 ± 0.0129
17_bank,multi,8,0.8829 ± 0.0000,0.3786 ± 0.0121
17_bank,multi,9,0.8807 ± 0.0000,0.3810 ± 0.0133
17_bank,multi,10,0.8851 ± 0.0000,0.3836 ± 0.0148
17_bank,multi,11,0.8829 ± 0.0000,0.3847 ± 0.0145
17_bank,multi,12,0.8818 ± 0.0000,0.3833 ± 0.0146
17_bank,multi,13,0.8807 ± 0.0000,0.3846 ± 0.0147
17_bank,multi,14,0.8840 ± 0.0000,0.3835 ± 0.0148
17_bank,multi,15,0.8840 ± 0.0000,0.3844 ± 0.0147
17_bank,multi,16,0.8829 ± 0.0000,0.3851 ± 0.0144
17_bank,multi,17,0.8829 ± 0.0000,0.3860 ± 0.0145
17_bank,multi,18,0.8818 ± 0.0000,0.3854 ± 0.0142
17_bank,multi,19,0.8796 ± 0.0000,0.3856 ± 0.0139
17_bank,multi,20,0.8840 ± 0.0000,0.3851 ± 0.0137
17_bank,multi,21,0.8818 ± 0.0000,0.3845 ± 0.0137
17_bank,multi,22,0.8829 ± 0.0000,0.3846 ± 0.0134
17_bank,multi,23,0.8818 ± 0.0000,0.3839 ± 0.0135
17_bank,multi,24,0.8807 ± 0.0000,0.3832 ± 0.0136
17_bank,multi,25,0.8807 ± 0.0000,0.3845 ± 0.0146
17_bank,multi,26,0.8829 ± 0.0000,0.3851 ± 0.0146
17_bank,multi,27,0.8829 ± 0.0000,0.3848 ± 0.0144
17_bank,multi,28,0.8807 ± 0.0000,0.3843 ± 0.0144
17_bank,multi,29,0.8840 ± 0.0000,0.3846 ± 0.0142
17_bank,multi,30,0.8829 ± 0.0000,0.3842 ± 0.0142
