Dataset,method,Experiment,Accuracy,RMSE
18_maternal,multi,1,0.9015 ± 0.0000,0.6038 ± 0.0000
18_maternal,multi,2,0.9015 ± 0.0000,0.6421 ± 0.0384
18_maternal,multi,3,0.9015 ± 0.0000,0.6360 ± 0.0325
18_maternal,multi,4,0.9113 ± 0.0000,0.6330 ± 0.0286
18_maternal,multi,5,0.9015 ± 0.0000,0.6395 ± 0.0288
18_maternal,multi,6,0.9064 ± 0.0000,0.6402 ± 0.0263
18_maternal,multi,7,0.9064 ± 0.0000,0.6378 ± 0.0250
18_maternal,multi,8,0.9113 ± 0.0000,0.6385 ± 0.0235
18_maternal,multi,9,0.9163 ± 0.0000,0.6411 ± 0.0233
18_maternal,multi,10,0.9113 ± 0.0000,0.6421 ± 0.0223
18_maternal,multi,11,0.9113 ± 0.0000,0.6408 ± 0.0217
18_maternal,multi,12,0.9064 ± 0.0000,0.6394 ± 0.0213
18_maternal,multi,13,0.9015 ± 0.0000,0.6391 ± 0.0205
18_maternal,multi,14,0.9113 ± 0.0000,0.6383 ± 0.0200
18_maternal,multi,15,0.9015 ± 0.0000,0.6386 ± 0.0193
18_maternal,multi,16,0.8966 ± 0.0000,0.6377 ± 0.0190
18_maternal,multi,17,0.9113 ± 0.0000,0.6378 ± 0.0185
18_maternal,multi,18,0.9064 ± 0.0000,0.6366 ± 0.0186
18_maternal,multi,19,0.9113 ± 0.0000,0.6331 ± 0.0234
18_maternal,multi,20,0.9113 ± 0.0000,0.6320 ± 0.0233
18_maternal,multi,21,0.9113 ± 0.0000,0.6320 ± 0.0227
18_maternal,multi,22,0.9163 ± 0.0000,0.6316 ± 0.0223
18_maternal,multi,23,0.9113 ± 0.0000,0.6333 ± 0.0231
18_maternal,multi,24,0.9064 ± 0.0000,0.6317 ± 0.0239
18_maternal,multi,25,0.9015 ± 0.0000,0.6319 ± 0.0234
18_maternal,multi,26,0.9113 ± 0.0000,0.6313 ± 0.0231
18_maternal,multi,27,0.9113 ± 0.0000,0.6314 ± 0.0227
18_maternal,multi,28,0.9064 ± 0.0000,0.6306 ± 0.0227
18_maternal,multi,29,0.9015 ± 0.0000,0.6294 ± 0.0232
18_maternal,multi,30,0.9113 ± 0.0000,0.6281 ± 0.0238
