Dataset,method,Experiment,Accuracy,RMSE
19_contraceptive,multi,1,0.6746 ± 0.0000,0.6864 ± 0.0000
19_contraceptive,multi,2,0.6712 ± 0.0000,0.6901 ± 0.0037
19_contraceptive,multi,3,0.6814 ± 0.0000,0.6970 ± 0.0102
19_contraceptive,multi,4,0.6814 ± 0.0000,0.6943 ± 0.0099
19_contraceptive,multi,5,0.6881 ± 0.0000,0.6990 ± 0.0129
19_contraceptive,multi,6,0.6746 ± 0.0000,0.6944 ± 0.0156
19_contraceptive,multi,7,0.6678 ± 0.0000,0.6943 ± 0.0145
19_contraceptive,multi,8,0.6847 ± 0.0000,0.6918 ± 0.0151
19_contraceptive,multi,9,0.6847 ± 0.0000,0.6917 ± 0.0143
19_contraceptive,multi,10,0.6780 ± 0.0000,0.6907 ± 0.0139
19_contraceptive,multi,11,0.6847 ± 0.0000,0.6917 ± 0.0136
19_contraceptive,multi,12,0.6847 ± 0.0000,0.6916 ± 0.0130
19_contraceptive,multi,13,0.6949 ± 0.0000,0.6907 ± 0.0129
19_contraceptive,multi,14,0.6847 ± 0.0000,0.6904 ± 0.0125
19_contraceptive,multi,15,0.6780 ± 0.0000,0.6930 ± 0.0155
19_contraceptive,multi,16,0.6746 ± 0.0000,0.6950 ± 0.0169
19_contraceptive,multi,17,0.6678 ± 0.0000,0.6959 ± 0.0168
19_contraceptive,multi,18,0.6746 ± 0.0000,0.6952 ± 0.0166
19_contraceptive,multi,19,0.6678 ± 0.0000,0.6960 ± 0.0165
19_contraceptive,multi,20,0.6644 ± 0.0000,0.6959 ± 0.0161
19_contraceptive,multi,21,0.6780 ± 0.0000,0.6971 ± 0.0165
19_contraceptive,multi,22,0.6847 ± 0.0000,0.6986 ± 0.0175
19_contraceptive,multi,23,0.6746 ± 0.0000,0.6972 ± 0.0183
19_contraceptive,multi,24,0.6780 ± 0.0000,0.6972 ± 0.0179
19_contraceptive,multi,25,0.6847 ± 0.0000,0.6967 ± 0.0178
19_contraceptive,multi,26,0.6746 ± 0.0000,0.6953 ± 0.0187
19_contraceptive,multi,27,0.6915 ± 0.0000,0.6958 ± 0.0185
19_contraceptive,multi,28,0.6847 ± 0.0000,0.6952 ± 0.0185
19_contraceptive,multi,29,0.6814 ± 0.0000,0.6947 ± 0.0183
19_contraceptive,multi,30,0.6746 ± 0.0000,0.6949 ± 0.0180
