Dataset,method,Experiment,Accuracy,RMSE
1_breast,multi,1,0.7368 ± 0.0000,0.7009 ± 0.0000
1_breast,multi,2,0.7193 ± 0.0000,0.6749 ± 0.0260
1_breast,multi,3,0.7368 ± 0.0000,0.6750 ± 0.0212
1_breast,multi,4,0.7368 ± 0.0000,0.6428 ± 0.0588
1_breast,multi,5,0.7018 ± 0.0000,0.6327 ± 0.0563
1_breast,multi,6,0.7193 ± 0.0000,0.6420 ± 0.0554
1_breast,multi,7,0.7193 ± 0.0000,0.6449 ± 0.0518
1_breast,multi,8,0.7368 ± 0.0000,0.6401 ± 0.0500
1_breast,multi,9,0.7544 ± 0.0000,0.6426 ± 0.0477
1_breast,multi,10,0.7368 ± 0.0000,0.6432 ± 0.0453
1_breast,multi,11,0.7544 ± 0.0000,0.6372 ± 0.0471
1_breast,multi,12,0.7368 ± 0.0000,0.6310 ± 0.0497
1_breast,multi,13,0.7193 ± 0.0000,0.6291 ± 0.0482
1_breast,multi,14,0.7368 ± 0.0000,0.6265 ± 0.0474
1_breast,multi,15,0.7368 ± 0.0000,0.6200 ± 0.0517
1_breast,multi,16,0.7368 ± 0.0000,0.6227 ± 0.0511
1_breast,multi,17,0.7193 ± 0.0000,0.6273 ± 0.0529
1_breast,multi,18,0.7368 ± 0.0000,0.6314 ± 0.0541
1_breast,multi,19,0.7193 ± 0.0000,0.6308 ± 0.0527
1_breast,multi,20,0.6842 ± 0.0000,0.6324 ± 0.0518
1_breast,multi,21,0.7368 ± 0.0000,0.6305 ± 0.0513
1_breast,multi,22,0.7368 ± 0.0000,0.6307 ± 0.0501
1_breast,multi,23,0.7368 ± 0.0000,0.6338 ± 0.0511
1_breast,multi,24,0.7193 ± 0.0000,0.6294 ± 0.0541
1_breast,multi,25,0.7544 ± 0.0000,0.6280 ± 0.0535
1_breast,multi,26,0.7193 ± 0.0000,0.6298 ± 0.0533
1_breast,multi,27,0.7544 ± 0.0000,0.6241 ± 0.0597
1_breast,multi,28,0.7193 ± 0.0000,0.6255 ± 0.0590
1_breast,multi,29,0.7368 ± 0.0000,0.6263 ± 0.0582
1_breast,multi,30,0.7193 ± 0.0000,0.6288 ± 0.0587
