Dataset,method,Experiment,Accuracy,RMSE
20_obesity,multi,1,0.9740 ± 0.0000,0.5099 ± 0.0000
20_obesity,multi,2,0.9716 ± 0.0000,0.5041 ± 0.0059
20_obesity,multi,3,0.9716 ± 0.0000,0.4915 ± 0.0184
20_obesity,multi,4,0.9716 ± 0.0000,0.4877 ± 0.0172
20_obesity,multi,5,0.9693 ± 0.0000,0.4840 ± 0.0172
20_obesity,multi,6,0.9716 ± 0.0000,0.4810 ± 0.0170
20_obesity,multi,7,0.9716 ± 0.0000,0.4797 ± 0.0161
20_obesity,multi,8,0.9693 ± 0.0000,0.4792 ± 0.0151
20_obesity,multi,9,0.9669 ± 0.0000,0.4781 ± 0.0146
20_obesity,multi,10,0.9764 ± 0.0000,0.4762 ± 0.0150
20_obesity,multi,11,0.9693 ± 0.0000,0.4766 ± 0.0144
20_obesity,multi,12,0.9693 ± 0.0000,0.4772 ± 0.0139
20_obesity,multi,13,0.9693 ± 0.0000,0.4764 ± 0.0137
20_obesity,multi,14,0.9693 ± 0.0000,0.4769 ± 0.0133
20_obesity,multi,15,0.9716 ± 0.0000,0.4774 ± 0.0130
20_obesity,multi,16,0.9693 ± 0.0000,0.4778 ± 0.0127
20_obesity,multi,17,0.9716 ± 0.0000,0.4757 ± 0.0148
20_obesity,multi,18,0.9716 ± 0.0000,0.4748 ± 0.0149
20_obesity,multi,19,0.9716 ± 0.0000,0.4739 ± 0.0149
20_obesity,multi,20,0.9716 ± 0.0000,0.4737 ± 0.0146
20_obesity,multi,21,0.9716 ± 0.0000,0.4736 ± 0.0142
20_obesity,multi,22,0.9693 ± 0.0000,0.4741 ± 0.0142
20_obesity,multi,23,0.9669 ± 0.0000,0.4734 ± 0.0143
20_obesity,multi,24,0.9716 ± 0.0000,0.4730 ± 0.0142
20_obesity,multi,25,0.9693 ± 0.0000,0.4719 ± 0.0149
20_obesity,multi,26,0.9693 ± 0.0000,0.4719 ± 0.0146
20_obesity,multi,27,0.9716 ± 0.0000,0.4718 ± 0.0143
20_obesity,multi,28,0.9716 ± 0.0000,0.4725 ± 0.0145
20_obesity,multi,29,0.9693 ± 0.0000,0.4726 ± 0.0142
20_obesity,multi,30,0.9716 ± 0.0000,0.4724 ± 0.0140
