Dataset,method,Experiment,Accuracy,RMSE
21_yeast,multi,1,0.6835 ± 0.0000,0.5974 ± 0.0000
21_yeast,multi,2,0.6734 ± 0.0000,0.6152 ± 0.0178
21_yeast,multi,3,0.7003 ± 0.0000,0.6176 ± 0.0149
21_yeast,multi,4,0.6835 ± 0.0000,0.6181 ± 0.0129
21_yeast,multi,5,0.6768 ± 0.0000,0.6189 ± 0.0117
21_yeast,multi,6,0.6835 ± 0.0000,0.6204 ± 0.0112
21_yeast,multi,7,0.6734 ± 0.0000,0.6198 ± 0.0104
21_yeast,multi,8,0.6801 ± 0.0000,0.6198 ± 0.0097
21_yeast,multi,9,0.6902 ± 0.0000,0.6195 ± 0.0092
21_yeast,multi,10,0.6902 ± 0.0000,0.6187 ± 0.0091
21_yeast,multi,11,0.6936 ± 0.0000,0.6221 ± 0.0139
21_yeast,multi,12,0.6902 ± 0.0000,0.6226 ± 0.0134
21_yeast,multi,13,0.6902 ± 0.0000,0.6221 ± 0.0130
21_yeast,multi,14,0.6835 ± 0.0000,0.6225 ± 0.0126
21_yeast,multi,15,0.6835 ± 0.0000,0.6241 ± 0.0135
21_yeast,multi,16,0.6902 ± 0.0000,0.6255 ± 0.0141
21_yeast,multi,17,0.6801 ± 0.0000,0.6256 ± 0.0137
21_yeast,multi,18,0.6801 ± 0.0000,0.6254 ± 0.0133
21_yeast,multi,19,0.6734 ± 0.0000,0.6245 ± 0.0135
21_yeast,multi,20,0.6835 ± 0.0000,0.6243 ± 0.0132
21_yeast,multi,21,0.6768 ± 0.0000,0.6237 ± 0.0132
21_yeast,multi,22,0.6835 ± 0.0000,0.6230 ± 0.0133
21_yeast,multi,23,0.6801 ± 0.0000,0.6220 ± 0.0138
21_yeast,multi,24,0.6902 ± 0.0000,0.6213 ± 0.0139
21_yeast,multi,25,0.6835 ± 0.0000,0.6220 ± 0.0140
21_yeast,multi,26,0.6734 ± 0.0000,0.6206 ± 0.0154
21_yeast,multi,27,0.6801 ± 0.0000,0.6214 ± 0.0156
21_yeast,multi,28,0.6902 ± 0.0000,0.6212 ± 0.0153
21_yeast,multi,29,0.6768 ± 0.0000,0.6209 ± 0.0151
21_yeast,multi,30,0.6768 ± 0.0000,0.6199 ± 0.0158
