Dataset,method,Experiment,Accuracy,RMSE
23_ai4i,multi,1,0.8990 ± 0.0000,0.3162 ± 0.0000
23_ai4i,multi,2,0.8990 ± 0.0000,0.3258 ± 0.0096
23_ai4i,multi,3,0.8990 ± 0.0000,0.3221 ± 0.0094
23_ai4i,multi,4,0.8990 ± 0.0000,0.3186 ± 0.0101
23_ai4i,multi,5,0.8990 ± 0.0000,0.3185 ± 0.0091
23_ai4i,multi,6,0.8990 ± 0.0000,0.3174 ± 0.0086
23_ai4i,multi,7,0.8990 ± 0.0000,0.3173 ± 0.0080
23_ai4i,multi,8,0.8990 ± 0.0000,0.3158 ± 0.0084
23_ai4i,multi,9,0.8990 ± 0.0000,0.3170 ± 0.0086
23_ai4i,multi,10,0.8990 ± 0.0000,0.3179 ± 0.0086
23_ai4i,multi,11,0.8990 ± 0.0000,0.3178 ± 0.0082
23_ai4i,multi,12,0.8990 ± 0.0000,0.3170 ± 0.0083
23_ai4i,multi,13,0.8990 ± 0.0000,0.3169 ± 0.0080
23_ai4i,multi,14,0.8985 ± 0.0000,0.3179 ± 0.0085
23_ai4i,multi,15,0.8995 ± 0.0000,0.3176 ± 0.0083
23_ai4i,multi,16,0.8990 ± 0.0000,0.3173 ± 0.0081
23_ai4i,multi,17,0.8990 ± 0.0000,0.3182 ± 0.0085
23_ai4i,multi,18,0.8990 ± 0.0000,0.3179 ± 0.0084
23_ai4i,multi,19,0.8995 ± 0.0000,0.3185 ± 0.0085
23_ai4i,multi,20,0.8990 ± 0.0000,0.3185 ± 0.0083
23_ai4i,multi,21,0.8990 ± 0.0000,0.3190 ± 0.0084
23_ai4i,multi,22,0.8990 ± 0.0000,0.3192 ± 0.0083
23_ai4i,multi,23,0.8990 ± 0.0000,0.3191 ± 0.0081
23_ai4i,multi,24,0.8990 ± 0.0000,0.3190 ± 0.0079
23_ai4i,multi,25,0.8990 ± 0.0000,0.3189 ± 0.0078
23_ai4i,multi,26,0.8995 ± 0.0000,0.3187 ± 0.0077
23_ai4i,multi,27,0.8985 ± 0.0000,0.3186 ± 0.0076
23_ai4i,multi,28,0.8990 ± 0.0000,0.3189 ± 0.0075
23_ai4i,multi,29,0.8990 ± 0.0000,0.3188 ± 0.0074
23_ai4i,multi,30,0.8990 ± 0.0000,0.3192 ± 0.0076
