Dataset,method,Experiment,Accuracy,RMSE
2_heart,multi,1,0.7377 ± 0.0000,0.6402 ± 0.0000
2_heart,multi,2,0.7541 ± 0.0000,0.7042 ± 0.0640
2_heart,multi,3,0.7705 ± 0.0000,0.6912 ± 0.0554
2_heart,multi,4,0.7705 ± 0.0000,0.6785 ± 0.0528
2_heart,multi,5,0.7541 ± 0.0000,0.6807 ± 0.0475
2_heart,multi,6,0.7541 ± 0.0000,0.6935 ± 0.0519
2_heart,multi,7,0.7377 ± 0.0000,0.6929 ± 0.0481
2_heart,multi,8,0.7541 ± 0.0000,0.7023 ± 0.0514
2_heart,multi,9,0.7541 ± 0.0000,0.7022 ± 0.0485
2_heart,multi,10,0.7541 ± 0.0000,0.7021 ± 0.0460
2_heart,multi,11,0.7705 ± 0.0000,0.7020 ± 0.0439
2_heart,multi,12,0.7541 ± 0.0000,0.7058 ± 0.0438
2_heart,multi,13,0.7377 ± 0.0000,0.7072 ± 0.0423
2_heart,multi,14,0.7705 ± 0.0000,0.7084 ± 0.0410
2_heart,multi,15,0.7541 ± 0.0000,0.7071 ± 0.0399
2_heart,multi,16,0.7705 ± 0.0000,0.7116 ± 0.0424
2_heart,multi,17,0.7541 ± 0.0000,0.7137 ± 0.0419
2_heart,multi,18,0.7541 ± 0.0000,0.7136 ± 0.0407
2_heart,multi,19,0.7541 ± 0.0000,0.7111 ± 0.0411
2_heart,multi,20,0.7541 ± 0.0000,0.7082 ± 0.0420
2_heart,multi,21,0.7541 ± 0.0000,0.7089 ± 0.0411
2_heart,multi,22,0.7541 ± 0.0000,0.7091 ± 0.0402
2_heart,multi,23,0.7541 ± 0.0000,0.7108 ± 0.0401
2_heart,multi,24,0.7869 ± 0.0000,0.7108 ± 0.0392
2_heart,multi,25,0.7541 ± 0.0000,0.7080 ± 0.0408
2_heart,multi,26,0.7541 ± 0.0000,0.7091 ± 0.0404
2_heart,multi,27,0.7705 ± 0.0000,0.7105 ± 0.0403
2_heart,multi,28,0.7377 ± 0.0000,0.7125 ± 0.0410
2_heart,multi,29,0.7541 ± 0.0000,0.7117 ± 0.0405
2_heart,multi,30,0.7705 ± 0.0000,0.7098 ± 0.0412
