Dataset,method,Experiment,Accuracy,RMSE
3_adult,multi,1,0.8495 ± 0.0000,0.5806 ± 0.0000
3_adult,multi,2,0.8503 ± 0.0000,0.5808 ± 0.0003
3_adult,multi,3,0.8461 ± 0.0000,0.5801 ± 0.0011
3_adult,multi,4,0.8490 ± 0.0000,0.5805 ± 0.0012
3_adult,multi,5,0.8497 ± 0.0000,0.5809 ± 0.0014
3_adult,multi,6,0.8509 ± 0.0000,0.5798 ± 0.0029
3_adult,multi,7,0.8506 ± 0.0000,0.5802 ± 0.0029
3_adult,multi,8,0.8480 ± 0.0000,0.5799 ± 0.0028
3_adult,multi,9,0.8498 ± 0.0000,0.5803 ± 0.0029
3_adult,multi,10,0.8506 ± 0.0000,0.5799 ± 0.0031
3_adult,multi,11,0.8487 ± 0.0000,0.5792 ± 0.0036
3_adult,multi,12,0.8495 ± 0.0000,0.5794 ± 0.0035
3_adult,multi,13,0.8487 ± 0.0000,0.5800 ± 0.0038
3_adult,multi,14,0.8483 ± 0.0000,0.5802 ± 0.0038
3_adult,multi,15,0.8484 ± 0.0000,0.5803 ± 0.0037
3_adult,multi,16,0.8481 ± 0.0000,0.5803 ± 0.0036
3_adult,multi,17,0.8494 ± 0.0000,0.5802 ± 0.0035
3_adult,multi,18,0.8461 ± 0.0000,0.5805 ± 0.0035
3_adult,multi,19,0.8504 ± 0.0000,0.5804 ± 0.0034
3_adult,multi,20,0.8498 ± 0.0000,0.5802 ± 0.0035
3_adult,multi,21,0.8497 ± 0.0000,0.5803 ± 0.0034
3_adult,multi,22,0.8497 ± 0.0000,0.5804 ± 0.0034
3_adult,multi,23,0.8487 ± 0.0000,0.5805 ± 0.0033
3_adult,multi,24,0.8474 ± 0.0000,0.5805 ± 0.0032
3_adult,multi,25,0.8490 ± 0.0000,0.5806 ± 0.0032
3_adult,multi,26,0.8458 ± 0.0000,0.5808 ± 0.0033
3_adult,multi,27,0.8487 ± 0.0000,0.5807 ± 0.0034
3_adult,multi,28,0.8501 ± 0.0000,0.5806 ± 0.0033
3_adult,multi,29,0.8494 ± 0.0000,0.5804 ± 0.0033
3_adult,multi,30,0.8484 ± 0.0000,0.5806 ± 0.0033
