Dataset,method,Experiment,Accuracy,RMSE
4_wine,multi,1,0.9167 ± 0.0000,0.6455 ± 0.0000
4_wine,multi,2,0.9167 ± 0.0000,0.7046 ± 0.0591
4_wine,multi,3,0.9167 ± 0.0000,0.6701 ± 0.0687
4_wine,multi,4,0.9444 ± 0.0000,0.6793 ± 0.0616
4_wine,multi,5,0.9167 ± 0.0000,0.6809 ± 0.0552
4_wine,multi,6,0.9167 ± 0.0000,0.6977 ± 0.0629
4_wine,multi,7,0.9167 ± 0.0000,0.6933 ± 0.0592
4_wine,multi,8,0.9167 ± 0.0000,0.6788 ± 0.0674
4_wine,multi,9,0.9444 ± 0.0000,0.6841 ± 0.0653
4_wine,multi,10,0.9167 ± 0.0000,0.6883 ± 0.0632
4_wine,multi,11,0.9444 ± 0.0000,0.6900 ± 0.0605
4_wine,multi,12,0.9167 ± 0.0000,0.6898 ± 0.0579
4_wine,multi,13,0.9444 ± 0.0000,0.6926 ± 0.0565
4_wine,multi,14,0.9167 ± 0.0000,0.6950 ± 0.0551
4_wine,multi,15,0.9167 ± 0.0000,0.6838 ± 0.0678
4_wine,multi,16,0.9444 ± 0.0000,0.6814 ± 0.0663
4_wine,multi,17,0.9167 ± 0.0000,0.6793 ± 0.0649
4_wine,multi,18,0.9167 ± 0.0000,0.6819 ± 0.0639
4_wine,multi,19,0.9167 ± 0.0000,0.6843 ± 0.0630
4_wine,multi,20,0.9167 ± 0.0000,0.6823 ± 0.0620
4_wine,multi,21,0.9167 ± 0.0000,0.6826 ± 0.0605
4_wine,multi,22,0.9167 ± 0.0000,0.6837 ± 0.0594
4_wine,multi,23,0.9167 ± 0.0000,0.6830 ± 0.0582
4_wine,multi,24,0.9167 ± 0.0000,0.6805 ± 0.0582
4_wine,multi,25,0.9167 ± 0.0000,0.6799 ± 0.0570
4_wine,multi,26,0.9167 ± 0.0000,0.6802 ± 0.0560
4_wine,multi,27,0.9167 ± 0.0000,0.6812 ± 0.0551
4_wine,multi,28,0.9167 ± 0.0000,0.6783 ± 0.0562
4_wine,multi,29,0.9167 ± 0.0000,0.6793 ± 0.0554
4_wine,multi,30,0.9167 ± 0.0000,0.6789 ± 0.0545
