Dataset,method,Experiment,Accuracy,RMSE
5_spambase,multi,1,0.9141 ± 0.0000,0.7033 ± 0.0000
5_spambase,multi,2,0.9174 ± 0.0000,0.6962 ± 0.0070
5_spambase,multi,3,0.9152 ± 0.0000,0.6918 ± 0.0085
5_spambase,multi,4,0.9152 ± 0.0000,0.6915 ± 0.0074
5_spambase,multi,5,0.9141 ± 0.0000,0.6922 ± 0.0067
5_spambase,multi,6,0.9152 ± 0.0000,0.6930 ± 0.0064
5_spambase,multi,7,0.9152 ± 0.0000,0.6942 ± 0.0067
5_spambase,multi,8,0.9130 ± 0.0000,0.6927 ± 0.0074
5_spambase,multi,9,0.9152 ± 0.0000,0.6940 ± 0.0080
5_spambase,multi,10,0.9130 ± 0.0000,0.6917 ± 0.0103
5_spambase,multi,11,0.9130 ± 0.0000,0.6921 ± 0.0099
5_spambase,multi,12,0.9141 ± 0.0000,0.6916 ± 0.0096
5_spambase,multi,13,0.9152 ± 0.0000,0.6913 ± 0.0093
5_spambase,multi,14,0.9120 ± 0.0000,0.6912 ± 0.0090
5_spambase,multi,15,0.9163 ± 0.0000,0.6906 ± 0.0089
5_spambase,multi,16,0.9141 ± 0.0000,0.6895 ± 0.0097
5_spambase,multi,17,0.9163 ± 0.0000,0.6896 ± 0.0094
5_spambase,multi,18,0.9141 ± 0.0000,0.6899 ± 0.0092
5_spambase,multi,19,0.9141 ± 0.0000,0.6908 ± 0.0099
5_spambase,multi,20,0.9141 ± 0.0000,0.6909 ± 0.0096
5_spambase,multi,21,0.9152 ± 0.0000,0.6920 ± 0.0105
5_spambase,multi,22,0.9141 ± 0.0000,0.6911 ± 0.0110
5_spambase,multi,23,0.9130 ± 0.0000,0.6910 ± 0.0108
5_spambase,multi,24,0.9174 ± 0.0000,0.6904 ± 0.0109
5_spambase,multi,25,0.9141 ± 0.0000,0.6912 ± 0.0114
5_spambase,multi,26,0.9141 ± 0.0000,0.6914 ± 0.0112
5_spambase,multi,27,0.9152 ± 0.0000,0.6914 ± 0.0110
5_spambase,multi,28,0.9120 ± 0.0000,0.6914 ± 0.0108
5_spambase,multi,29,0.9141 ± 0.0000,0.6911 ± 0.0108
5_spambase,multi,30,0.9152 ± 0.0000,0.6912 ± 0.0106
