Dataset,method,Experiment,Accuracy,RMSE
6_chess,multi,1,0.9148 ± 0.0000,0.3869 ± 0.0000
6_chess,multi,2,0.9143 ± 0.0000,0.3914 ± 0.0044
6_chess,multi,3,0.9132 ± 0.0000,0.3914 ± 0.0036
6_chess,multi,4,0.9146 ± 0.0000,0.3922 ± 0.0034
6_chess,multi,5,0.9148 ± 0.0000,0.3920 ± 0.0031
6_chess,multi,6,0.9152 ± 0.0000,0.3921 ± 0.0028
6_chess,multi,7,0.9146 ± 0.0000,0.3916 ± 0.0029
6_chess,multi,8,0.9143 ± 0.0000,0.3909 ± 0.0034
6_chess,multi,9,0.9137 ± 0.0000,0.3899 ± 0.0042
6_chess,multi,10,0.9152 ± 0.0000,0.3892 ± 0.0045
6_chess,multi,11,0.9139 ± 0.0000,0.3890 ± 0.0043
6_chess,multi,12,0.9137 ± 0.0000,0.3897 ± 0.0048
6_chess,multi,13,0.9141 ± 0.0000,0.3900 ± 0.0047
6_chess,multi,14,0.9139 ± 0.0000,0.3895 ± 0.0049
6_chess,multi,15,0.9134 ± 0.0000,0.3892 ± 0.0049
6_chess,multi,16,0.9141 ± 0.0000,0.3886 ± 0.0052
6_chess,multi,17,0.9143 ± 0.0000,0.3890 ± 0.0052
6_chess,multi,18,0.9141 ± 0.0000,0.3887 ± 0.0051
6_chess,multi,19,0.9137 ± 0.0000,0.3888 ± 0.0050
6_chess,multi,20,0.9152 ± 0.0000,0.3887 ± 0.0049
6_chess,multi,21,0.9155 ± 0.0000,0.3889 ± 0.0049
6_chess,multi,22,0.9143 ± 0.0000,0.3889 ± 0.0047
6_chess,multi,23,0.9143 ± 0.0000,0.3889 ± 0.0046
6_chess,multi,24,0.9137 ± 0.0000,0.3888 ± 0.0046
6_chess,multi,25,0.9139 ± 0.0000,0.3887 ± 0.0045
6_chess,multi,26,0.9145 ± 0.0000,0.3887 ± 0.0044
6_chess,multi,27,0.9153 ± 0.0000,0.3886 ± 0.0044
6_chess,multi,28,0.9145 ± 0.0000,0.3885 ± 0.0043
6_chess,multi,29,0.9141 ± 0.0000,0.3885 ± 0.0042
6_chess,multi,30,0.9157 ± 0.0000,0.3885 ± 0.0041
