Dataset,method,Experiment,Accuracy,RMSE
7_post_patient,multi,1,0.4444 ± 0.0000,0.7071 ± 0.0000
7_post_patient,multi,2,0.4444 ± 0.0000,0.6171 ± 0.0900
7_post_patient,multi,3,0.5000 ± 0.0000,0.6471 ± 0.0849
7_post_patient,multi,4,0.5000 ± 0.0000,0.6807 ± 0.0938
7_post_patient,multi,5,0.5000 ± 0.0000,0.6500 ± 0.1040
7_post_patient,multi,6,0.5000 ± 0.0000,0.6456 ± 0.0955
7_post_patient,multi,7,0.4444 ± 0.0000,0.6287 ± 0.0976
7_post_patient,multi,8,0.5000 ± 0.0000,0.6385 ± 0.0950
7_post_patient,multi,9,0.5000 ± 0.0000,0.6317 ± 0.0916
7_post_patient,multi,10,0.5000 ± 0.0000,0.6263 ± 0.0884
7_post_patient,multi,11,0.4444 ± 0.0000,0.6172 ± 0.0890
7_post_patient,multi,12,0.5000 ± 0.0000,0.6139 ± 0.0859
7_post_patient,multi,13,0.4444 ± 0.0000,0.6147 ± 0.0826
7_post_patient,multi,14,0.5000 ± 0.0000,0.6184 ± 0.0807
7_post_patient,multi,15,0.5000 ± 0.0000,0.6216 ± 0.0789
7_post_patient,multi,16,0.5000 ± 0.0000,0.6244 ± 0.0771
7_post_patient,multi,17,0.5000 ± 0.0000,0.6216 ± 0.0756
7_post_patient,multi,18,0.5000 ± 0.0000,0.6217 ± 0.0735
7_post_patient,multi,19,0.4444 ± 0.0000,0.6241 ± 0.0723
7_post_patient,multi,20,0.5000 ± 0.0000,0.6262 ± 0.0710
7_post_patient,multi,21,0.5000 ± 0.0000,0.6369 ± 0.0841
7_post_patient,multi,22,0.5000 ± 0.0000,0.6265 ± 0.0950
7_post_patient,multi,23,0.5000 ± 0.0000,0.6198 ± 0.0981
7_post_patient,multi,24,0.5000 ± 0.0000,0.6159 ± 0.0978
7_post_patient,multi,25,0.5000 ± 0.0000,0.6162 ± 0.0959
7_post_patient,multi,26,0.5000 ± 0.0000,0.6147 ± 0.0943
7_post_patient,multi,27,0.5000 ± 0.0000,0.6150 ± 0.0925
7_post_patient,multi,28,0.5000 ± 0.0000,0.6119 ± 0.0923
7_post_patient,multi,29,0.5000 ± 0.0000,0.6123 ± 0.0908
7_post_patient,multi,30,0.5000 ± 0.0000,0.6095 ± 0.0905
