Dataset,method,Experiment,Accuracy,RMSE
8_liver,multi,1,0.9855 ± 0.0000,0.3612 ± 0.0000
8_liver,multi,2,0.9855 ± 0.0000,0.3010 ± 0.0602
8_liver,multi,3,0.9855 ± 0.0000,0.2904 ± 0.0514
8_liver,multi,4,0.9855 ± 0.0000,0.2603 ± 0.0684
8_liver,multi,5,0.9855 ± 0.0000,0.2673 ± 0.0628
8_liver,multi,6,0.9855 ± 0.0000,0.2575 ± 0.0613
8_liver,multi,7,0.9855 ± 0.0000,0.2628 ± 0.0583
8_liver,multi,8,0.9855 ± 0.0000,0.2601 ± 0.0550
8_liver,multi,9,0.9855 ± 0.0000,0.2579 ± 0.0522
8_liver,multi,10,0.9855 ± 0.0000,0.2442 ± 0.0645
8_liver,multi,11,0.9855 ± 0.0000,0.2439 ± 0.0615
8_liver,multi,12,0.9855 ± 0.0000,0.2409 ± 0.0597
8_liver,multi,13,0.9855 ± 0.0000,0.2355 ± 0.0603
8_liver,multi,14,0.9855 ± 0.0000,0.2335 ± 0.0585
8_liver,multi,15,0.9855 ± 0.0000,0.2319 ± 0.0569
8_liver,multi,16,0.9855 ± 0.0000,0.2324 ± 0.0551
8_liver,multi,17,0.9855 ± 0.0000,0.2288 ± 0.0555
8_liver,multi,18,0.9855 ± 0.0000,0.2294 ± 0.0540
8_liver,multi,19,0.9855 ± 0.0000,0.2283 ± 0.0527
8_liver,multi,20,0.9855 ± 0.0000,0.2290 ± 0.0515
8_liver,multi,21,0.9855 ± 0.0000,0.2280 ± 0.0504
8_liver,multi,22,0.9855 ± 0.0000,0.2286 ± 0.0493
8_liver,multi,23,0.9855 ± 0.0000,0.2277 ± 0.0484
8_liver,multi,24,0.9855 ± 0.0000,0.2282 ± 0.0475
8_liver,multi,25,0.9855 ± 0.0000,0.2275 ± 0.0467
8_liver,multi,26,0.9855 ± 0.0000,0.2291 ± 0.0465
8_liver,multi,27,0.9855 ± 0.0000,0.2269 ± 0.0469
8_liver,multi,28,0.9855 ± 0.0000,0.2293 ± 0.0478
8_liver,multi,29,0.9855 ± 0.0000,0.2286 ± 0.0471
8_liver,multi,30,0.9855 ± 0.0000,0.2290 ± 0.0464
