Dataset,method,Experiment,Accuracy,RMSE
9_abalone,multi,1,0.6316 ± 0.0000,0.6433 ± 0.0000
9_abalone,multi,2,0.6328 ± 0.0000,0.6570 ± 0.0137
9_abalone,multi,3,0.6328 ± 0.0000,0.6521 ± 0.0131
9_abalone,multi,4,0.6316 ± 0.0000,0.6529 ± 0.0114
9_abalone,multi,5,0.6244 ± 0.0000,0.6579 ± 0.0142
9_abalone,multi,6,0.6292 ± 0.0000,0.6570 ± 0.0132
9_abalone,multi,7,0.6328 ± 0.0000,0.6558 ± 0.0125
9_abalone,multi,8,0.6268 ± 0.0000,0.6539 ± 0.0127
9_abalone,multi,9,0.6232 ± 0.0000,0.6559 ± 0.0132
9_abalone,multi,10,0.6280 ± 0.0000,0.6582 ± 0.0144
9_abalone,multi,11,0.6292 ± 0.0000,0.6601 ± 0.0149
9_abalone,multi,12,0.6304 ± 0.0000,0.6592 ± 0.0146
9_abalone,multi,13,0.6256 ± 0.0000,0.6593 ± 0.0140
9_abalone,multi,14,0.6292 ± 0.0000,0.6582 ± 0.0140
9_abalone,multi,15,0.6256 ± 0.0000,0.6576 ± 0.0138
9_abalone,multi,16,0.6232 ± 0.0000,0.6578 ± 0.0134
9_abalone,multi,17,0.6352 ± 0.0000,0.6567 ± 0.0137
9_abalone,multi,18,0.6388 ± 0.0000,0.6562 ± 0.0135
9_abalone,multi,19,0.6256 ± 0.0000,0.6561 ± 0.0131
9_abalone,multi,20,0.6292 ± 0.0000,0.6570 ± 0.0133
9_abalone,multi,21,0.6172 ± 0.0000,0.6564 ± 0.0133
9_abalone,multi,22,0.6328 ± 0.0000,0.6561 ± 0.0130
9_abalone,multi,23,0.6268 ± 0.0000,0.6562 ± 0.0128
9_abalone,multi,24,0.6292 ± 0.0000,0.6562 ± 0.0125
9_abalone,multi,25,0.6304 ± 0.0000,0.6558 ± 0.0124
9_abalone,multi,26,0.6340 ± 0.0000,0.6563 ± 0.0123
9_abalone,multi,27,0.6328 ± 0.0000,0.6563 ± 0.0121
9_abalone,multi,28,0.6304 ± 0.0000,0.6561 ± 0.0119
9_abalone,multi,29,0.6364 ± 0.0000,0.6569 ± 0.0125
9_abalone,multi,30,0.6232 ± 0.0000,0.6571 ± 0.0123
