Dataset,method,Experiment,Accuracy
10_lymphography,1_zero+knn,1,0.0000 ± 0.0000
10_lymphography,1_zero+knn,2,0.0000 ± 0.0000
10_lymphography,1_zero+knn,3,0.0111 ± 0.0157
10_lymphography,1_zero+knn,4,0.0083 ± 0.0144
10_lymphography,1_zero+knn,5,0.0067 ± 0.0133
10_lymphography,1_zero+knn,6,0.0056 ± 0.0124
10_lymphography,1_zero+knn,7,0.0048 ± 0.0117
10_lymphography,1_zero+knn,8,0.0125 ± 0.0232
10_lymphography,1_zero+knn,9,0.0111 ± 0.0222
10_lymphography,1_zero+knn,10,0.0100 ± 0.0213
10_lymphography,1_zero+knn,11,0.0091 ± 0.0206
10_lymphography,1_zero+knn,12,0.0083 ± 0.0198
10_lymphography,1_zero+knn,13,0.0128 ± 0.0246
10_lymphography,1_zero+knn,14,0.0119 ± 0.0239
10_lymphography,1_zero+knn,15,0.0111 ± 0.0233
10_lymphography,1_zero+knn,16,0.0104 ± 0.0227
10_lymphography,1_zero+knn,17,0.0098 ± 0.0222
10_lymphography,1_zero+knn,18,0.0093 ± 0.0217
10_lymphography,1_zero+knn,19,0.0088 ± 0.0212
10_lymphography,1_zero+knn,20,0.0117 ± 0.0242
10_lymphography,1_zero+knn,21,0.0111 ± 0.0238
10_lymphography,1_zero+knn,22,0.0121 ± 0.0237
10_lymphography,1_zero+knn,23,0.0116 ± 0.0233
10_lymphography,1_zero+knn,24,0.0125 ± 0.0232
10_lymphography,1_zero+knn,25,0.0147 ± 0.0251
10_lymphography,1_zero+knn,26,0.0141 ± 0.0248
10_lymphography,1_zero+knn,27,0.0136 ± 0.0244
10_lymphography,1_zero+knn,28,0.0131 ± 0.0241
10_lymphography,1_zero+knn,29,0.0126 ± 0.0238
10_lymphography,1_zero+knn,30,0.0133 ± 0.0237
10_lymphography,2_zero + dynamic,1,1.0000 ± 0.0000
10_lymphography,2_zero + dynamic,2,1.0000 ± 0.0000
10_lymphography,2_zero + dynamic,3,0.9889 ± 0.0000
10_lymphography,2_zero + dynamic,4,0.9917 ± 0.0000
10_lymphography,2_zero + dynamic,5,0.9933 ± 0.0000
10_lymphography,2_zero + dynamic,6,0.9944 ± 0.0000
10_lymphography,2_zero + dynamic,7,0.9952 ± 0.0000
10_lymphography,2_zero + dynamic,8,0.9875 ± 0.0000
10_lymphography,2_zero + dynamic,9,0.9889 ± 0.0000
10_lymphography,2_zero + dynamic,10,0.9900 ± 0.0000
10_lymphography,2_zero + dynamic,11,0.9909 ± 0.0000
10_lymphography,2_zero + dynamic,12,0.9917 ± 0.0000
10_lymphography,2_zero + dynamic,13,0.9872 ± 0.0000
10_lymphography,2_zero + dynamic,14,0.9881 ± 0.0000
10_lymphography,2_zero + dynamic,15,0.9889 ± 0.0000
10_lymphography,2_zero + dynamic,16,0.9896 ± 0.0000
10_lymphography,2_zero + dynamic,17,0.9902 ± 0.0000
10_lymphography,2_zero + dynamic,18,0.9907 ± 0.0000
10_lymphography,2_zero + dynamic,19,0.9912 ± 0.0000
10_lymphography,2_zero + dynamic,20,0.9883 ± 0.0000
10_lymphography,2_zero + dynamic,21,0.9873 ± 0.0000
10_lymphography,2_zero + dynamic,22,0.9864 ± 0.0000
10_lymphography,2_zero + dynamic,23,0.9870 ± 0.0000
10_lymphography,2_zero + dynamic,24,0.9861 ± 0.0000
10_lymphography,2_zero + dynamic,25,0.9840 ± 0.0000
