Dataset,method,Experiment,Accuracy
11_iris,1_zero+knn,1,0.6667 ± 0.0333
11_iris,1_zero+knn,2,0.6833 ± 0.0553
11_iris,1_zero+knn,3,0.6778 ± 0.0497
11_iris,1_zero+knn,4,0.6750 ± 0.0464
11_iris,1_zero+knn,5,0.6933 ± 0.0554
11_iris,1_zero+knn,6,0.6806 ± 0.0585
11_iris,1_zero+knn,7,0.6667 ± 0.0667
11_iris,1_zero+knn,8,0.6583 ± 0.0672
11_iris,1_zero+knn,9,0.6481 ± 0.0705
11_iris,1_zero+knn,10,0.6567 ± 0.0723
11_iris,1_zero+knn,11,0.6621 ± 0.0727
11_iris,1_zero+knn,12,0.6639 ± 0.0700
11_iris,1_zero+knn,13,0.6628 ± 0.0675
11_iris,1_zero+knn,14,0.6548 ± 0.0714
11_iris,1_zero+knn,15,0.6578 ± 0.0720
11_iris,1_zero+knn,16,0.6604 ± 0.0704
11_iris,1_zero+knn,17,0.6608 ± 0.0688
11_iris,1_zero+knn,18,0.6593 ± 0.0676
11_iris,1_zero+knn,19,0.6544 ± 0.0694
11_iris,1_zero+knn,20,0.6508 ± 0.0703
11_iris,1_zero+knn,21,0.6492 ± 0.0691
11_iris,1_zero+knn,22,0.6508 ± 0.0702
11_iris,1_zero+knn,23,0.6428 ± 0.0785
11_iris,1_zero+knn,24,0.6417 ± 0.0777
11_iris,1_zero+knn,25,0.6387 ± 0.0778
11_iris,1_zero+knn,26,0.6372 ± 0.0767
11_iris,1_zero+knn,27,0.6340 ± 0.0776
11_iris,1_zero+knn,28,0.6321 ± 0.0769
11_iris,1_zero+knn,29,0.6316 ± 0.0762
11_iris,1_zero+knn,30,0.6278 ± 0.0777
11_iris,2_zero + dynamic,1,0.7333 ± 0.0667
11_iris,2_zero + dynamic,2,0.7417 ± 0.1164
11_iris,2_zero + dynamic,3,0.7611 ± 0.1061
11_iris,2_zero + dynamic,4,0.7667 ± 0.1014
11_iris,2_zero + dynamic,5,0.7767 ± 0.0955
11_iris,2_zero + dynamic,6,0.7667 ± 0.1089
11_iris,2_zero + dynamic,7,0.7476 ± 0.1220
11_iris,2_zero + dynamic,8,0.7458 ± 0.1195
11_iris,2_zero + dynamic,9,0.7481 ± 0.1151
11_iris,2_zero + dynamic,10,0.7500 ± 0.1138
11_iris,2_zero + dynamic,11,0.7394 ± 0.1153
