Dataset,method,Experiment,Accuracy
14_national,1_zero+knn,1,0.9189 ± 0.0154
14_national,1_zero+knn,2,0.9326 ± 0.0183
14_national,1_zero+knn,3,0.9291 ± 0.0206
14_national,1_zero+knn,4,0.9301 ± 0.0183
14_national,1_zero+knn,5,0.9241 ± 0.0223
14_national,1_zero+knn,6,0.9236 ± 0.0223
14_national,1_zero+knn,7,0.9190 ± 0.0272
14_national,1_zero+knn,8,0.9178 ± 0.0267
14_national,1_zero+knn,9,0.9139 ± 0.0278
14_national,1_zero+knn,10,0.9140 ± 0.0272
14_national,1_zero+knn,11,0.9136 ± 0.0272
14_national,1_zero+knn,12,0.9148 ± 0.0264
14_national,1_zero+knn,13,0.9159 ± 0.0258
14_national,1_zero+knn,14,0.9160 ± 0.0259
14_national,1_zero+knn,15,0.9168 ± 0.0255
14_national,1_zero+knn,16,0.9165 ± 0.0248
14_national,1_zero+knn,17,0.9153 ± 0.0258
14_national,1_zero+knn,18,0.9161 ± 0.0256
14_national,1_zero+knn,19,0.9153 ± 0.0258
14_national,1_zero+knn,20,0.9158 ± 0.0254
14_national,1_zero+knn,21,0.9159 ± 0.0253
14_national,1_zero+knn,22,0.9166 ± 0.0249
14_national,1_zero+knn,23,0.9163 ± 0.0246
14_national,1_zero+knn,24,0.9166 ± 0.0245
14_national,1_zero+knn,25,0.9163 ± 0.0242
14_national,1_zero+knn,26,0.9161 ± 0.0238
14_national,1_zero+knn,27,0.9157 ± 0.0235
14_national,1_zero+knn,28,0.9153 ± 0.0237
14_national,1_zero+knn,29,0.9151 ± 0.0235
14_national,1_zero+knn,30,0.9143 ± 0.0237
14_national,2_zero + dynamic,1,0.9068 ± 0.0493
14_national,2_zero + dynamic,2,0.9156 ± 0.0451
14_national,2_zero + dynamic,3,0.9200 ± 0.0462
14_national,2_zero + dynamic,4,0.9186 ± 0.0437
14_national,2_zero + dynamic,5,0.9189 ± 0.0449
14_national,2_zero + dynamic,6,0.9185 ± 0.0463
14_national,2_zero + dynamic,7,0.9167 ± 0.0494
14_national,2_zero + dynamic,8,0.9169 ± 0.0498
14_national,2_zero + dynamic,9,0.9147 ± 0.0502
14_national,2_zero + dynamic,10,0.9135 ± 0.0517
14_national,2_zero + dynamic,11,0.9147 ± 0.0515
14_national,2_zero + dynamic,12,0.9140 ± 0.0510
14_national,2_zero + dynamic,13,0.9147 ± 0.0507
14_national,2_zero + dynamic,14,0.9142 ± 0.0507
14_national,2_zero + dynamic,15,0.9140 ± 0.0504
14_national,2_zero + dynamic,16,0.9126 ± 0.0511
14_national,2_zero + dynamic,17,0.9122 ± 0.0512
14_national,2_zero + dynamic,18,0.9123 ± 0.0516
14_national,2_zero + dynamic,19,0.9118 ± 0.0525
14_national,2_zero + dynamic,20,0.9117 ± 0.0520
14_national,2_zero + dynamic,21,0.9124 ± 0.0518
14_national,2_zero + dynamic,22,0.9125 ± 0.0517
14_national,2_zero + dynamic,23,0.9119 ± 0.0521
14_national,2_zero + dynamic,24,0.9124 ± 0.0518
14_national,2_zero + dynamic,25,0.9120 ± 0.0520
14_national,2_zero + dynamic,26,0.9122 ± 0.0519
14_national,2_zero + dynamic,27,0.9119 ± 0.0523
14_national,2_zero + dynamic,28,0.9113 ± 0.0527
14_national,2_zero + dynamic,29,0.9111 ± 0.0528
14_national,2_zero + dynamic,30,0.9111 ± 0.0526
14_national,knn,1,0.9320 ± 0.0000
14_national,knn,2,0.9583 ± 0.0000
14_national,knn,3,0.9254 ± 0.0000
14_national,knn,4,0.9408 ± 0.0000
14_national,knn,5,0.9254 ± 0.0000
14_national,knn,6,0.9496 ± 0.0000
14_national,knn,7,0.9232 ± 0.0000
14_national,knn,8,0.9386 ± 0.0000
14_national,knn,9,0.9364 ± 0.0000
14_national,knn,10,0.9342 ± 0.0000
14_national,knn,11,0.9496 ± 0.0000
14_national,knn,12,0.9298 ± 0.0000
14_national,knn,13,0.9386 ± 0.0000
14_national,knn,14,0.9452 ± 0.0000
14_national,knn,15,0.9539 ± 0.0000
14_national,knn,16,0.9276 ± 0.0000
14_national,knn,17,0.9386 ± 0.0000
14_national,knn,18,0.9167 ± 0.0000
14_national,knn,19,0.9232 ± 0.0000
14_national,knn,20,0.9276 ± 0.0000
14_national,knn,21,0.9320 ± 0.0000
14_national,knn,22,0.9430 ± 0.0000
14_national,knn,23,0.9320 ± 0.0000
14_national,knn,24,0.9430 ± 0.0000
14_national,knn,25,0.9232 ± 0.0000
14_national,knn,26,0.9474 ± 0.0000
14_national,knn,27,0.9452 ± 0.0000
14_national,knn,28,0.9298 ± 0.0000
14_national,knn,29,0.9276 ± 0.0000
14_national,knn,30,0.9364 ± 0.0000
14_national,zero,1,0.8969 ± 0.0000
14_national,zero,2,0.9452 ± 0.0000
14_national,zero,3,0.9013 ± 0.0000
