Dataset,method,Experiment,Accuracy
16_rice,knn,1,0.5577 ± 0.0000
16_rice,knn,2,0.5551 ± 0.0000
16_rice,knn,3,0.5774 ± 0.0000
16_rice,knn,4,0.5879 ± 0.0000
16_rice,knn,5,0.5787 ± 0.0000
16_rice,knn,6,0.5787 ± 0.0000
16_rice,knn,7,0.5774 ± 0.0000
16_rice,knn,8,0.5459 ± 0.0000
16_rice,knn,9,0.5669 ± 0.0000
16_rice,knn,10,0.5407 ± 0.0000
16_rice,knn,11,0.5499 ± 0.0000
16_rice,knn,12,0.5984 ± 0.0000
16_rice,knn,13,0.5919 ± 0.0000
16_rice,knn,14,0.5446 ± 0.0000
16_rice,knn,15,0.5459 ± 0.0000
16_rice,knn,16,0.5682 ± 0.0000
16_rice,knn,17,0.5577 ± 0.0000
16_rice,knn,18,0.5945 ± 0.0000
16_rice,knn,19,0.5512 ± 0.0000
16_rice,knn,20,0.5604 ± 0.0000
16_rice,knn,21,0.5577 ± 0.0000
16_rice,knn,22,0.5669 ± 0.0000
16_rice,knn,23,0.5748 ± 0.0000
16_rice,knn,24,0.5709 ± 0.0000
16_rice,knn,25,0.5617 ± 0.0000
16_rice,knn,26,0.5735 ± 0.0000
16_rice,knn,27,0.5407 ± 0.0000
16_rice,knn,28,0.5591 ± 0.0000
16_rice,knn,29,0.5748 ± 0.0000
16_rice,knn,30,0.5499 ± 0.0000
16_rice,zero,1,0.5591 ± 0.0000
16_rice,zero,2,0.5512 ± 0.0000
16_rice,zero,3,0.5748 ± 0.0000
16_rice,zero,4,0.5827 ± 0.0000
16_rice,zero,5,0.5814 ± 0.0000
16_rice,zero,6,0.5787 ± 0.0000
16_rice,zero,7,0.5801 ± 0.0000
16_rice,zero,8,0.5499 ± 0.0000
16_rice,zero,9,0.5669 ± 0.0000
16_rice,zero,10,0.5420 ± 0.0000
16_rice,zero,11,0.5472 ± 0.0000
16_rice,zero,12,0.5945 ± 0.0000
16_rice,zero,13,0.5932 ± 0.0000
16_rice,zero,14,0.5433 ± 0.0000
16_rice,zero,15,0.5459 ± 0.0000
16_rice,zero,16,0.5630 ± 0.0000
16_rice,zero,17,0.5577 ± 0.0000
16_rice,zero,18,0.5827 ± 0.0000
16_rice,zero,19,0.5512 ± 0.0000
16_rice,zero,20,0.5617 ± 0.0000
16_rice,zero,21,0.5591 ± 0.0000
16_rice,zero,22,0.5354 ± 0.0000
16_rice,zero,23,0.5774 ± 0.0000
16_rice,zero,24,0.5630 ± 0.0000
16_rice,zero,25,0.5617 ± 0.0000
16_rice,zero,26,0.5696 ± 0.0000
16_rice,zero,27,0.5420 ± 0.0000
16_rice,zero,28,0.5617 ± 0.0000
16_rice,zero,29,0.5774 ± 0.0000
16_rice,zero,30,0.5512 ± 0.0000
16_rice,1_zero+knn,1,0.5571 ± 0.0007
16_rice,1_zero+knn,2,0.5525 ± 0.0069
16_rice,1_zero+knn,3,0.5337 ± 0.0504
16_rice,1_zero+knn,4,0.5428 ± 0.0473
16_rice,1_zero+knn,5,0.5497 ± 0.0445
16_rice,1_zero+knn,6,0.5530 ± 0.0414
16_rice,1_zero+knn,7,0.5559 ± 0.0390
16_rice,1_zero+knn,8,0.5543 ± 0.0368
16_rice,1_zero+knn,9,0.5559 ± 0.0350
16_rice,1_zero+knn,10,0.5544 ± 0.0335
16_rice,1_zero+knn,11,0.5542 ± 0.0319
