Dataset,method,Experiment,Accuracy
18_maternal,knn,1,0.4236 ± 0.0000
18_maternal,knn,2,0.5616 ± 0.0000
18_maternal,knn,3,0.5616 ± 0.0000
18_maternal,knn,4,0.5468 ± 0.0000
18_maternal,knn,5,0.5665 ± 0.0000
18_maternal,knn,6,0.5764 ± 0.0000
18_maternal,knn,7,0.5369 ± 0.0000
18_maternal,knn,8,0.5074 ± 0.0000
18_maternal,knn,9,0.5567 ± 0.0000
18_maternal,knn,10,0.5123 ± 0.0000
18_maternal,knn,11,0.4778 ± 0.0000
18_maternal,knn,12,0.5123 ± 0.0000
18_maternal,knn,13,0.5764 ± 0.0000
18_maternal,knn,14,0.5123 ± 0.0000
18_maternal,knn,15,0.6305 ± 0.0000
18_maternal,knn,16,0.5369 ± 0.0000
18_maternal,knn,17,0.5369 ± 0.0000
18_maternal,knn,18,0.5271 ± 0.0000
18_maternal,knn,19,0.5764 ± 0.0000
18_maternal,knn,20,0.6010 ± 0.0000
18_maternal,knn,21,0.6108 ± 0.0000
18_maternal,knn,22,0.6010 ± 0.0000
18_maternal,knn,23,0.5468 ± 0.0000
18_maternal,knn,24,0.4877 ± 0.0000
18_maternal,knn,25,0.4778 ± 0.0000
18_maternal,knn,26,0.5764 ± 0.0000
18_maternal,knn,27,0.4877 ± 0.0000
18_maternal,knn,28,0.5369 ± 0.0000
18_maternal,knn,29,0.5567 ± 0.0000
18_maternal,knn,30,0.5123 ± 0.0000
18_maternal,zero,1,0.4286 ± 0.0000
18_maternal,zero,2,0.4335 ± 0.0000
18_maternal,zero,3,0.4975 ± 0.0000
18_maternal,zero,4,0.4532 ± 0.0000
18_maternal,zero,5,0.4975 ± 0.0000
18_maternal,zero,6,0.4483 ± 0.0000
18_maternal,zero,7,0.4729 ± 0.0000
18_maternal,zero,8,0.4532 ± 0.0000
18_maternal,zero,9,0.4828 ± 0.0000
18_maternal,zero,10,0.4877 ± 0.0000
18_maternal,zero,11,0.4631 ± 0.0000
18_maternal,zero,12,0.4975 ± 0.0000
18_maternal,zero,13,0.5468 ± 0.0000
18_maternal,zero,14,0.4631 ± 0.0000
18_maternal,zero,15,0.5419 ± 0.0000
18_maternal,zero,16,0.4433 ± 0.0000
18_maternal,zero,17,0.5025 ± 0.0000
18_maternal,zero,18,0.4729 ± 0.0000
18_maternal,zero,19,0.4828 ± 0.0000
18_maternal,zero,20,0.4729 ± 0.0000
18_maternal,zero,21,0.5271 ± 0.0000
18_maternal,zero,22,0.5271 ± 0.0000
18_maternal,zero,23,0.4729 ± 0.0000
18_maternal,zero,24,0.4729 ± 0.0000
18_maternal,zero,25,0.4532 ± 0.0000
18_maternal,zero,26,0.4926 ± 0.0000
18_maternal,zero,27,0.4581 ± 0.0000
18_maternal,zero,28,0.4926 ± 0.0000
18_maternal,zero,29,0.4877 ± 0.0000
18_maternal,zero,30,0.4236 ± 0.0000
18_maternal,datawig,1,0.5320 ± 0.0000
18_maternal,datawig,2,0.4187 ± 0.0000
18_maternal,datawig,3,0.4680 ± 0.0000
18_maternal,datawig,4,0.5123 ± 0.0000
18_maternal,datawig,5,0.5665 ± 0.0000
18_maternal,datawig,6,0.5517 ± 0.0000
18_maternal,datawig,7,0.5172 ± 0.0000
18_maternal,datawig,8,0.3842 ± 0.0000
18_maternal,datawig,9,0.5025 ± 0.0000
18_maternal,datawig,10,0.5320 ± 0.0000
18_maternal,datawig,11,0.4877 ± 0.0000
18_maternal,datawig,12,0.5419 ± 0.0000
18_maternal,datawig,13,0.4631 ± 0.0000
18_maternal,datawig,14,0.4975 ± 0.0000
18_maternal,datawig,15,0.6108 ± 0.0000
18_maternal,datawig,16,0.5074 ± 0.0000
18_maternal,datawig,17,0.4778 ± 0.0000
18_maternal,datawig,18,0.4335 ± 0.0000
18_maternal,datawig,19,0.5320 ± 0.0000
18_maternal,datawig,20,0.5567 ± 0.0000
18_maternal,datawig,21,0.5222 ± 0.0000
18_maternal,datawig,22,0.4384 ± 0.0000
18_maternal,datawig,23,0.5764 ± 0.0000
18_maternal,datawig,24,0.4926 ± 0.0000
18_maternal,datawig,25,0.3498 ± 0.0000
18_maternal,datawig,26,0.4926 ± 0.0000
18_maternal,datawig,27,0.4187 ± 0.0000
18_maternal,datawig,28,0.5222 ± 0.0000
18_maternal,datawig,29,0.5665 ± 0.0000
18_maternal,datawig,30,0.4926 ± 0.0000
18_maternal,dynamic,1,0.3842 ± 0.0000
18_maternal,dynamic,2,0.3941 ± 0.0000
18_maternal,dynamic,3,0.4089 ± 0.0000
18_maternal,dynamic,4,0.3300 ± 0.0000
18_maternal,dynamic,5,0.4039 ± 0.0000
18_maternal,dynamic,6,0.4187 ± 0.0000
18_maternal,dynamic,7,0.4138 ± 0.0000
18_maternal,dynamic,8,0.4286 ± 0.0000
18_maternal,dynamic,9,0.3793 ± 0.0000
18_maternal,dynamic,10,0.3941 ± 0.0000
18_maternal,dynamic,11,0.4236 ± 0.0000
18_maternal,dynamic,12,0.3498 ± 0.0000
18_maternal,dynamic,13,0.3941 ± 0.0000
18_maternal,dynamic,14,0.3596 ± 0.0000
18_maternal,dynamic,15,0.4581 ± 0.0000
18_maternal,dynamic,16,0.4236 ± 0.0000
18_maternal,dynamic,17,0.3645 ± 0.0000
18_maternal,dynamic,18,0.3645 ± 0.0000
18_maternal,dynamic,19,0.3695 ± 0.0000
18_maternal,dynamic,20,0.4138 ± 0.0000
18_maternal,dynamic,21,0.3842 ± 0.0000
18_maternal,dynamic,22,0.3842 ± 0.0000
18_maternal,dynamic,23,0.3892 ± 0.0000
18_maternal,dynamic,24,0.3596 ± 0.0000
18_maternal,dynamic,25,0.4384 ± 0.0000
18_maternal,dynamic,26,0.3596 ± 0.0000
18_maternal,dynamic,27,0.3695 ± 0.0000
18_maternal,dynamic,28,0.3744 ± 0.0000
18_maternal,dynamic,29,0.3645 ± 0.0000
18_maternal,dynamic,30,0.3498 ± 0.0000
