Dataset,method,Experiment,Accuracy
19_contraceptive,knn,1,0.4644 ± 0.0000
19_contraceptive,knn,2,0.4373 ± 0.0000
19_contraceptive,knn,3,0.4237 ± 0.0000
19_contraceptive,knn,4,0.4576 ± 0.0000
19_contraceptive,knn,5,0.4203 ± 0.0000
19_contraceptive,knn,6,0.3492 ± 0.0000
19_contraceptive,knn,7,0.4339 ± 0.0000
19_contraceptive,knn,8,0.4305 ± 0.0000
19_contraceptive,knn,9,0.4407 ± 0.0000
19_contraceptive,knn,10,0.4203 ± 0.0000
19_contraceptive,knn,11,0.4136 ± 0.0000
19_contraceptive,knn,12,0.4339 ± 0.0000
19_contraceptive,knn,13,0.4746 ± 0.0000
19_contraceptive,knn,14,0.4339 ± 0.0000
19_contraceptive,knn,15,0.3729 ± 0.0000
19_contraceptive,knn,16,0.4373 ± 0.0000
19_contraceptive,knn,17,0.4034 ± 0.0000
19_contraceptive,knn,18,0.4678 ± 0.0000
19_contraceptive,knn,19,0.4034 ± 0.0000
19_contraceptive,knn,20,0.3831 ± 0.0000
19_contraceptive,knn,21,0.4203 ± 0.0000
19_contraceptive,knn,22,0.4203 ± 0.0000
19_contraceptive,knn,23,0.4373 ± 0.0000
19_contraceptive,knn,24,0.4373 ± 0.0000
19_contraceptive,knn,25,0.4102 ± 0.0000
19_contraceptive,knn,26,0.4441 ± 0.0000
19_contraceptive,knn,27,0.4102 ± 0.0000
19_contraceptive,knn,28,0.4102 ± 0.0000
19_contraceptive,knn,29,0.4169 ± 0.0000
19_contraceptive,knn,30,0.4102 ± 0.0000
19_contraceptive,zero,1,0.4644 ± 0.0000
19_contraceptive,zero,2,0.4373 ± 0.0000
19_contraceptive,zero,3,0.4237 ± 0.0000
19_contraceptive,zero,4,0.4576 ± 0.0000
19_contraceptive,zero,5,0.4203 ± 0.0000
19_contraceptive,zero,6,0.3492 ± 0.0000
19_contraceptive,zero,7,0.4339 ± 0.0000
19_contraceptive,zero,8,0.4305 ± 0.0000
19_contraceptive,zero,9,0.4407 ± 0.0000
19_contraceptive,zero,10,0.4203 ± 0.0000
19_contraceptive,zero,11,0.4136 ± 0.0000
19_contraceptive,zero,12,0.4339 ± 0.0000
19_contraceptive,zero,13,0.4746 ± 0.0000
19_contraceptive,zero,14,0.4339 ± 0.0000
19_contraceptive,zero,15,0.3729 ± 0.0000
19_contraceptive,zero,16,0.4373 ± 0.0000
19_contraceptive,zero,17,0.4034 ± 0.0000
19_contraceptive,zero,18,0.4678 ± 0.0000
19_contraceptive,zero,19,0.4034 ± 0.0000
19_contraceptive,zero,20,0.3831 ± 0.0000
19_contraceptive,zero,21,0.4203 ± 0.0000
19_contraceptive,zero,22,0.4203 ± 0.0000
19_contraceptive,zero,23,0.4373 ± 0.0000
19_contraceptive,zero,24,0.4373 ± 0.0000
19_contraceptive,zero,25,0.4102 ± 0.0000
19_contraceptive,zero,26,0.4441 ± 0.0000
19_contraceptive,zero,27,0.4102 ± 0.0000
19_contraceptive,zero,28,0.4102 ± 0.0000
19_contraceptive,zero,29,0.4169 ± 0.0000
19_contraceptive,zero,30,0.4102 ± 0.0000
19_contraceptive,datawig,1,0.4644 ± 0.0000
19_contraceptive,datawig,2,0.4373 ± 0.0000
19_contraceptive,datawig,3,0.4237 ± 0.0000
19_contraceptive,datawig,4,0.4576 ± 0.0000
19_contraceptive,datawig,5,0.4203 ± 0.0000
19_contraceptive,datawig,6,0.3492 ± 0.0000
19_contraceptive,datawig,7,0.4339 ± 0.0000
19_contraceptive,datawig,8,0.4305 ± 0.0000
19_contraceptive,datawig,9,0.4407 ± 0.0000
19_contraceptive,datawig,10,0.4203 ± 0.0000
19_contraceptive,datawig,11,0.4136 ± 0.0000
19_contraceptive,datawig,12,0.4339 ± 0.0000
19_contraceptive,datawig,13,0.4746 ± 0.0000
19_contraceptive,datawig,14,0.4339 ± 0.0000
19_contraceptive,datawig,15,0.3729 ± 0.0000
19_contraceptive,datawig,16,0.4373 ± 0.0000
19_contraceptive,datawig,17,0.4034 ± 0.0000
19_contraceptive,datawig,18,0.4678 ± 0.0000
19_contraceptive,datawig,19,0.4034 ± 0.0000
19_contraceptive,datawig,20,0.3831 ± 0.0000
19_contraceptive,datawig,21,0.4203 ± 0.0000
19_contraceptive,datawig,22,0.4203 ± 0.0000
19_contraceptive,datawig,23,0.4373 ± 0.0000
19_contraceptive,datawig,24,0.4373 ± 0.0000
19_contraceptive,datawig,25,0.4102 ± 0.0000
19_contraceptive,datawig,26,0.4441 ± 0.0000
19_contraceptive,datawig,27,0.4102 ± 0.0000
19_contraceptive,datawig,28,0.4102 ± 0.0000
19_contraceptive,datawig,29,0.4169 ± 0.0000
19_contraceptive,datawig,30,0.4102 ± 0.0000
19_contraceptive,dynamic,1,0.5627 ± 0.0000
19_contraceptive,dynamic,2,0.5898 ± 0.0000
19_contraceptive,dynamic,3,0.5966 ± 0.0000
19_contraceptive,dynamic,4,0.5424 ± 0.0000
19_contraceptive,dynamic,5,0.5864 ± 0.0000
19_contraceptive,dynamic,6,0.6814 ± 0.0000
19_contraceptive,dynamic,7,0.6136 ± 0.0000
19_contraceptive,dynamic,8,0.5932 ± 0.0000
19_contraceptive,dynamic,9,0.5797 ± 0.0000
19_contraceptive,dynamic,10,0.5831 ± 0.0000
19_contraceptive,dynamic,11,0.6102 ± 0.0000
19_contraceptive,dynamic,12,0.5864 ± 0.0000
