Dataset,method,Experiment,Accuracy
21_yeast,knn,1,0.0000 ± 0.0000
21_yeast,knn,2,0.0034 ± 0.0000
21_yeast,knn,3,0.0067 ± 0.0000
21_yeast,knn,4,0.0034 ± 0.0000
21_yeast,knn,5,0.0034 ± 0.0000
21_yeast,knn,6,0.0034 ± 0.0000
21_yeast,knn,7,0.0135 ± 0.0000
21_yeast,knn,8,0.0067 ± 0.0000
21_yeast,knn,9,0.0034 ± 0.0000
21_yeast,knn,10,0.0101 ± 0.0000
21_yeast,knn,11,0.0000 ± 0.0000
21_yeast,knn,12,0.0067 ± 0.0000
21_yeast,knn,13,0.0034 ± 0.0000
21_yeast,knn,14,0.0034 ± 0.0000
21_yeast,knn,15,0.0034 ± 0.0000
21_yeast,knn,16,0.0034 ± 0.0000
21_yeast,knn,17,0.0067 ± 0.0000
21_yeast,knn,18,0.0000 ± 0.0000
21_yeast,knn,19,0.0067 ± 0.0000
21_yeast,knn,20,0.0000 ± 0.0000
21_yeast,knn,21,0.0034 ± 0.0000
21_yeast,knn,22,0.0034 ± 0.0000
21_yeast,knn,23,0.0034 ± 0.0000
21_yeast,knn,24,0.0000 ± 0.0000
21_yeast,knn,25,0.0000 ± 0.0000
21_yeast,knn,26,0.0034 ± 0.0000
21_yeast,knn,27,0.0000 ± 0.0000
21_yeast,knn,28,0.0000 ± 0.0000
21_yeast,knn,29,0.0000 ± 0.0000
21_yeast,knn,30,0.0034 ± 0.0000
21_yeast,zero,1,0.0000 ± 0.0000
21_yeast,zero,2,0.0034 ± 0.0000
21_yeast,zero,3,0.0067 ± 0.0000
21_yeast,zero,4,0.0034 ± 0.0000
21_yeast,zero,5,0.0034 ± 0.0000
21_yeast,zero,6,0.0034 ± 0.0000
21_yeast,zero,7,0.0135 ± 0.0000
21_yeast,zero,8,0.0067 ± 0.0000
21_yeast,zero,9,0.0034 ± 0.0000
21_yeast,zero,10,0.0101 ± 0.0000
21_yeast,zero,11,0.0000 ± 0.0000
21_yeast,zero,12,0.0067 ± 0.0000
21_yeast,zero,13,0.0034 ± 0.0000
21_yeast,zero,14,0.0034 ± 0.0000
21_yeast,zero,15,0.0034 ± 0.0000
21_yeast,zero,16,0.0034 ± 0.0000
21_yeast,zero,17,0.0067 ± 0.0000
21_yeast,zero,18,0.0000 ± 0.0000
21_yeast,zero,19,0.0067 ± 0.0000
21_yeast,zero,20,0.0000 ± 0.0000
21_yeast,zero,21,0.0034 ± 0.0000
21_yeast,zero,22,0.0034 ± 0.0000
21_yeast,zero,23,0.0034 ± 0.0000
21_yeast,zero,24,0.0000 ± 0.0000
21_yeast,zero,25,0.0000 ± 0.0000
21_yeast,zero,26,0.0034 ± 0.0000
21_yeast,zero,27,0.0000 ± 0.0000
21_yeast,zero,28,0.0000 ± 0.0000
21_yeast,zero,29,0.0000 ± 0.0000
21_yeast,zero,30,0.0034 ± 0.0000
21_yeast,1_zero+knn,1,0.0000 ± 0.0000
21_yeast,1_zero+knn,2,0.0017 ± 0.0017
21_yeast,1_zero+knn,3,0.0034 ± 0.0027
21_yeast,1_zero+knn,4,0.0034 ± 0.0024
21_yeast,1_zero+knn,5,0.0034 ± 0.0021
21_yeast,1_zero+knn,6,0.0034 ± 0.0019
21_yeast,1_zero+knn,7,0.0048 ± 0.0040
21_yeast,1_zero+knn,8,0.0051 ± 0.0038
21_yeast,1_zero+knn,9,0.0049 ± 0.0036
21_yeast,1_zero+knn,10,0.0054 ± 0.0037
21_yeast,1_zero+knn,11,0.0049 ± 0.0039
21_yeast,1_zero+knn,12,0.0051 ± 0.0038
21_yeast,1_zero+knn,13,0.0049 ± 0.0036
21_yeast,1_zero+knn,14,0.0048 ± 0.0035
21_yeast,1_zero+knn,15,0.0047 ± 0.0034
21_yeast,1_zero+knn,16,0.0046 ± 0.0033
21_yeast,1_zero+knn,17,0.0048 ± 0.0033
21_yeast,1_zero+knn,18,0.0045 ± 0.0034
21_yeast,1_zero+knn,19,0.0046 ± 0.0033
21_yeast,1_zero+knn,20,0.0044 ± 0.0034
21_yeast,1_zero+knn,21,0.0043 ± 0.0033
21_yeast,1_zero+knn,22,0.0043 ± 0.0032
21_yeast,1_zero+knn,23,0.0042 ± 0.0032
21_yeast,1_zero+knn,24,0.0041 ± 0.0032
21_yeast,1_zero+knn,25,0.0039 ± 0.0033
21_yeast,1_zero+knn,26,0.0039 ± 0.0032
21_yeast,1_zero+knn,27,0.0037 ± 0.0032
21_yeast,1_zero+knn,28,0.0036 ± 0.0032
21_yeast,1_zero+knn,29,0.0035 ± 0.0032
21_yeast,1_zero+knn,30,0.0035 ± 0.0032
21_yeast,2_zero + dynamic,1,1.0000 ± 0.0000
21_yeast,2_zero + dynamic,2,0.9983 ± 0.0017
21_yeast,2_zero + dynamic,3,0.9961 ± 0.0036
