Dataset,method,Experiment,Accuracy
3_adult,1_zero+knn,1,0.7662 ± 0.0015
3_adult,1_zero+knn,2,0.7697 ± 0.0036
3_adult,1_zero+knn,3,0.7699 ± 0.0030
3_adult,1_zero+knn,4,0.7695 ± 0.0029
3_adult,1_zero+knn,5,0.7701 ± 0.0029
3_adult,1_zero+knn,6,0.7710 ± 0.0033
3_adult,1_zero+knn,7,0.7700 ± 0.0041
3_adult,1_zero+knn,8,0.7696 ± 0.0044
3_adult,1_zero+knn,9,0.7695 ± 0.0042
3_adult,1_zero+knn,10,0.7696 ± 0.0040
3_adult,1_zero+knn,11,0.7698 ± 0.0039
3_adult,1_zero+knn,12,0.7695 ± 0.0040
3_adult,1_zero+knn,13,0.7682 ± 0.0058
3_adult,1_zero+knn,14,0.7676 ± 0.0062
3_adult,1_zero+knn,15,0.7676 ± 0.0060
3_adult,1_zero+knn,16,0.7679 ± 0.0060
3_adult,1_zero+knn,17,0.7679 ± 0.0058
3_adult,1_zero+knn,18,0.7677 ± 0.0057
3_adult,1_zero+knn,19,0.7680 ± 0.0057
3_adult,1_zero+knn,20,0.7680 ± 0.0056
3_adult,1_zero+knn,21,0.7679 ± 0.0055
3_adult,1_zero+knn,22,0.7678 ± 0.0055
3_adult,1_zero+knn,23,0.7679 ± 0.0054
3_adult,1_zero+knn,24,0.7681 ± 0.0054
3_adult,1_zero+knn,25,0.7680 ± 0.0053
3_adult,1_zero+knn,26,0.7681 ± 0.0053
3_adult,1_zero+knn,27,0.7680 ± 0.0052
3_adult,1_zero+knn,28,0.7681 ± 0.0054
3_adult,1_zero+knn,29,0.7680 ± 0.0053
3_adult,1_zero+knn,30,0.7680 ± 0.0052
3_adult,2_zero + dynamic,1,0.7922 ± 0.0238
3_adult,2_zero + dynamic,2,0.7917 ± 0.0233
3_adult,2_zero + dynamic,3,0.7919 ± 0.0239
3_adult,2_zero + dynamic,4,0.7917 ± 0.0224
3_adult,2_zero + dynamic,5,0.7892 ± 0.0225
3_adult,2_zero + dynamic,6,0.7855 ± 0.0240
3_adult,2_zero + dynamic,7,0.7857 ± 0.0232
3_adult,2_zero + dynamic,8,0.7860 ± 0.0226
3_adult,2_zero + dynamic,9,0.7874 ± 0.0228
3_adult,2_zero + dynamic,10,0.7879 ± 0.0221
3_adult,2_zero + dynamic,11,0.7869 ± 0.0225
3_adult,2_zero + dynamic,12,0.7879 ± 0.0232
3_adult,2_zero + dynamic,13,0.7882 ± 0.0227
3_adult,2_zero + dynamic,14,0.7881 ± 0.0230
3_adult,2_zero + dynamic,15,0.7878 ± 0.0231
3_adult,2_zero + dynamic,16,0.7878 ± 0.0227
3_adult,2_zero + dynamic,17,0.7885 ± 0.0233
3_adult,2_zero + dynamic,18,0.7884 ± 0.0233
3_adult,2_zero + dynamic,19,0.7883 ± 0.0231
3_adult,2_zero + dynamic,20,0.7884 ± 0.0232
3_adult,2_zero + dynamic,21,0.7883 ± 0.0230
3_adult,2_zero + dynamic,22,0.7879 ± 0.0230
3_adult,2_zero + dynamic,23,0.7881 ± 0.0227
3_adult,2_zero + dynamic,24,0.7885 ± 0.0225
3_adult,2_zero + dynamic,25,0.7884 ± 0.0224
3_adult,2_zero + dynamic,26,0.7880 ± 0.0226
3_adult,2_zero + dynamic,27,0.7883 ± 0.0226
3_adult,2_zero + dynamic,28,0.7884 ± 0.0224
3_adult,2_zero + dynamic,29,0.7882 ± 0.0226
3_adult,2_zero + dynamic,30,0.7882 ± 0.0227
3_adult,3_zero+datawig,1,0.7710 ± 0.0043
3_adult,3_zero+datawig,2,0.7728 ± 0.0038
3_adult,3_zero+datawig,3,0.7724 ± 0.0032
3_adult,3_zero+datawig,4,0.7714 ± 0.0035
3_adult,3_zero+datawig,5,0.7718 ± 0.0033
