Dataset,method,Experiment,Accuracy
5_spambase,1_zero+knn,1,0.9332 ± 0.0060
5_spambase,1_zero+knn,2,0.9177 ± 0.0175
5_spambase,1_zero+knn,3,0.9199 ± 0.0172
5_spambase,1_zero+knn,4,0.9217 ± 0.0157
5_spambase,1_zero+knn,5,0.9223 ± 0.0152
5_spambase,1_zero+knn,6,0.9226 ± 0.0142
5_spambase,1_zero+knn,7,0.9207 ± 0.0156
5_spambase,1_zero+knn,8,0.9204 ± 0.0151
5_spambase,1_zero+knn,9,0.9199 ± 0.0149
5_spambase,1_zero+knn,10,0.9196 ± 0.0143
5_spambase,1_zero+knn,11,0.9191 ± 0.0137
5_spambase,1_zero+knn,12,0.9182 ± 0.0149
5_spambase,1_zero+knn,13,0.9194 ± 0.0154
5_spambase,1_zero+knn,14,0.9192 ± 0.0153
5_spambase,1_zero+knn,15,0.9190 ± 0.0148
5_spambase,1_zero+knn,16,0.9197 ± 0.0150
5_spambase,1_zero+knn,17,0.9191 ± 0.0149
5_spambase,1_zero+knn,18,0.9194 ± 0.0151
5_spambase,1_zero+knn,19,0.9200 ± 0.0152
5_spambase,1_zero+knn,20,0.9202 ± 0.0150
5_spambase,1_zero+knn,21,0.9198 ± 0.0150
5_spambase,1_zero+knn,22,0.9203 ± 0.0150
5_spambase,1_zero+knn,23,0.9211 ± 0.0153
5_spambase,1_zero+knn,24,0.9204 ± 0.0153
5_spambase,1_zero+knn,25,0.9193 ± 0.0161
5_spambase,1_zero+knn,26,0.9184 ± 0.0165
5_spambase,1_zero+knn,27,0.9184 ± 0.0162
5_spambase,1_zero+knn,28,0.9183 ± 0.0162
5_spambase,1_zero+knn,29,0.9185 ± 0.0163
5_spambase,1_zero+knn,30,0.9182 ± 0.0164
5_spambase,2_zero + dynamic,1,0.7511 ± 0.1663
5_spambase,2_zero + dynamic,2,0.7565 ± 0.1585
5_spambase,2_zero + dynamic,3,0.7538 ± 0.1577
5_spambase,2_zero + dynamic,4,0.7556 ± 0.1526
