Dataset,method,Experiment,Accuracy
6_chess,1_zero+knn,1,0.0497 ± 0.0000
6_chess,1_zero+knn,2,0.0489 ± 0.0008
6_chess,1_zero+knn,3,0.0487 ± 0.0008
6_chess,1_zero+knn,4,0.0497 ± 0.0020
6_chess,1_zero+knn,5,0.0509 ± 0.0029
6_chess,1_zero+knn,6,0.0513 ± 0.0028
6_chess,1_zero+knn,7,0.0514 ± 0.0026
6_chess,1_zero+knn,8,0.0509 ± 0.0027
6_chess,1_zero+knn,9,0.0503 ± 0.0032
6_chess,1_zero+knn,10,0.0503 ± 0.0030
6_chess,1_zero+knn,11,0.0506 ± 0.0031
6_chess,1_zero+knn,12,0.0509 ± 0.0031
6_chess,1_zero+knn,13,0.0509 ± 0.0029
6_chess,1_zero+knn,14,0.0515 ± 0.0035
6_chess,1_zero+knn,15,0.0515 ± 0.0034
6_chess,1_zero+knn,16,0.0513 ± 0.0034
6_chess,1_zero+knn,17,0.0516 ± 0.0034
6_chess,1_zero+knn,18,0.0515 ± 0.0033
6_chess,1_zero+knn,19,0.0516 ± 0.0033
6_chess,1_zero+knn,20,0.0518 ± 0.0034
6_chess,1_zero+knn,21,0.0517 ± 0.0033
6_chess,1_zero+knn,22,0.0516 ± 0.0033
6_chess,1_zero+knn,23,0.0518 ± 0.0033
6_chess,1_zero+knn,24,0.0518 ± 0.0032
6_chess,1_zero+knn,25,0.0519 ± 0.0032
6_chess,1_zero+knn,26,0.0518 ± 0.0031
6_chess,1_zero+knn,27,0.0517 ± 0.0032
6_chess,1_zero+knn,28,0.0517 ± 0.0032
6_chess,1_zero+knn,29,0.0518 ± 0.0031
6_chess,1_zero+knn,30,0.0518 ± 0.0031
6_chess,2_zero + dynamic,1,0.9501 ± 0.0016
6_chess,2_zero + dynamic,2,0.9521 ± 0.0027
6_chess,2_zero + dynamic,3,0.9527 ± 0.0027
6_chess,2_zero + dynamic,4,0.9515 ± 0.0031
6_chess,2_zero + dynamic,5,0.9505 ± 0.0035
6_chess,2_zero + dynamic,6,0.9504 ± 0.0033
6_chess,2_zero + dynamic,7,0.9503 ± 0.0030
6_chess,2_zero + dynamic,8,0.9503 ± 0.0029
6_chess,2_zero + dynamic,9,0.9509 ± 0.0032
6_chess,2_zero + dynamic,10,0.9510 ± 0.0031
6_chess,2_zero + dynamic,11,0.9506 ± 0.0032
6_chess,2_zero + dynamic,12,0.9504 ± 0.0031
6_chess,2_zero + dynamic,13,0.9503 ± 0.0030
6_chess,2_zero + dynamic,14,0.9498 ± 0.0034
6_chess,2_zero + dynamic,15,0.9499 ± 0.0033
6_chess,2_zero + dynamic,16,0.9500 ± 0.0032
6_chess,2_zero + dynamic,17,0.9497 ± 0.0033
6_chess,2_zero + dynamic,18,0.9499 ± 0.0033
6_chess,2_zero + dynamic,19,0.9499 ± 0.0032
6_chess,2_zero + dynamic,20,0.9496 ± 0.0034
6_chess,2_zero + dynamic,21,0.9497 ± 0.0033
6_chess,2_zero + dynamic,22,0.9497 ± 0.0032
6_chess,2_zero + dynamic,23,0.9496 ± 0.0032
6_chess,2_zero + dynamic,24,0.9497 ± 0.0032
6_chess,2_zero + dynamic,25,0.9496 ± 0.0032
6_chess,2_zero + dynamic,26,0.9497 ± 0.0031
6_chess,2_zero + dynamic,27,0.9498 ± 0.0031
6_chess,2_zero + dynamic,28,0.9496 ± 0.0033
6_chess,2_zero + dynamic,29,0.9496 ± 0.0033
6_chess,2_zero + dynamic,30,0.9496 ± 0.0033
6_chess,3_zero+datawig,1,0.0497 ± 0.0000
6_chess,3_zero+datawig,2,0.0489 ± 0.0008
6_chess,3_zero+datawig,3,0.0487 ± 0.0008
6_chess,3_zero+datawig,4,0.0497 ± 0.0020
6_chess,3_zero+datawig,5,0.0509 ± 0.0029
6_chess,3_zero+datawig,6,0.0513 ± 0.0028
