Dataset,method,Experiment,Accuracy
7_post,1_zero+knn,1,0.2222 ± 0.0556
7_post,1_zero+knn,2,0.2222 ± 0.0393
7_post,1_zero+knn,3,0.2222 ± 0.0454
7_post,1_zero+knn,4,0.1875 ± 0.0732
7_post,1_zero+knn,5,0.2000 ± 0.0711
7_post,1_zero+knn,6,0.1806 ± 0.0852
7_post,1_zero+knn,7,0.1706 ± 0.0852
7_post,1_zero+knn,8,0.1910 ± 0.0962
7_post,1_zero+knn,9,0.1944 ± 0.0984
7_post,1_zero+knn,10,0.1861 ± 0.1029
7_post,1_zero+knn,11,0.1818 ± 0.0994
7_post,1_zero+knn,12,0.1759 ± 0.0971
7_post,1_zero+knn,13,0.1816 ± 0.0957
7_post,1_zero+knn,14,0.1825 ± 0.0926
7_post,1_zero+knn,15,0.1833 ± 0.0920
7_post,1_zero+knn,16,0.1753 ± 0.0953
7_post,1_zero+knn,17,0.1781 ± 0.0941
7_post,1_zero+knn,18,0.1806 ± 0.0920
7_post,1_zero+knn,19,0.1784 ± 0.0903
7_post,1_zero+knn,20,0.1750 ± 0.0892
7_post,1_zero+knn,21,0.1733 ± 0.0876
7_post,1_zero+knn,22,0.1717 ± 0.0861
7_post,1_zero+knn,23,0.1703 ± 0.0847
7_post,1_zero+knn,24,0.1678 ± 0.0837
7_post,1_zero+knn,25,0.1667 ± 0.0824
7_post,1_zero+knn,26,0.1677 ± 0.0826
7_post,1_zero+knn,27,0.1656 ± 0.0818
7_post,1_zero+knn,28,0.1627 ± 0.0819
7_post,1_zero+knn,29,0.1619 ± 0.0808
7_post,1_zero+knn,30,0.1630 ± 0.0798
7_post,2_zero + dynamic,1,0.8889 ± 0.0556
7_post,2_zero + dynamic,2,0.9167 ± 0.0481
7_post,2_zero + dynamic,3,0.9352 ± 0.0499
7_post,2_zero + dynamic,4,0.9444 ± 0.0481
7_post,2_zero + dynamic,5,0.9500 ± 0.0461
7_post,2_zero + dynamic,6,0.9583 ± 0.0461
7_post,2_zero + dynamic,7,0.9603 ± 0.0442
7_post,2_zero + dynamic,8,0.9514 ± 0.0515
7_post,2_zero + dynamic,9,0.9537 ± 0.0499
7_post,2_zero + dynamic,10,0.9583 ± 0.0493
7_post,2_zero + dynamic,11,0.9621 ± 0.0485
7_post,2_zero + dynamic,12,0.9606 ± 0.0467
7_post,2_zero + dynamic,13,0.9637 ± 0.0461
7_post,2_zero + dynamic,14,0.9623 ± 0.0471
7_post,2_zero + dynamic,15,0.9593 ± 0.0474
7_post,2_zero + dynamic,16,0.9601 ± 0.0466
7_post,2_zero + dynamic,17,0.9559 ± 0.0500
7_post,2_zero + dynamic,18,0.9568 ± 0.0492
7_post,2_zero + dynamic,19,0.9561 ± 0.0480
7_post,2_zero + dynamic,20,0.9569 ± 0.0473
7_post,2_zero + dynamic,21,0.9550 ± 0.0473
7_post,2_zero + dynamic,22,0.9520 ± 0.0482
7_post,2_zero + dynamic,23,0.9517 ± 0.0472
7_post,2_zero + dynamic,24,0.9525 ± 0.0467
7_post,2_zero + dynamic,25,0.9544 ± 0.0467
7_post,2_zero + dynamic,26,0.9541 ± 0.0471
7_post,2_zero + dynamic,27,0.9527 ± 0.0471
7_post,2_zero + dynamic,28,0.9544 ± 0.0471
7_post,2_zero + dynamic,29,0.9559 ± 0.0470
7_post,2_zero + dynamic,30,0.9565 ± 0.0466
7_post,3_zero+datawig,1,0.1667 ± 0.0556
7_post,3_zero+datawig,2,0.1806 ± 0.0461
7_post,3_zero+datawig,3,0.1481 ± 0.0764
7_post,3_zero+datawig,4,0.1389 ± 0.0735
7_post,3_zero+datawig,5,0.1389 ± 0.0669
7_post,3_zero+datawig,6,0.1389 ± 0.0621
7_post,3_zero+datawig,7,0.1349 ± 0.0583
7_post,3_zero+datawig,8,0.1458 ± 0.0617
7_post,3_zero+datawig,9,0.1451 ± 0.0744
7_post,3_zero+datawig,10,0.1361 ± 0.0775
7_post,3_zero+datawig,11,0.1313 ± 0.0759
7_post,3_zero+datawig,12,0.1273 ± 0.0743
7_post,3_zero+datawig,13,0.1325 ± 0.0831
7_post,3_zero+datawig,14,0.1369 ± 0.0820
7_post,3_zero+datawig,15,0.1352 ± 0.0807
7_post,3_zero+datawig,16,0.1319 ± 0.0795
7_post,3_zero+datawig,17,0.1324 ± 0.0842
7_post,3_zero+datawig,18,0.1312 ± 0.0830
7_post,3_zero+datawig,19,0.1330 ± 0.0851
7_post,3_zero+datawig,20,0.1306 ± 0.0857
7_post,3_zero+datawig,21,0.1362 ± 0.0876
7_post,3_zero+datawig,22,0.1364 ± 0.0906
